time,Portland,pts.away,score,pts.home,Detroit
1:41.0,J. Layman makes 3-pt shot from 22 ft (assist by P. Connaughton),3,86-109,,
1:31.0,,,86-109,,K. Felder misses 2-pt shot from 9 ft
1:30.0,,,86-109,,Offensive rebound by K. Felder
1:21.0,,,86-109,,L. Galloway misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by N. Vonleh,,86-109,,
1:01.0,P. Connaughton makes 3-pt shot from 23 ft (assist by J. Layman),3,89-109,,
0:51.0,,,89-109,,Turnover by K. Felder (bad pass; steal by J. Layman)
0:47.0,J. Layman makes 2-pt shot from 2 ft,2,91-109,,
0:47.0,Shooting foul by L. Galloway (drawn by J. Layman),,91-109,,
0:47.0,J. Layman misses free throw 1 of 1,,91-109,,
0:45.0,,,91-109,,Defensive rebound by W. Reed
0:35.0,,,91-109,,K. Felder misses 3-pt shot from 26 ft
0:32.0,,,91-109,,Offensive rebound by L. Galloway
0:22.0,,,91-109,,H. Ellenson misses 2-pt shot from 5 ft
0:19.0,,,91-109,,Offensive rebound by H. Ellenson
0:12.0,,,91-111,2,W. Reed makes 2-pt shot at rim (assist by L. Galloway)
