time,Toronto,pts.away,score,pts.home,Sacramento
2:19.0,,,94-83,,B. Bogdanovic misses 3-pt shot from 22 ft
2:15.0,,,94-83,,Offensive rebound by Z. Randolph
2:14.0,,,94-85,2,Z. Randolph makes 2-pt shot from 2 ft
1:53.0,D. DeRozan makes 2-pt shot from 12 ft,2,96-85,,
1:42.0,,,96-87,2,D. Fox makes 2-pt shot from 4 ft
1:31.0,Toronto full timeout,,96-87,,
1:27.0,Turnover by K. Lowry (bad pass; steal by B. Hield),,96-87,,
1:25.0,,,96-87,,Shooting foul by S. Ibaka (drawn by D. Fox)
1:25.0,,,96-87,,D. Fox misses free throw 1 of 2
1:25.0,,,96-87,,Offensive rebound by Team
1:25.0,,,96-87,,D. Fox misses free throw 2 of 2
1:22.0,Defensive rebound by D. DeRozan,,96-87,,
1:07.0,D. DeRozan misses 2-pt shot from 17 ft,,96-87,,
1:03.0,,,96-87,,Defensive rebound by B. Bogdanovic
0:55.0,,,96-87,,Turnover by D. Fox (bad pass)
0:40.0,S. Ibaka makes 3-pt shot from 24 ft (assist by F. VanVleet),3,99-87,,
0:33.0,,,99-87,,B. Hield misses 2-pt shot from 4 ft
0:30.0,Defensive rebound by S. Ibaka,,99-87,,
0:14.0,K. Lowry makes 3-pt shot from 29 ft,3,102-87,,
