time,Phoenix,pts.away,score,pts.home,Brooklyn
10:01.0,,,91-95,2,S. Dinwiddie makes 2-pt shot from 1 ft
9:52.0,T. Ulis makes 2-pt shot from 17 ft,2,93-95,,
9:43.0,,,93-95,,S. Dinwiddie misses 2-pt shot from 19 ft
9:43.0,Defensive rebound by A. Len,,93-95,,
9:37.0,J. Jackson misses 2-pt shot from 1 ft,,93-95,,
9:37.0,Offensive rebound by A. Len,,93-95,,
9:36.0,A. Len makes 2-pt shot from 1 ft,2,95-95,,
9:18.0,Violation by M. Chriss (kicked ball),,95-95,,
9:18.0,,,95-95,,R. Hollis-Jefferson enters the game for T. Booker
9:18.0,T. Warren enters the game for J. Jackson,,95-95,,
9:09.0,,,95-95,,T. Zeller misses 2-pt shot from 2 ft (block by M. Chriss)
9:09.0,Defensive rebound by T. Warren,,95-95,,
8:50.0,Shooting foul by T. Zeller (drawn by T. Warren),,95-95,,
8:50.0,,,95-95,,Brooklyn full timeout
8:50.0,,,95-95,,D. Carroll enters the game for T. Zeller
8:50.0,T. Warren makes free throw 1 of 2,1,96-95,,
8:50.0,T. Warren makes free throw 2 of 2,1,97-95,,
8:32.0,,,97-97,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert)
8:11.0,Turnover by M. Chriss (bad pass; steal by J. Harris),,97-97,,
8:06.0,,,97-99,2,J. Harris makes 2-pt shot from 1 ft
7:51.0,T. Ulis misses 2-pt shot from 15 ft,,97-99,,
7:50.0,,,97-99,,Defensive rebound by Team
7:50.0,D. Booker enters the game for T. Daniels,,97-99,,
7:39.0,Violation by D. Booker (kicked ball),,97-99,,
7:39.0,M. James enters the game for T. Ulis,,97-99,,
7:35.0,,,97-99,,S. Dinwiddie misses 2-pt shot from 1 ft
7:31.0,,,97-99,,Offensive rebound by J. Harris
7:31.0,,,97-102,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Harris)
7:16.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Warren),,97-102,,
7:16.0,T. Warren misses free throw 1 of 2,,97-102,,
7:16.0,Offensive rebound by Team,,97-102,,
7:16.0,T. Warren makes free throw 2 of 2,1,98-102,,
6:55.0,,,98-104,2,D. Carroll makes 2-pt shot from 12 ft
6:42.0,M. Chriss misses 3-pt shot from 23 ft,,98-104,,
6:38.0,,,98-104,,Defensive rebound by R. Hollis-Jefferson
6:35.0,,,98-106,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
6:35.0,Phoenix full timeout,,98-106,,
6:35.0,,,98-106,,A. Crabbe enters the game for S. Dinwiddie
6:35.0,,,98-106,,D. Russell enters the game for J. Harris
6:35.0,D. Bender enters the game for M. Chriss,,98-106,,
6:35.0,T. Chandler enters the game for A. Len,,98-106,,
6:19.0,D. Booker misses 2-pt shot from 7 ft (block by C. LeVert),,98-106,,
6:15.0,Offensive rebound by T. Warren,,98-106,,
6:15.0,T. Warren makes 2-pt shot from 1 ft,2,100-106,,
6:15.0,Shooting foul by D. Carroll (drawn by T. Warren),,100-106,,
6:15.0,T. Warren makes free throw 1 of 1,1,101-106,,
6:02.0,,,101-106,,Turnover by R. Hollis-Jefferson (bad pass; steal by M. James)
5:57.0,M. James makes 2-pt shot from 2 ft,2,103-106,,
5:40.0,,,103-106,,C. LeVert misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by T. Warren,,103-106,,
5:25.0,T. Warren makes 2-pt shot from 18 ft (assist by T. Chandler),2,105-106,,
5:08.0,,,105-106,,D. Russell misses 2-pt shot from 14 ft
5:04.0,Defensive rebound by T. Chandler,,105-106,,
4:49.0,D. Bender makes 2-pt shot from 9 ft (assist by M. James),2,107-106,,
4:27.0,,,107-106,,D. Carroll misses 2-pt shot from 10 ft
4:24.0,Defensive rebound by T. Chandler,,107-106,,
4:17.0,T. Warren misses 2-pt shot from 11 ft,,107-106,,
4:15.0,,,107-106,,Defensive rebound by D. Carroll
4:12.0,,,107-108,2,C. LeVert makes 2-pt shot from 1 ft
3:49.0,D. Booker misses 2-pt shot from 9 ft,,107-108,,
3:48.0,Offensive rebound by T. Warren,,107-108,,
3:48.0,T. Warren makes 2-pt shot from 6 ft,2,109-108,,
3:36.0,,,109-108,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by D. Bender,,109-108,,
3:15.0,D. Bender misses 2-pt shot from 9 ft,,109-108,,
3:15.0,Offensive rebound by T. Warren,,109-108,,
3:10.0,T. Warren makes 2-pt shot from 3 ft,2,111-108,,
2:55.0,,,111-108,,D. Russell misses 2-pt shot from 4 ft (block by T. Chandler)
2:55.0,Defensive rebound by T. Chandler,,111-108,,
2:33.0,M. James makes 2-pt shot from 19 ft,2,113-108,,
2:32.0,,,113-108,,Brooklyn full timeout
2:32.0,,,113-108,,S. Dinwiddie enters the game for C. LeVert
2:24.0,,,113-108,,Turnover by A. Crabbe (out of bounds lost ball)
2:03.0,D. Bender makes 3-pt shot from 25 ft (assist by M. James),3,116-108,,
1:55.0,,,116-110,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft
1:38.0,M. James misses 2-pt shot from 3 ft,,116-110,,
1:37.0,Offensive rebound by M. James,,116-110,,
1:37.0,M. James makes 2-pt shot from 3 ft,2,118-110,,
1:24.0,,,118-110,,D. Russell misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by D. Booker,,118-110,,
1:06.0,Turnover by D. Booker (bad pass; steal by D. Carroll),,118-110,,
1:06.0,Personal foul by T. Chandler (drawn by R. Hollis-Jefferson),,118-110,,
0:59.0,,,118-112,2,D. Russell makes 2-pt shot from 5 ft
0:52.0,Turnover by M. James (bad pass),,118-112,,
0:46.0,,,118-112,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
0:43.0,Defensive rebound by T. Chandler,,118-112,,
0:41.0,Turnover by T. Chandler (bad pass; steal by D. Carroll),,118-112,,
0:38.0,,,118-112,,A. Crabbe misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by T. Warren,,118-112,,
0:38.0,,,118-112,,Personal foul by D. Carroll (drawn by T. Warren)
0:38.0,T. Warren makes free throw 1 of 2,1,119-112,,
0:38.0,,,119-112,,J. Harris enters the game for R. Hollis-Jefferson
0:38.0,J. Jackson enters the game for T. Chandler,,119-112,,
0:38.0,T. Warren makes free throw 2 of 2,1,120-112,,
0:34.0,,,120-112,,Shooting foul by D. Booker (drawn by D. Russell)
0:34.0,,,120-113,1,D. Russell makes free throw 1 of 2
0:34.0,,,120-113,,C. LeVert enters the game for J. Harris
0:34.0,,,120-113,,R. Hollis-Jefferson enters the game for A. Crabbe
0:34.0,T. Chandler enters the game for D. Bender,,120-113,,
0:34.0,,,120-114,1,D. Russell makes free throw 2 of 2
0:34.0,T. Ulis enters the game for T. Chandler,,120-114,,
0:34.0,Turnover by Team (turnover),,120-114,,
0:34.0,,,120-114,,J. Harris enters the game for C. LeVert
0:34.0,,,120-114,,A. Crabbe enters the game for R. Hollis-Jefferson
0:34.0,D. Bender enters the game for T. Ulis,,120-114,,
0:34.0,Phoenix full timeout,,120-114,,
0:27.0,,,120-114,,D. Russell misses 2-pt shot from 1 ft (block by T. Warren)
0:27.0,,,120-114,,Offensive rebound by Team
0:21.0,,,120-114,,D. Russell misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by J. Jackson,,120-114,,
0:18.0,,,120-114,,Personal foul by S. Dinwiddie (drawn by D. Booker)
0:18.0,D. Booker makes free throw 1 of 2,1,121-114,,
0:18.0,,,121-114,,T. Booker enters the game for D. Carroll
0:18.0,D. Booker makes free throw 2 of 2,1,122-114,,
0:18.0,,,122-114,,Brooklyn full timeout
0:18.0,,,122-114,,T. Mozgov enters the game for J. Harris
0:18.0,,,122-114,,D. Carroll enters the game for T. Booker
0:14.0,,,122-114,,A. Crabbe misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by T. Warren,,122-114,,
