time,Philadelphia,pts.away,score,pts.home,Denver
11:09.0,,,58-64,,Defensive rebound by J. Murray
11:09.0,,,58-64,,Turnover by J. Murray (bad pass)
10:50.0,J. Redick misses 2-pt shot from 17 ft,,58-64,,
10:47.0,,,58-64,,Defensive rebound by J. Murray
10:41.0,,,58-64,,J. Murray misses 2-pt shot from 13 ft
10:38.0,Defensive rebound by R. Covington,,58-64,,
10:34.0,R. Covington misses 3-pt shot from 24 ft,,58-64,,
10:30.0,Offensive rebound by D. Saric,,58-64,,
10:27.0,R. Covington misses 3-pt shot from 25 ft,,58-64,,
10:24.0,,,58-64,,Defensive rebound by M. Plumlee
10:17.0,,,58-64,,Shooting foul by A. Johnson (drawn by N. Jokic)
10:17.0,,,58-65,1,N. Jokic makes free throw 1 of 2
10:17.0,,,58-66,1,N. Jokic makes free throw 2 of 2
10:03.0,Turnover by J. Redick (bad pass; steal by G. Harris),,58-66,,
9:58.0,,,58-66,,J. Murray misses 3-pt shot from 23 ft
9:54.0,,,58-66,,Offensive rebound by N. Jokic
9:50.0,,,58-66,,N. Jokic misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Redick,,58-66,,
9:35.0,D. Saric misses 2-pt shot from 4 ft,,58-66,,
9:32.0,,,58-66,,Defensive rebound by N. Jokic
9:27.0,,,58-66,,N. Jokic misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by R. Covington,,58-66,,
9:08.0,D. Saric misses 3-pt shot from 26 ft,,58-66,,
9:04.0,,,58-66,,Defensive rebound by W. Chandler
8:45.0,,,58-66,,J. Murray misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by R. Covington,,58-66,,
8:36.0,B. Simmons misses 2-pt shot from 3 ft,,58-66,,
8:33.0,,,58-66,,Defensive rebound by W. Chandler
8:26.0,,,58-69,3,G. Harris makes 3-pt shot from 27 ft (assist by N. Jokic)
8:14.0,Philadelphia full timeout,,58-69,,
8:14.0,J. Bayless enters the game for D. Saric,,58-69,,
8:14.0,R. Holmes enters the game for J. Redick,,58-69,,
8:14.0,T. McConnell enters the game for A. Johnson,,58-69,,
8:07.0,Turnover by B. Simmons (bad pass; steal by G. Harris),,58-69,,
8:03.0,,,58-71,2,G. Harris makes 2-pt shot from 2 ft
7:54.0,R. Holmes misses 2-pt shot from 3 ft,,58-71,,
7:54.0,,,58-71,,Defensive rebound by N. Jokic
7:49.0,,,58-71,,M. Plumlee misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by R. Covington,,58-71,,
7:49.0,,,58-71,,Personal foul by M. Plumlee (drawn by R. Covington)
7:34.0,R. Holmes misses 2-pt shot from 4 ft,,58-71,,
7:31.0,,,58-71,,Defensive rebound by M. Plumlee
7:29.0,Personal foul by R. Holmes (drawn by N. Jokic),,58-71,,
7:29.0,,,58-71,,W. Barton enters the game for W. Chandler
7:29.0,Personal foul by B. Simmons (drawn by N. Jokic),,58-71,,
7:29.0,,,58-72,1,N. Jokic makes free throw 1 of 2
7:29.0,D. Saric enters the game for B. Simmons,,58-72,,
7:29.0,,,58-72,,N. Jokic misses free throw 2 of 2
7:25.0,Defensive rebound by D. Saric,,58-72,,
7:16.0,Shooting foul by M. Plumlee (drawn by D. Saric),,58-72,,
7:16.0,D. Saric makes free throw 1 of 2,1,59-72,,
7:16.0,D. Saric makes free throw 2 of 2,1,60-72,,
6:56.0,Violation by R. Holmes (kicked ball),,60-72,,
6:46.0,,,60-72,,N. Jokic misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by T. McConnell,,60-72,,
6:37.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,63-72,,
6:34.0,,,63-72,,Denver full timeout
6:34.0,,,63-72,,T. Lyles enters the game for M. Plumlee
6:23.0,,,63-72,,G. Harris misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by D. Saric,,63-72,,
6:11.0,D. Saric makes 2-pt shot from 3 ft (assist by T. McConnell),2,65-72,,
5:55.0,,,65-72,,Turnover by N. Jokic (bad pass; steal by T. McConnell)
5:35.0,R. Holmes makes 2-pt shot from 2 ft (assist by T. McConnell),2,67-72,,
5:10.0,,,67-72,,N. Jokic misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by Team,,67-72,,
4:57.0,T. McConnell makes 2-pt shot from 11 ft,2,69-72,,
4:44.0,,,69-72,,Shooting foul by R. Holmes (drawn by N. Jokic)
4:44.0,,,69-73,1,N. Jokic makes free throw 1 of 2
4:44.0,,,69-73,,W. Chandler enters the game for J. Murray
4:44.0,T. Booker enters the game for D. Saric,,69-73,,
4:44.0,A. Johnson enters the game for R. Holmes,,69-73,,
4:44.0,,,69-74,1,N. Jokic makes free throw 2 of 2
4:35.0,T. McConnell makes 2-pt shot from 13 ft,2,71-74,,
4:21.0,,,71-74,,Turnover by N. Jokic (traveling)
4:11.0,T. Booker makes 2-pt shot from 2 ft (assist by T. McConnell),2,73-74,,
4:11.0,,,73-74,,Denver full timeout
4:11.0,,,73-74,,M. Plumlee enters the game for N. Jokic
3:50.0,,,73-74,,G. Harris misses 2-pt shot from 3 ft
3:47.0,Defensive rebound by T. Booker,,73-74,,
3:29.0,T. McConnell misses 2-pt shot from 21 ft,,73-74,,
3:26.0,,,73-74,,Defensive rebound by T. Lyles
3:08.0,,,73-76,2,W. Barton makes 2-pt shot from 10 ft
2:52.0,,,73-76,,Personal foul by G. Harris (drawn by A. Johnson)
2:50.0,J. Bayless makes 2-pt shot from 2 ft (assist by R. Covington),2,75-76,,
2:41.0,Personal take foul by A. Johnson (drawn by M. Plumlee),,75-76,,
2:41.0,,,75-76,,M. Plumlee misses free throw 1 of 2
2:41.0,,,75-76,,Offensive rebound by Team
2:41.0,,,75-76,,M. Plumlee misses free throw 2 of 2
2:38.0,Defensive rebound by R. Covington,,75-76,,
2:31.0,J. Bayless makes 2-pt shot from 18 ft,2,77-76,,
2:14.0,,,77-76,,Shooting foul by R. Covington (drawn by M. Plumlee)
2:14.0,,,77-76,,M. Plumlee misses free throw 1 of 1
2:14.0,,,77-76,,Offensive rebound by Team
2:14.0,Violation by R. Covington (lane),,77-76,,
2:14.0,,,77-76,,M. Plumlee misses free throw 1 of 1
2:14.0,Defensive rebound by A. Johnson,,77-76,,
1:58.0,J. Bayless makes 2-pt shot from 3 ft (assist by T. McConnell),2,79-76,,
1:42.0,,,79-76,,Offensive charge foul by W. Chandler (drawn by A. Johnson)
1:42.0,,,79-76,,Turnover by W. Chandler (offensive foul)
1:42.0,,,79-76,,J. Murray enters the game for W. Chandler
1:42.0,,,79-76,,W. Chandler enters the game for G. Harris
1:18.0,A. Johnson makes 2-pt shot from 2 ft (assist by R. Covington),2,81-76,,
1:03.0,,,81-76,,W. Barton misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by R. Covington,,81-76,,
0:56.0,R. Covington misses 3-pt shot from 25 ft,,81-76,,
0:52.0,,,81-76,,Defensive rebound by W. Barton
0:48.0,,,81-76,,T. Lyles misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by T. McConnell,,81-76,,
0:43.0,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell),2,83-76,,
0:26.0,Personal take foul by A. Johnson (drawn by M. Plumlee),,83-76,,
0:26.0,,,83-77,1,M. Plumlee makes free throw 1 of 2
0:26.0,D. Saric enters the game for A. Johnson,,83-77,,
0:26.0,,,83-77,,M. Plumlee misses free throw 2 of 2
0:23.0,Defensive rebound by D. Saric,,83-77,,
0:04.0,J. Bayless misses 3-pt shot from 23 ft,,83-77,,
0:01.0,,,83-77,,Defensive rebound by W. Barton
0:00.0,,,83-80,3,T. Lyles makes 3-pt shot from 36 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Bayless makes 3-pt shot from 25 ft (assist by D. Saric),3,86-80,,
11:26.0,,,86-80,,Turnover by T. Lyles (bad pass; steal by J. Bayless)
11:22.0,J. Bayless makes 2-pt shot from 10 ft,2,88-80,,
11:04.0,,,88-80,,T. Lyles misses 2-pt shot from 6 ft
10:57.0,,,88-80,,Offensive rebound by M. Plumlee
10:57.0,,,88-80,,M. Plumlee misses 2-pt shot at rim
10:57.0,Defensive rebound by D. Saric,,88-80,,
10:54.0,J. Bayless makes 3-pt shot from 23 ft (assist by D. Saric),3,91-80,,
10:54.0,,,91-80,,Denver full timeout
10:54.0,,,91-80,,N. Jokic enters the game for M. Plumlee
10:47.0,,,91-80,,T. Lyles misses 2-pt shot from 2 ft (block by D. Saric)
10:43.0,Defensive rebound by B. Simmons,,91-80,,
10:33.0,D. Saric misses 2-pt shot from 18 ft,,91-80,,
10:28.0,Offensive rebound by T. Booker,,91-80,,
10:27.0,T. Booker misses 2-pt shot from 2 ft (block by J. Murray),,91-80,,
10:27.0,Offensive rebound by J. Bayless,,91-80,,
10:10.0,Turnover by J. Bayless (lost ball; steal by G. Harris),,91-80,,
10:06.0,,,91-82,2,J. Murray makes 2-pt shot from 2 ft (assist by G. Harris)
9:47.0,T. Booker misses 2-pt shot from 2 ft,,91-82,,
9:44.0,,,91-82,,Defensive rebound by T. Lyles
9:40.0,,,91-84,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
9:40.0,Philadelphia full timeout,,91-84,,
9:40.0,A. Johnson enters the game for T. Booker,,91-84,,
9:30.0,J. Redick makes 2-pt shot from 19 ft (assist by A. Johnson),2,93-84,,
9:16.0,,,93-84,,Turnover by T. Lyles (bad pass; steal by A. Johnson)
9:04.0,J. Redick misses 2-pt shot from 11 ft,,93-84,,
9:02.0,,,93-84,,Defensive rebound by N. Jokic
9:00.0,,,93-84,,Offensive charge foul by J. Murray (drawn by B. Simmons)
9:00.0,,,93-84,,Turnover by J. Murray (offensive foul)
8:52.0,B. Simmons misses 2-pt shot from 4 ft,,93-84,,
8:50.0,,,93-84,,Defensive rebound by N. Jokic
8:43.0,,,93-84,,J. Murray misses 2-pt shot from 2 ft
8:42.0,,,93-84,,Offensive rebound by J. Murray
8:41.0,,,93-86,2,J. Murray makes 2-pt shot from 4 ft
8:41.0,,,93-86,,Shooting foul by J. Bayless (drawn by J. Murray)
