time,Atlanta,pts.away,score,pts.home,Portland
3:38.0,,,86-105,,Portland full timeout
3:30.0,,,86-105,,Z. Collins misses 2-pt shot from 16 ft
3:28.0,Defensive rebound by J. Collins,,86-105,,
3:18.0,Turnover by I. Taylor (bad pass; steal by P. Connaughton),,86-105,,
3:07.0,,,86-105,,Z. Collins misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by T. Dorsey,,86-105,,
2:56.0,T. Dorsey misses 2-pt shot from 15 ft,,86-105,,
2:54.0,,,86-105,,Defensive rebound by N. Vonleh
2:42.0,,,86-105,,J. Layman misses 2-pt shot from 20 ft
2:42.0,Defensive rebound by Team,,86-105,,
2:34.0,T. Dorsey misses 2-pt shot from 7 ft,,86-105,,
2:34.0,,,86-105,,Defensive rebound by N. Vonleh
2:22.0,,,86-105,,Turnover by S. Napier (bad pass; steal by T. Dorsey)
2:20.0,Shooting foul by P. Connaughton (drawn by T. Dorsey),,86-105,,
2:20.0,T. Dorsey makes free throw 1 of 2,1,87-105,,
2:20.0,T. Dorsey makes free throw 2 of 2,1,88-105,,
2:08.0,,,88-107,2,S. Napier makes 2-pt shot from 2 ft
1:57.0,L. Babbitt misses 3-pt shot from 22 ft (block by J. Layman),,88-107,,
1:57.0,Offensive rebound by Team,,88-107,,
1:44.0,I. Taylor misses 3-pt shot from 24 ft,,88-107,,
1:40.0,,,88-107,,Defensive rebound by N. Vonleh
1:20.0,,,88-107,,N. Vonleh misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by L. Babbitt,,88-107,,
1:13.0,Turnover by L. Babbitt (out of bounds lost ball),,88-107,,
1:01.0,,,88-107,,J. Layman misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by M. Muscala,,88-107,,
0:50.0,T. Dorsey misses 2-pt shot from 2 ft,,88-107,,
0:48.0,,,88-107,,Defensive rebound by N. Vonleh
0:34.0,,,88-110,3,J. Layman makes 3-pt shot from 23 ft (assist by S. Napier)
0:24.0,,,88-110,,Personal foul by P. Connaughton (drawn by T. Dorsey)
0:24.0,T. Dorsey misses free throw 1 of 2,,88-110,,
0:24.0,Offensive rebound by Team,,88-110,,
0:24.0,T. Dorsey makes free throw 2 of 2,1,89-110,,
0:00.0,,,89-110,,Turnover by Team (shot clock)
