time,Washington,pts.away,score,pts.home,Utah
1:30.0,Turnover by K. Oubre (lost ball; steal by E. Udoh),,69-115,,
1:30.0,Personal foul by C. McCullough (drawn by R. Neto),,69-115,,
1:30.0,,,69-115,,R. Neto misses free throw 1 of 2
1:30.0,,,69-115,,Offensive rebound by Team
1:30.0,,,69-116,1,R. Neto makes free throw 2 of 2
1:16.0,K. Oubre misses 2-pt shot from 7 ft,,69-116,,
1:11.0,Offensive rebound by M. Scott,,69-116,,
1:06.0,C. McCullough misses 2-pt shot from 17 ft,,69-116,,
1:05.0,,,69-116,,Defensive rebound by Team
0:54.0,,,69-116,,R. Neto misses 2-pt shot from 1 ft
0:51.0,Defensive rebound by C. McCullough,,69-116,,
0:44.0,J. Meeks misses 3-pt shot from 25 ft,,69-116,,
0:40.0,,,69-116,,Defensive rebound by A. Burks
0:27.0,,,69-116,,E. Udoh misses 2-pt shot from 8 ft
0:21.0,Defensive rebound by C. McCullough,,69-116,,
0:19.0,C. McCullough misses 3-pt shot from 25 ft,,69-116,,
0:14.0,,,69-116,,Defensive rebound by A. Burks
