time,Phoenix,pts.away,score,pts.home,Chicago
10:12.0,M. James misses 3-pt shot from 26 ft,,77-70,,
10:11.0,Offensive rebound by A. Len,,77-70,,
10:10.0,A. Len misses 2-pt shot from 1 ft (block by C. Felicio),,77-70,,
10:08.0,,,77-70,,Defensive rebound by J. Grant
10:00.0,,,77-70,,A. Blakeney misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by T. Daniels,,77-70,,
9:53.0,M. James makes 3-pt shot from 25 ft (assist by T. Daniels),3,80-70,,
9:52.0,,,80-70,,Chicago full timeout
9:52.0,,,80-70,,K. Dunn enters the game for A. Blakeney
9:33.0,,,80-72,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant)
9:20.0,,,80-72,,Personal foul by C. Felicio (drawn by D. Bender)
9:15.0,Shooting foul by K. Dunn (drawn by T. Warren),,80-72,,
9:15.0,T. Warren makes free throw 1 of 2,1,81-72,,
9:15.0,T. Warren makes free throw 2 of 2,1,82-72,,
9:09.0,,,82-72,,Turnover by K. Dunn (out of bounds lost ball)
8:57.0,Turnover by M. James (bad pass; steal by J. Grant),,82-72,,
8:51.0,,,82-72,,D. Valentine misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by M. James,,82-72,,
8:47.0,T. Warren makes 2-pt shot from 1 ft (assist by M. James),2,84-72,,
8:30.0,,,84-72,,B. Portis misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by A. Len,,84-72,,
8:25.0,D. Bender misses 3-pt shot from 24 ft,,84-72,,
8:23.0,Offensive rebound by T. Warren,,84-72,,
8:22.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. James),3,87-72,,
8:22.0,,,87-72,,Chicago full timeout
8:22.0,,,87-72,,L. Markkanen enters the game for J. Grant
8:22.0,,,87-72,,J. Holiday enters the game for C. Felicio
8:07.0,,,87-74,2,J. Holiday makes 2-pt shot from 8 ft (assist by L. Markkanen)
7:45.0,M. James misses 2-pt shot from 4 ft,,87-74,,
7:40.0,,,87-74,,Defensive rebound by D. Valentine
7:35.0,,,87-74,,D. Valentine misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by A. Len,,87-74,,
7:11.0,A. Len makes 2-pt shot from 1 ft (assist by M. James),2,89-74,,
6:59.0,,,89-77,3,J. Holiday makes 3-pt shot from 24 ft (assist by K. Dunn)
6:45.0,T. Daniels makes 3-pt shot from 27 ft (assist by A. Len),3,92-77,,
6:29.0,,,92-77,,J. Holiday misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by D. Bender,,92-77,,
6:14.0,T. Daniels misses 3-pt shot from 23 ft,,92-77,,
6:11.0,,,92-77,,Defensive rebound by L. Markkanen
6:09.0,,,92-77,,Turnover by K. Dunn (bad pass; steal by M. James)
6:02.0,A. Len makes 2-pt shot from 1 ft (assist by T. Warren),2,94-77,,
5:48.0,,,94-80,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Holiday)
5:25.0,Turnover by A. Len (bad pass; steal by D. Valentine),,94-80,,
5:23.0,,,94-80,,Shooting foul by M. James (drawn by B. Portis)
5:23.0,,,94-81,1,B. Portis makes free throw 1 of 2
5:23.0,T. Ulis enters the game for T. Daniels,,94-81,,
5:23.0,D. Booker enters the game for M. James,,94-81,,
5:23.0,,,94-82,1,B. Portis makes free throw 2 of 2
5:18.0,Phoenix full timeout,,94-82,,
5:05.0,T. Warren misses 2-pt shot from 21 ft,,94-82,,
5:05.0,Offensive rebound by A. Len,,94-82,,
5:00.0,,,94-82,,Personal foul by B. Portis (drawn by A. Len)
4:45.0,T. Ulis misses 2-pt shot from 11 ft,,94-82,,
4:42.0,,,94-82,,Defensive rebound by D. Valentine
4:39.0,,,94-82,,J. Holiday misses 3-pt shot from 23 ft
4:35.0,,,94-82,,Offensive rebound by D. Valentine
4:30.0,,,94-85,3,K. Dunn makes 3-pt shot from 25 ft (assist by D. Valentine)
4:15.0,Shooting foul by L. Markkanen (drawn by A. Len),,94-85,,
4:15.0,A. Len misses free throw 1 of 2,,94-85,,
4:15.0,Offensive rebound by Team,,94-85,,
4:15.0,,,94-85,,R. Lopez enters the game for B. Portis
4:15.0,M. Chriss enters the game for D. Bender,,94-85,,
4:15.0,A. Len makes free throw 2 of 2,1,95-85,,
3:57.0,,,95-85,,Shooting foul by M. Chriss (drawn by J. Holiday)
3:57.0,,,95-85,,J. Holiday misses free throw 1 of 2
3:57.0,,,95-85,,Offensive rebound by Team
3:57.0,,,95-86,1,J. Holiday makes free throw 2 of 2
3:44.0,D. Booker misses 2-pt shot from 14 ft (block by J. Holiday),,95-86,,
3:40.0,,,95-86,,Defensive rebound by D. Valentine
3:37.0,,,95-89,3,K. Dunn makes 3-pt shot from 22 ft (assist by J. Holiday)
3:35.0,Phoenix full timeout,,95-89,,
3:16.0,D. Booker makes 2-pt shot at rim,2,97-89,,
2:55.0,,,97-89,,R. Lopez misses 2-pt shot from 8 ft
2:53.0,Defensive rebound by A. Len,,97-89,,
2:37.0,D. Booker misses 2-pt shot from 21 ft,,97-89,,
2:33.0,,,97-89,,Defensive rebound by L. Markkanen
2:21.0,,,97-91,2,J. Holiday makes 2-pt shot at rim (assist by L. Markkanen)
2:03.0,Shooting foul by J. Holiday (drawn by D. Booker),,97-91,,
2:03.0,D. Booker misses free throw 1 of 3,,97-91,,
2:03.0,Offensive rebound by Team,,97-91,,
