time,Utah,pts.away,score,pts.home,Charlotte
3:27.0,,,85-89,,Shooting foul by D. Favors (drawn by D. Howard)
3:27.0,,,85-89,,D. Howard misses free throw 1 of 2
3:27.0,,,85-89,,Offensive rebound by Team
3:27.0,,,85-89,,M. Williams enters the game for F. Kaminsky
3:27.0,,,85-90,1,D. Howard makes free throw 2 of 2
3:07.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,87-90,,
2:56.0,,,87-90,,Turnover by K. Walker (bad pass)
2:45.0,D. Mitchell misses 2-pt shot from 20 ft,,87-90,,
2:41.0,,,87-90,,Defensive rebound by M. Kidd-Gilchrist
2:33.0,,,87-90,,K. Walker misses 2-pt shot from 19 ft
2:30.0,,,87-90,,Offensive rebound by Team
2:16.0,,,87-90,,Shooting foul by D. Favors (drawn by D. Howard)
2:16.0,,,87-90,,D. Howard misses free throw 1 of 2
2:16.0,,,87-90,,Offensive rebound by Team
2:16.0,,,87-90,,D. Howard misses free throw 2 of 2
2:11.0,Defensive rebound by J. Johnson,,87-90,,
2:04.0,Turnover by D. Mitchell (lost ball; steal by M. Kidd-Gilchrist),,87-90,,
2:00.0,,,87-92,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
1:44.0,D. Mitchell misses 3-pt shot from 26 ft,,87-92,,
1:41.0,,,87-92,,Defensive rebound by M. Kidd-Gilchrist
1:32.0,,,87-94,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
1:32.0,Utah full timeout,,87-94,,
1:25.0,R. Hood misses 3-pt shot from 23 ft,,87-94,,
1:23.0,,,87-94,,Defensive rebound by D. Howard
1:21.0,,,87-94,,Turnover by D. Howard (bad pass; steal by D. Mitchell)
1:17.0,J. Johnson misses 3-pt shot from 24 ft,,87-94,,
1:17.0,,,87-94,,Defensive rebound by D. Howard
1:17.0,Personal take foul by R. Hood (drawn by D. Howard),,87-94,,
1:17.0,,,87-95,1,D. Howard makes free throw 1 of 2
1:17.0,,,87-95,,D. Howard misses free throw 2 of 2
1:14.0,Defensive rebound by D. Favors,,87-95,,
1:10.0,Shooting foul by D. Howard (drawn by D. Mitchell),,87-95,,
1:10.0,D. Mitchell misses free throw 1 of 2,,87-95,,
1:10.0,Offensive rebound by Team,,87-95,,
1:10.0,D. Mitchell makes free throw 2 of 2,1,88-95,,
1:09.0,Personal foul by D. Mitchell (drawn by K. Walker),,88-95,,
1:09.0,,,88-96,1,K. Walker makes free throw 1 of 2
1:09.0,,,88-97,1,K. Walker makes free throw 2 of 2
1:05.0,Offensive charge foul by D. Mitchell (drawn by K. Walker),,88-97,,
1:05.0,Turnover by D. Mitchell (offensive foul),,88-97,,
1:05.0,,,88-97,,Charlotte full timeout
1:05.0,R. O'Neale enters the game for J. Johnson,,88-97,,
1:04.0,Violation by J. Ingles (kicked ball),,88-97,,
1:01.0,Personal foul by J. Ingles (drawn by K. Walker),,88-97,,
1:01.0,,,88-98,1,K. Walker makes free throw 1 of 2
1:01.0,J. Johnson enters the game for R. O'Neale,,88-98,,
1:01.0,,,88-99,1,K. Walker makes free throw 2 of 2
0:57.0,R. Hood misses 3-pt shot from 26 ft,,88-99,,
0:53.0,,,88-99,,Defensive rebound by M. Williams
0:35.0,,,88-99,,K. Walker misses 2-pt shot from 20 ft
0:31.0,Defensive rebound by D. Favors,,88-99,,
0:28.0,D. Mitchell misses 3-pt shot from 27 ft,,88-99,,
0:24.0,,,88-99,,Defensive rebound by N. Batum
0:00.0,,,88-99,,Turnover by Team (shot clock)
