time,Brooklyn,pts.away,score,pts.home,Phoenix
10:44.0,,,74-68,,Offensive rebound by A. Len
10:41.0,Jump ball: A. Len vs. T. Zeller,,,,Jump ball: A. Len vs. T. Zeller
10:41.0,Loose ball foul by S. Dinwiddie (drawn by J. Jackson),,74-68,,
10:41.0,T. Mozgov enters the game for T. Zeller,,74-68,,
10:38.0,Personal foul by S. Dinwiddie (drawn by T. Ulis),,74-68,,
10:33.0,,,74-68,,T. Daniels misses 2-pt shot from 11 ft
10:31.0,,,74-68,,Offensive rebound by Team
10:30.0,Personal foul by D. Carroll (drawn by J. Dudley),,74-68,,
10:19.0,Personal foul by T. Mozgov (drawn by A. Len),,74-68,,
10:14.0,,,74-70,2,A. Len makes 2-pt shot from 1 ft (assist by T. Daniels)
10:14.0,,,74-70,,Shooting foul by T. Mozgov (drawn by A. Len)
10:14.0,Q. Acy enters the game for T. Mozgov,,74-70,,
10:14.0,,,74-71,1,A. Len makes free throw 1 of 1
9:51.0,Turnover by J. Harris (bad pass; steal by J. Jackson),,74-71,,
9:49.0,,,74-73,2,J. Jackson makes 2-pt shot at rim
9:49.0,Brooklyn full timeout,,74-73,,
9:39.0,Q. Acy misses 3-pt shot from 25 ft,,74-73,,
9:36.0,,,74-73,,Defensive rebound by A. Len
9:17.0,,,74-75,2,J. Dudley makes 2-pt shot at rim (assist by A. Len)
9:02.0,,,74-75,,Personal foul by J. Dudley (drawn by S. Dinwiddie)
9:02.0,A. Crabbe enters the game for S. Dinwiddie,,74-75,,
9:02.0,D. Russell enters the game for J. Harris,,74-75,,
8:57.0,,,74-75,,Personal block foul by J. Dudley (drawn by A. Crabbe)
8:52.0,Shooting foul by A. Len (drawn by D. Russell),,74-75,,
8:52.0,D. Russell makes free throw 2 of 2,1,75-75,,
8:52.0,D. Russell makes free throw 1 of 2,1,76-75,,
8:52.0,,,76-75,,T. Chandler enters the game for A. Len
8:40.0,,,76-75,,T. Daniels misses 3-pt shot from 24 ft
8:37.0,,,76-75,,Offensive rebound by J. Jackson
8:35.0,,,76-75,,Turnover by J. Jackson (bad pass; steal by D. Russell)
8:30.0,C. LeVert makes 2-pt shot at rim (assist by D. Russell),2,78-75,,
8:28.0,,,78-75,,Phoenix full timeout
8:28.0,,,78-75,,D. Booker enters the game for J. Jackson
8:28.0,,,78-75,,T. Warren enters the game for T. Daniels
8:28.0,T. Zeller enters the game for D. Carroll,,78-75,,
8:18.0,,,78-77,2,T. Warren makes 2-pt shot from 16 ft (assist by J. Dudley)
8:05.0,A. Crabbe makes 2-pt shot from 20 ft,2,80-77,,
7:52.0,,,80-77,,Turnover by D. Booker (lost ball; steal by C. LeVert)
7:48.0,D. Russell makes 2-pt shot at rim,2,82-77,,
7:26.0,,,82-77,,D. Booker misses 2-pt shot from 1 ft
7:22.0,,,82-77,,Offensive rebound by T. Chandler
7:22.0,,,82-79,2,T. Chandler makes 2-pt shot at rim
7:13.0,D. Russell makes 2-pt shot from 16 ft,2,84-79,,
7:02.0,,,84-79,,T. Ulis misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by A. Crabbe,,84-79,,
6:55.0,,,84-79,,Personal foul by T. Ulis (drawn by D. Russell)
6:55.0,,,84-79,,M. James enters the game for T. Ulis
6:55.0,D. Carroll enters the game for Q. Acy,,84-79,,
6:48.0,D. Russell makes 2-pt shot from 8 ft,2,86-79,,
6:36.0,,,86-81,2,D. Booker makes 2-pt shot from 17 ft
6:24.0,,,86-81,,Personal foul by T. Warren (drawn by T. Zeller)
6:24.0,T. Zeller makes free throw 1 of 2,1,87-81,,
6:24.0,T. Zeller misses free throw 2 of 2,,87-81,,
6:22.0,,,87-81,,Defensive rebound by T. Chandler
6:03.0,,,87-84,3,M. James makes 3-pt shot from 25 ft
5:43.0,D. Russell makes 2-pt shot from 16 ft,2,89-84,,
5:17.0,,,89-84,,T. Warren misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by D. Carroll,,89-84,,
5:07.0,Shooting foul by M. James (drawn by D. Russell),,89-84,,
5:07.0,D. Russell makes free throw 1 of 2,1,90-84,,
5:07.0,S. Dinwiddie enters the game for C. LeVert,,90-84,,
5:07.0,D. Russell misses free throw 2 of 2,,90-84,,
5:05.0,,,90-84,,Defensive rebound by T. Warren
4:56.0,,,90-86,2,M. James makes 2-pt shot from 18 ft
4:55.0,Brooklyn full timeout,,90-86,,
4:36.0,Turnover by T. Zeller (turnover),,90-86,,
4:36.0,Q. Acy enters the game for T. Zeller,,90-86,,
4:22.0,,,90-86,,M. James misses 2-pt shot from 2 ft
4:19.0,,,90-86,,Offensive rebound by J. Dudley
4:08.0,,,90-86,,Offensive foul by T. Chandler (drawn by D. Russell)
4:08.0,,,90-86,,Turnover by T. Chandler (offensive foul)
3:55.0,Q. Acy misses 3-pt shot from 25 ft,,90-86,,
3:47.0,,,90-86,,Defensive rebound by M. James
3:37.0,,,90-86,,D. Booker misses 2-pt shot from 23 ft
3:35.0,Defensive rebound by Q. Acy,,90-86,,
3:30.0,,,90-86,,Personal foul by D. Booker (drawn by D. Russell)
3:30.0,D. Russell misses free throw 1 of 2,,90-86,,
3:30.0,Offensive rebound by Team,,90-86,,
3:30.0,D. Russell makes free throw 2 of 2,1,91-86,,
3:14.0,,,91-86,,M. James misses 3-pt shot from 27 ft
3:11.0,Defensive rebound by Q. Acy,,91-86,,
3:02.0,Turnover by D. Russell (discontinued dribble),,91-86,,
3:02.0,,,91-86,,Phoenix full timeout
2:44.0,,,91-86,,T. Warren misses 2-pt shot from 1 ft (block by A. Crabbe)
2:42.0,Defensive rebound by D. Russell,,91-86,,
2:37.0,Shooting foul by D. Booker (drawn by A. Crabbe),,91-86,,
2:37.0,,,91-86,,T. Ulis enters the game for D. Booker
2:37.0,A. Crabbe makes free throw 1 of 2,1,92-86,,
2:37.0,A. Crabbe misses free throw 2 of 2,,92-86,,
2:35.0,,,92-86,,Defensive rebound by J. Dudley
2:16.0,,,92-88,2,M. James makes 2-pt shot from 12 ft
2:16.0,,,92-88,,Shooting foul by S. Dinwiddie (drawn by M. James)
2:16.0,,,92-88,,M. James misses free throw 1 of 1
2:14.0,Defensive rebound by D. Carroll,,92-88,,
1:53.0,D. Carroll makes 2-pt shot from 13 ft,2,94-88,,
1:41.0,,,94-90,2,T. Warren makes 2-pt shot at rim
1:28.0,D. Carroll makes 2-pt shot at rim (assist by D. Russell),2,96-90,,
1:28.0,,,96-90,,Phoenix full timeout
1:25.0,,,96-90,,T. Warren misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by D. Russell,,96-90,,
1:00.0,Q. Acy misses 3-pt shot from 26 ft,,96-90,,
0:56.0,Offensive rebound by S. Dinwiddie,,96-90,,
0:36.0,D. Carroll misses 2-pt shot from 17 ft,,96-90,,
0:34.0,,,96-90,,Defensive rebound by T. Warren
0:28.0,,,96-90,,Shooting foul by D. Russell (drawn by T. Warren)
0:28.0,,,96-91,1,T. Warren makes free throw 1 of 2
0:28.0,,,96-92,1,T. Warren makes free throw 2 of 2
0:24.0,,,96-92,,Personal take foul by M. James (drawn by D. Russell)
0:24.0,D. Russell misses free throw 1 of 2,,96-92,,
0:24.0,Offensive rebound by Team,,96-92,,
0:24.0,C. LeVert enters the game for Q. Acy,,96-92,,
0:24.0,D. Russell makes free throw 2 of 2,1,97-92,,
0:19.0,,,97-92,,M. James misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by D. Russell,,97-92,,
0:10.0,,,97-92,,Personal foul by M. James (drawn by D. Carroll)
0:10.0,D. Carroll misses free throw 1 of 2,,97-92,,
0:10.0,Offensive rebound by Team,,97-92,,
0:10.0,D. Carroll makes free throw 2 of 2,1,98-92,,
0:07.0,,,98-92,,T. Warren misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by D. Carroll,,98-92,,
