time,Cleveland,pts.away,score,pts.home,Washington
3:10.0,Offensive rebound by L. James,,120-113,,
3:10.0,,,120-113,,Personal foul by K. Oubre (drawn by L. James)
2:53.0,L. James makes 3-pt shot from 29 ft,3,123-113,,
2:41.0,,,123-113,,Turnover by B. Beal (bad pass)
2:18.0,L. James makes 2-pt shot from 1 ft,2,125-113,,
2:13.0,,,125-113,,K. Oubre misses 2-pt shot from 1 ft
2:13.0,,,125-113,,Offensive rebound by Team
2:05.0,,,125-115,2,B. Beal makes 2-pt shot from 14 ft
2:05.0,,,125-115,,Shooting foul by J. Smith (drawn by B. Beal)
2:05.0,,,125-116,1,B. Beal makes free throw 1 of 1
1:45.0,L. James misses 2-pt shot from 18 ft,,125-116,,
1:42.0,,,125-116,,Defensive rebound by K. Oubre
1:33.0,,,125-118,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
1:33.0,Cleveland full timeout,,125-118,,
1:33.0,K. Korver enters the game for J. Green,,125-118,,
1:09.0,L. James misses 2-pt shot from 12 ft,,125-118,,
1:09.0,Offensive rebound by Team,,125-118,,
1:09.0,Turnover by Team (shot clock),,125-118,,
1:09.0,J. Green enters the game for K. Korver,,125-118,,
1:03.0,,,125-118,,Shooting foul by J. Crowder (drawn by J. Wall)
1:03.0,,,125-118,,J. Wall misses free throw 1 of 2
1:03.0,,,125-118,,Offensive rebound by Team
1:03.0,K. Korver enters the game for J. Green,,125-118,,
1:03.0,,,125-119,1,J. Wall makes free throw 2 of 2
0:52.0,L. James makes 2-pt shot from 6 ft (assist by D. Rose),2,127-119,,
0:52.0,Shooting foul by O. Porter (drawn by L. James),,127-119,,
0:52.0,J. Green enters the game for K. Korver,,127-119,,
0:52.0,L. James makes free throw 1 of 1,1,128-119,,
0:47.0,,,128-119,,B. Beal misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by J. Green,,128-119,,
0:39.0,J. Crowder makes 2-pt shot at rim (assist by L. James),2,130-119,,
0:23.0,,,130-122,3,K. Oubre makes 3-pt shot from 27 ft (assist by B. Beal)
