time,Philadelphia,pts.away,score,pts.home,Phoenix
8:35.0,,,98-96,,T. Daniels misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by B. Simmons,,98-96,,
8:21.0,R. Covington misses 2-pt shot from 4 ft,,98-96,,
8:19.0,Offensive rebound by R. Covington,,98-96,,
8:16.0,R. Covington makes 2-pt shot from 18 ft,2,100-96,,
7:57.0,Personal block foul by J. Redick (drawn by T. Daniels),,100-96,,
7:57.0,,,100-96,,T. Warren enters the game for I. Canaan
7:57.0,J. Bayless enters the game for J. Redick,,100-96,,
7:57.0,D. Saric enters the game for T. Booker,,100-96,,
7:46.0,,,100-99,3,T. Daniels makes 3-pt shot from 23 ft (assist by D. Bender)
7:33.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,103-99,,
7:09.0,,,103-99,,T. Daniels misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by Team,,103-99,,
7:09.0,,,103-99,,Loose ball foul by T. Chandler (drawn by B. Simmons)
7:09.0,,,103-99,,M. Chriss enters the game for D. Bender
7:09.0,,,103-99,,A. Len enters the game for T. Chandler
6:58.0,,,103-99,,Personal foul by D. Booker (drawn by R. Covington)
6:58.0,,,103-99,,Phoenix full timeout
6:53.0,B. Simmons makes 2-pt shot at rim,2,105-99,,
6:37.0,,,105-99,,M. Chriss misses 2-pt shot from 21 ft
6:34.0,Defensive rebound by A. Johnson,,105-99,,
6:25.0,D. Saric misses 2-pt shot from 7 ft,,105-99,,
6:22.0,Offensive rebound by A. Johnson,,105-99,,
6:03.0,D. Saric misses 3-pt shot from 25 ft,,105-99,,
6:01.0,,,105-99,,Defensive rebound by D. Booker
5:59.0,Personal block foul by B. Simmons (drawn by D. Booker),,105-99,,
5:59.0,,,105-99,,T. Chandler enters the game for A. Len
5:59.0,J. Embiid enters the game for A. Johnson,,105-99,,
5:56.0,,,105-101,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
5:39.0,J. Embiid misses 2-pt shot from 11 ft,,105-101,,
5:36.0,,,105-101,,Defensive rebound by D. Booker
5:23.0,,,105-104,3,D. Booker makes 3-pt shot from 26 ft
5:22.0,Philadelphia full timeout,,105-104,,
5:05.0,R. Covington misses 2-pt shot at rim,,105-104,,
5:02.0,,,105-104,,Defensive rebound by D. Booker
4:48.0,,,105-104,,D. Booker misses 3-pt shot from 28 ft
4:45.0,Defensive rebound by J. Bayless,,105-104,,
4:33.0,B. Simmons makes 2-pt shot at rim,2,107-104,,
4:33.0,Shooting foul by M. Chriss (drawn by B. Simmons),,107-104,,
4:33.0,J. Redick enters the game for J. Bayless,,107-104,,
4:33.0,B. Simmons misses free throw 1 of 1,,107-104,,
4:32.0,,,107-104,,Defensive rebound by M. Chriss
4:18.0,,,107-104,,D. Booker misses 2-pt shot at rim
4:18.0,,,107-104,,Offensive rebound by T. Chandler
4:13.0,,,107-104,,Turnover by M. Chriss (bad pass; steal by B. Simmons)
4:11.0,,,107-104,,Personal take foul by T. Daniels (drawn by B. Simmons)
4:11.0,B. Simmons makes free throw 1 of 2,1,108-104,,
4:11.0,B. Simmons makes free throw 2 of 2,1,109-104,,
3:54.0,,,109-104,,Phoenix full timeout
3:54.0,Loose ball foul by J. Embiid (drawn by D. Booker),,109-104,,
3:48.0,,,109-104,,T. Warren misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by J. Embiid,,109-104,,
3:34.0,Shooting foul by M. Chriss (drawn by B. Simmons),,109-104,,
3:34.0,,,109-104,,D. Bender enters the game for M. Chriss
3:34.0,B. Simmons misses free throw 1 of 2,,109-104,,
3:34.0,Offensive rebound by Team,,109-104,,
3:34.0,B. Simmons makes free throw 2 of 2,1,110-104,,
3:22.0,,,110-106,2,T. Warren makes 2-pt shot from 11 ft
3:17.0,Philadelphia full timeout,,110-106,,
3:11.0,J. Redick makes 2-pt shot from 19 ft (assist by J. Embiid),2,112-106,,
2:45.0,,,112-106,,D. Booker misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by J. Embiid,,112-106,,
2:22.0,B. Simmons makes 2-pt shot from 1 ft,2,114-106,,
2:10.0,,,114-106,,Shooting foul by D. Saric (drawn by D. Booker)
2:10.0,,,114-107,1,D. Booker makes free throw 1 of 2
2:10.0,,,114-108,1,D. Booker makes free throw 2 of 2
1:57.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick),2,116-108,,
1:49.0,,,116-108,,D. Booker misses 2-pt shot from 21 ft
1:45.0,Defensive rebound by B. Simmons,,116-108,,
1:31.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Simmons),3,119-108,,
1:31.0,,,119-108,,Phoenix full timeout
1:31.0,Personal foul by D. Saric (drawn by D. Booker),,119-108,,
1:31.0,,,119-109,1,D. Booker makes free throw 1 of 2
1:31.0,,,119-110,1,D. Booker makes free throw 2 of 2
1:30.0,,,119-110,,Personal take foul by T. Chandler (drawn by B. Simmons)
1:30.0,B. Simmons misses free throw 1 of 2,,119-110,,
1:30.0,Offensive rebound by Team,,119-110,,
1:30.0,B. Simmons makes free throw 2 of 2,1,120-110,,
1:23.0,,,120-110,,D. Booker misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by R. Covington,,120-110,,
1:07.0,Turnover by J. Embiid (traveling),,120-110,,
1:07.0,T. McConnell enters the game for D. Saric,,120-110,,
1:01.0,,,120-110,,T. Daniels misses 3-pt shot from 25 ft (block by J. Embiid)
1:00.0,,,120-110,,Offensive rebound by T. Daniels
0:57.0,,,120-110,,D. Booker misses 2-pt shot at rim
0:55.0,,,120-110,,Offensive rebound by T. Chandler
0:55.0,,,120-110,,T. Chandler misses 2-pt shot at rim
0:54.0,,,120-110,,T. Chandler misses 2-pt shot at rim
0:54.0,,,120-110,,Offensive rebound by T. Chandler
0:53.0,Defensive rebound by B. Simmons,,120-110,,
0:52.0,,,120-110,,Personal take foul by T. Chandler (drawn by B. Simmons)
0:52.0,B. Simmons makes free throw 1 of 2,1,121-110,,
0:52.0,B. Simmons misses free throw 2 of 2,,121-110,,
0:52.0,Offensive rebound by J. Embiid,,121-110,,
0:41.0,,,121-110,,Personal foul by T. Warren (drawn by J. Redick)
0:41.0,J. Redick makes free throw 1 of 2,1,122-110,,
0:41.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,122-110,,
0:41.0,J. Redick makes free throw 2 of 2,1,123-110,,
0:35.0,,,123-110,,Turnover by D. Bender (bad pass; steal by T. McConnell)
0:17.0,R. Covington misses 3-pt shot from 31 ft,,123-110,,
0:15.0,,,123-110,,Defensive rebound by T. Chandler
0:06.0,,,123-110,,T. Warren misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by B. Simmons,,123-110,,
