time,LA Clippers,pts.away,score,pts.home,Miami
1:19.0,,,85-86,2,G. Dragic makes 2-pt shot from 11 ft (assist by B. Adebayo)
0:59.0,Turnover by J. Evans (out of bounds lost ball),,85-86,,
0:59.0,C. Williams enters the game for L. Williams,,85-86,,
0:39.0,,,85-86,,G. Dragic misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by D. Jordan,,85-86,,
0:32.0,LA Clippers full timeout,,85-86,,
0:32.0,,,85-86,,T. Johnson enters the game for G. Dragic
0:32.0,L. Williams enters the game for C. Williams,,85-86,,
0:28.0,Offensive foul by L. Williams (drawn by J. Richardson),,85-86,,
0:28.0,Turnover by L. Williams (offensive foul),,85-86,,
0:28.0,,,85-86,,G. Dragic enters the game for T. Johnson
0:22.0,Personal foul by M. Teodosic (drawn by K. Olynyk),,85-86,,
0:22.0,,,85-86,,Miami full timeout
0:22.0,,,85-86,,T. Johnson enters the game for B. Adebayo
0:22.0,C. Williams enters the game for J. Wilson,,85-86,,
0:22.0,S. Thornwell enters the game for L. Williams,,85-86,,
0:19.0,Personal foul by S. Thornwell (drawn by J. Richardson),,85-86,,
0:19.0,,,85-87,1,J. Richardson makes free throw 1 of 2
0:19.0,,,85-87,,B. Adebayo enters the game for G. Dragic
0:19.0,,,85-87,,W. Ellington enters the game for K. Olynyk
0:19.0,J. Wilson enters the game for C. Williams,,85-87,,
0:19.0,L. Williams enters the game for S. Thornwell,,85-87,,
0:19.0,,,85-88,1,J. Richardson makes free throw 2 of 2
0:09.0,J. Wilson misses 3-pt shot from 25 ft,,85-88,,
0:07.0,,,85-88,,Defensive rebound by B. Adebayo
0:04.0,Personal foul by J. Evans (drawn by B. Adebayo),,85-88,,
0:04.0,,,85-88,,B. Adebayo misses free throw 1 of 2
0:04.0,,,85-88,,Offensive rebound by Team
0:04.0,,,85-89,1,B. Adebayo makes free throw 2 of 2
0:04.0,,,85-89,,Technical foul by Team
0:04.0,,,85-90,1,W. Ellington makes technical free throw
