time,Brooklyn,pts.away,score,pts.home,Minnesota
3:55.0,Turnover by I. Whitehead (offensive foul),,55-70,,
3:55.0,,,55-70,,J. Crawford enters the game for J. Butler
3:45.0,,,55-72,2,A. Wiggins makes 2-pt shot from 8 ft
3:32.0,N. Stauskas misses 3-pt shot from 24 ft,,55-72,,
3:30.0,,,55-72,,Defensive rebound by G. Dieng
3:12.0,,,55-72,,A. Wiggins misses 2-pt shot from 8 ft
3:12.0,Defensive rebound by J. Okafor,,55-72,,
2:51.0,J. Harris makes 2-pt shot at rim (assist by Q. Acy),2,57-72,,
2:51.0,,,57-72,,Violation by A. Wiggins (def goaltending)
2:51.0,,,57-72,,Minnesota full timeout
2:40.0,,,57-72,,A. Wiggins misses 2-pt shot from 4 ft
2:38.0,,,57-72,,Offensive rebound by A. Wiggins
2:38.0,,,57-74,2,A. Wiggins makes 2-pt shot at rim
2:34.0,Turnover by Q. Acy (bad pass),,57-74,,
2:24.0,,,57-74,,J. Crawford misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by J. Harris,,57-74,,
2:16.0,Shooting foul by G. Dieng (drawn by N. Stauskas),,57-74,,
2:16.0,N. Stauskas makes free throw 1 of 2,1,58-74,,
2:16.0,N. Stauskas makes free throw 2 of 2,1,59-74,,
2:06.0,,,59-74,,J. Crawford misses 2-pt shot from 14 ft
2:03.0,Defensive rebound by N. Stauskas,,59-74,,
1:56.0,,,59-74,,Violation by G. Dieng (kicked ball)
1:45.0,I. Whitehead makes 2-pt shot from 16 ft,2,61-74,,
1:24.0,,,61-76,2,G. Dieng makes 2-pt shot from 17 ft (assist by T. Jones)
1:02.0,J. Okafor makes 2-pt shot from 2 ft (assist by J. Harris),2,63-76,,
0:55.0,Personal foul by I. Whitehead (drawn by J. Crawford),,63-76,,
0:43.0,,,63-78,2,A. Wiggins makes 2-pt shot from 5 ft
0:34.0,N. Stauskas makes 2-pt shot from 1 ft,2,65-78,,
0:26.0,,,65-78,,T. Jones misses 2-pt shot from 2 ft (block by N. Stauskas)
0:26.0,,,65-78,,Offensive rebound by Team
0:24.0,,,65-78,,J. Crawford misses 3-pt shot from 23 ft
0:21.0,Defensive rebound by Q. Acy,,65-78,,
0:04.0,,,65-78,,Personal take foul by T. Jones (drawn by N. Stauskas)
0:04.0,,,65-78,,M. Georges-Hunt enters the game for T. Jones
0:04.0,,,65-78,,T. Gibson enters the game for N. Bjelica
0:01.0,J. Okafor misses 3-pt shot from 25 ft,,65-78,,
0:00.0,,,65-78,,Defensive rebound by T. Gibson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,65-78,,A. Wiggins misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by J. Okafor,,65-78,,
11:25.0,N. Stauskas misses 3-pt shot from 26 ft,,65-78,,
11:22.0,Offensive rebound by J. Harris,,65-78,,
11:20.0,J. Harris makes 2-pt shot from 1 ft,2,67-78,,
10:58.0,,,67-81,3,J. Crawford makes 3-pt shot from 30 ft (assist by G. Dieng)
10:36.0,J. Okafor makes 2-pt shot from 1 ft,2,69-81,,
10:22.0,,,69-83,2,T. Jones makes 2-pt shot from 18 ft (assist by G. Dieng)
10:09.0,S. Dinwiddie misses 2-pt shot from 1 ft,,69-83,,
10:05.0,Offensive rebound by J. Okafor,,69-83,,
10:04.0,J. Okafor misses 2-pt shot from 2 ft,,69-83,,
10:04.0,,,69-83,,Defensive rebound by G. Dieng
10:00.0,,,69-83,,J. Crawford misses 2-pt shot from 19 ft
9:55.0,Defensive rebound by N. Stauskas,,69-83,,
9:51.0,N. Stauskas makes 3-pt shot from 25 ft,3,72-83,,
9:35.0,,,72-86,3,T. Jones makes 3-pt shot from 25 ft
9:26.0,J. Harris makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,74-86,,
9:26.0,Shooting foul by A. Wiggins (drawn by J. Harris),,74-86,,
9:26.0,,,74-86,,K. Towns enters the game for G. Dieng
9:26.0,,,74-86,,J. Butler enters the game for A. Wiggins
9:26.0,A. Crabbe enters the game for N. Stauskas,,74-86,,
9:26.0,J. Harris makes free throw 1 of 1,1,75-86,,
9:08.0,,,75-86,,N. Bjelica misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by J. Okafor,,75-86,,
8:55.0,J. Okafor makes 2-pt shot from 5 ft,2,77-86,,
8:47.0,,,77-86,,Minnesota full timeout
8:47.0,,,77-86,,T. Gibson enters the game for N. Bjelica
8:47.0,N. Stauskas enters the game for J. Harris,,77-86,,
