time,Orlando,pts.away,score,pts.home,Toronto
3:48.0,M. Hezonja makes 3-pt shot from 26 ft (assist by J. Artis),3,90-104,,
3:20.0,,,90-106,2,P. Siakam makes 2-pt shot from 1 ft
3:04.0,K. Birch makes 2-pt shot from 2 ft (assist by M. Hezonja),2,92-106,,
2:46.0,,,92-106,,Shooting foul by K. Birch (drawn by K. Lowry)
2:46.0,,,92-106,,Toronto full timeout
2:46.0,,,92-107,1,K. Lowry makes free throw 1 of 2
2:46.0,,,92-108,1,K. Lowry makes free throw 2 of 2
2:36.0,Turnover by J. Artis (out of bounds lost ball),,92-108,,
2:25.0,,,92-108,,Turnover by J. Poeltl (bad pass; steal by K. Birch)
2:20.0,W. Iwundu makes 2-pt shot from 1 ft (assist by R. Purvis),2,94-108,,
2:05.0,,,94-108,,Turnover by O. Anunoby (lost ball; steal by K. Birch)
2:00.0,J. Artis makes 2-pt shot from 1 ft (assist by W. Iwundu),2,96-108,,
1:47.0,,,96-108,,Shooting foul by W. Iwundu (drawn by D. Wright)
1:47.0,,,96-109,1,D. Wright makes free throw 1 of 2
1:47.0,,,96-109,,N. Powell enters the game for K. Lowry
1:47.0,,,96-110,1,D. Wright makes free throw 2 of 2
1:30.0,M. Hezonja misses 2-pt shot from 21 ft,,96-110,,
1:26.0,,,96-110,,Defensive rebound by P. Siakam
1:24.0,,,96-110,,Turnover by P. Siakam (bad pass; steal by W. Iwundu)
1:23.0,,,96-110,,Personal foul by D. Wright (drawn by W. Iwundu)
1:10.0,Shooting foul by O. Anunoby (drawn by K. Birch),,96-110,,
1:10.0,K. Birch makes free throw 1 of 2,1,97-110,,
1:10.0,K. Birch makes free throw 2 of 2,1,98-110,,
0:59.0,,,98-112,2,N. Powell makes 2-pt shot from 10 ft
0:47.0,M. Hezonja misses 2-pt shot from 4 ft,,98-112,,
0:44.0,,,98-112,,Defensive rebound by O. Anunoby
0:22.0,,,98-112,,Turnover by J. Poeltl (turnover)
0:15.0,M. Hezonja makes 3-pt shot from 26 ft (assist by K. Birch),3,101-112,,
