time,Utah,pts.away,score,pts.home,Philadelphia
5:19.0,,,77-90,,Turnover by B. Simmons (bad pass; steal by T. Sefolosha)
5:13.0,Turnover by D. Mitchell (bad pass; steal by B. Simmons),,77-90,,
4:59.0,,,77-90,,Shooting foul by D. Favors (drawn by J. Embiid)
4:59.0,,,77-90,,J. Embiid misses free throw 1 of 2
4:59.0,,,77-90,,Offensive rebound by Team
4:59.0,J. Ingles enters the game for T. Sefolosha,,77-90,,
4:59.0,,,77-90,,J. Embiid misses free throw 2 of 2
4:56.0,Defensive rebound by D. Favors,,77-90,,
4:42.0,,,77-90,,Personal foul by R. Covington (drawn by J. Ingles)
4:42.0,J. Ingles makes free throw 1 of 2,1,78-90,,
4:42.0,J. Ingles makes free throw 2 of 2,1,79-90,,
4:29.0,,,79-92,2,J. Redick makes 2-pt shot from 13 ft (assist by J. Embiid)
4:13.0,D. Mitchell misses 2-pt shot from 3 ft (block by J. Embiid),,79-92,,
4:13.0,,,79-92,,Defensive rebound by J. Redick
4:09.0,Technical foul by D. Mitchell,,79-92,,
4:09.0,,,79-93,1,J. Redick makes free throw 1 of 1
3:56.0,,,79-93,,B. Simmons misses 2-pt shot from 12 ft
3:54.0,Defensive rebound by D. Favors,,79-93,,
3:49.0,R. O'Neale makes 3-pt shot from 25 ft (assist by R. Hood),3,82-93,,
3:32.0,,,82-95,2,J. Embiid makes 2-pt shot from 10 ft
3:32.0,,,82-95,,Shooting foul by D. Favors (drawn by J. Embiid)
3:32.0,,,82-95,,J. Embiid misses free throw 1 of 1
3:30.0,Defensive rebound by D. Favors,,82-95,,
3:26.0,Utah full timeout,,82-95,,
3:16.0,R. Hood misses 2-pt shot from 15 ft,,82-95,,
3:14.0,,,82-95,,Defensive rebound by J. Embiid
3:00.0,,,82-98,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Redick)
2:50.0,D. Mitchell misses 3-pt shot from 26 ft,,82-98,,
2:48.0,Offensive rebound by D. Favors,,82-98,,
2:48.0,Shooting foul by J. Redick (drawn by D. Favors),,82-98,,
2:48.0,D. Favors makes free throw 1 of 2,1,83-98,,
2:48.0,D. Favors misses free throw 2 of 2,,83-98,,
2:45.0,,,83-98,,Defensive rebound by B. Simmons
2:31.0,,,83-100,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
2:15.0,R. O'Neale makes 2-pt shot at rim (assist by D. Mitchell),2,85-100,,
2:01.0,,,85-103,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Redick)
1:50.0,Shooting foul by R. Covington (drawn by D. Mitchell),,85-103,,
1:50.0,D. Mitchell misses free throw 1 of 2,,85-103,,
1:50.0,Offensive rebound by Team,,85-103,,
1:50.0,,,85-103,,A. Johnson enters the game for J. Embiid
1:50.0,E. Udoh enters the game for J. Ingles,,85-103,,
1:50.0,R. Neto enters the game for D. Favors,,85-103,,
1:50.0,D. Mitchell makes free throw 2 of 2,1,86-103,,
1:37.0,,,86-105,2,J. Redick makes 2-pt shot from 21 ft
1:28.0,D. Mitchell misses 2-pt shot from 5 ft,,86-105,,
1:26.0,,,86-105,,Defensive rebound by B. Simmons
1:13.0,,,86-107,2,B. Simmons makes 2-pt shot from 2 ft
0:59.0,Turnover by D. Mitchell (bad pass; steal by R. Covington),,86-107,,
0:54.0,,,86-107,,Philadelphia full timeout
0:54.0,,,86-107,,J. Pullen enters the game for J. Redick
0:54.0,,,86-107,,T. Luwawu-Cabarrot enters the game for B. Simmons
0:54.0,,,86-107,,F. Korkmaz enters the game for R. Covington
0:54.0,A. Burks enters the game for R. Hood,,86-107,,
0:54.0,J. Jerebko enters the game for D. Mitchell,,86-107,,
0:40.0,,,86-107,,J. Pullen misses 3-pt shot from 28 ft
0:35.0,Defensive rebound by A. Burks,,86-107,,
0:28.0,R. Neto misses 3-pt shot from 26 ft,,86-107,,
0:25.0,,,86-107,,Defensive rebound by A. Johnson
0:02.0,,,86-107,,Turnover by Team (shot clock)
