time,Houston,pts.away,score,pts.home,Milwaukee
3:52.0,Offensive rebound by L. Mbah a Moute,,103-92,,
3:50.0,E. Gordon misses 3-pt shot from 27 ft,,103-92,,
3:47.0,Offensive rebound by C. Capela,,103-92,,
3:45.0,Shooting foul by G. Antetokounmpo (drawn by L. Mbah a Moute),,103-92,,
3:45.0,L. Mbah a Moute misses free throw 1 of 2,,103-92,,
3:45.0,Offensive rebound by Team,,103-92,,
3:45.0,,,103-92,,J. Terry enters the game for E. Bledsoe
3:45.0,P. Tucker enters the game for C. Capela,,103-92,,
3:45.0,Houston full timeout,,103-92,,
3:45.0,L. Mbah a Moute makes free throw 2 of 2,1,104-92,,
3:30.0,,,104-94,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:30.0,,,104-94,,Shooting foul by T. Ariza (drawn by G. Antetokounmpo)
3:30.0,C. Paul enters the game for L. Mbah a Moute,,104-94,,
3:30.0,,,104-94,,G. Antetokounmpo misses free throw 1 of 1
3:27.0,Defensive rebound by E. Gordon,,104-94,,
3:03.0,E. Gordon misses 2-pt shot from 12 ft,,104-94,,
3:01.0,Offensive rebound by E. Gordon,,104-94,,
2:53.0,,,104-94,,E. Bledsoe enters the game for T. Snell
2:39.0,J. Harden misses 3-pt shot from 27 ft,,104-94,,
2:36.0,,,104-94,,Defensive rebound by K. Middleton
2:14.0,,,104-97,3,K. Middleton makes 3-pt shot from 22 ft (assist by E. Bledsoe)
1:47.0,T. Ariza misses 2-pt shot from 17 ft,,104-97,,
1:44.0,,,104-97,,Defensive rebound by K. Middleton
1:39.0,,,104-97,,Turnover by K. Middleton (lost ball; steal by J. Harden)
1:14.0,J. Harden misses 3-pt shot from 23 ft,,104-97,,
1:10.0,,,104-97,,Defensive rebound by S. Brown
1:06.0,,,104-99,2,S. Brown makes 2-pt shot from 1 ft
0:45.0,C. Paul makes 2-pt shot from 4 ft,2,106-99,,
0:45.0,,,106-99,,Milwaukee full timeout
0:30.0,,,106-99,,K. Middleton misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by C. Paul,,106-99,,
0:29.0,,,106-99,,Personal take foul by K. Middleton (drawn by C. Paul)
0:29.0,C. Paul makes free throw 1 of 2,1,107-99,,
0:29.0,C. Paul makes free throw 2 of 2,1,108-99,,
0:29.0,,,108-99,,Milwaukee full timeout
0:25.0,,,108-99,,S. Brown misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by Team,,108-99,,
0:24.0,,,108-99,,Personal take foul by K. Middleton (drawn by E. Gordon)
0:24.0,E. Gordon makes free throw 1 of 2,1,109-99,,
0:24.0,E. Gordon makes free throw 2 of 2,1,110-99,,
0:20.0,,,110-99,,Turnover by G. Antetokounmpo (bad pass; steal by T. Ariza)
0:16.0,Jump ball: G. Antetokounmpo vs. T. Ariza (S. Brown gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Ariza (S. Brown gains possession)
0:16.0,Turnover by T. Ariza (turnover),,110-99,,
0:03.0,,,110-99,,J. Terry misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by T. Ariza,,110-99,,
