time,Minnesota,pts.away,score,pts.home,Miami
4:29.0,A. Wiggins makes free throw 1 of 2,1,100-96,,
4:29.0,A. Wiggins makes free throw 2 of 2,1,101-96,,
4:18.0,,,101-96,,D. Waiters misses 2-pt shot from 8 ft (block by K. Towns)
4:15.0,,,101-96,,G. Dragic misses 3-pt shot from 27 ft
4:13.0,,,101-96,,Offensive rebound by D. Waiters
4:12.0,,,101-96,,Offensive rebound by B. Adebayo
4:12.0,,,101-96,,B. Adebayo misses 2-pt shot from 4 ft
4:12.0,,,101-96,,Offensive rebound by B. Adebayo
4:12.0,,,101-96,,Shooting foul by K. Towns (drawn by B. Adebayo)
4:12.0,,,101-97,1,B. Adebayo makes free throw 1 of 2
4:12.0,,,101-97,,B. Adebayo misses free throw 2 of 2
4:09.0,Defensive rebound by K. Towns,,101-97,,
3:56.0,J. Teague misses 2-pt shot from 12 ft,,101-97,,
3:49.0,Offensive rebound by K. Towns,,101-97,,
3:39.0,J. Butler misses 2-pt shot from 5 ft,,101-97,,
3:36.0,,,101-97,,Defensive rebound by B. Adebayo
3:27.0,,,101-97,,Turnover by G. Dragic (out of bounds lost ball)
3:09.0,J. Crawford makes 3-pt shot from 25 ft (assist by J. Teague),3,104-97,,
2:50.0,,,104-99,2,D. Waiters makes 2-pt shot from 3 ft
2:26.0,Turnover by J. Crawford (lost ball; steal by D. Waiters),,104-99,,
2:23.0,,,104-101,2,D. Waiters makes 2-pt shot from 3 ft
2:23.0,Minnesota full timeout,,104-101,,
2:23.0,T. Gibson enters the game for J. Crawford,,104-101,,
2:16.0,,,104-101,,Personal foul by B. Adebayo (drawn by J. Butler)
2:16.0,,,104-101,,K. Olynyk enters the game for J. Winslow
2:16.0,J. Butler makes free throw 1 of 2,1,105-101,,
2:16.0,J. Butler makes free throw 2 of 2,1,106-101,,
1:55.0,,,106-103,2,D. Waiters makes 2-pt shot from 3 ft
1:38.0,Turnover by J. Butler (step out of bounds),,106-103,,
1:18.0,,,106-103,,G. Dragic misses 2-pt shot from 10 ft
1:18.0,,,106-103,,Offensive rebound by Team
1:18.0,Personal foul by K. Towns (drawn by G. Dragic),,106-103,,
1:14.0,Personal foul by J. Butler (drawn by K. Olynyk),,106-103,,
1:14.0,,,106-104,1,K. Olynyk makes free throw 1 of 2
1:14.0,,,106-105,1,K. Olynyk makes free throw 2 of 2
1:01.0,A. Wiggins misses 2-pt shot at rim,,106-105,,
1:01.0,Offensive rebound by A. Wiggins,,106-105,,
1:00.0,A. Wiggins makes 2-pt shot at rim,2,108-105,,
0:50.0,Personal foul by J. Butler (drawn by D. Waiters),,108-105,,
0:50.0,,,108-105,,D. Waiters misses free throw 1 of 2
0:50.0,,,108-105,,Offensive rebound by Team
0:50.0,,,108-106,1,D. Waiters makes free throw 2 of 2
0:38.0,A. Wiggins makes 2-pt shot from 2 ft,2,110-106,,
0:38.0,,,110-106,,Miami full timeout
0:38.0,,,110-106,,T. Johnson enters the game for B. Adebayo
0:31.0,,,110-106,,Shooting foul by J. Butler (drawn by D. Waiters)
0:31.0,,,110-107,1,D. Waiters makes free throw 1 of 2
0:31.0,,,110-107,,B. Adebayo enters the game for K. Olynyk
0:31.0,,,110-107,,J. Winslow enters the game for T. Johnson
0:31.0,,,110-108,1,D. Waiters makes free throw 2 of 2
0:13.0,A. Wiggins misses 2-pt shot from 3 ft,,110-108,,
0:12.0,,,110-108,,Miami full timeout
0:12.0,,,110-108,,T. Johnson enters the game for B. Adebayo
0:12.0,,,110-108,,K. Olynyk enters the game for J. Winslow
0:10.0,,,110-108,,Offensive rebound by J. Winslow
0:03.0,,,110-110,2,D. Waiters makes 2-pt shot from 2 ft
0:03.0,Minnesota full timeout,,110-110,,
0:03.0,,,110-110,,B. Adebayo enters the game for T. Johnson
0:03.0,,,110-110,,J. Winslow enters the game for K. Olynyk
0:03.0,J. Crawford enters the game for T. Gibson,,110-110,,
0:03.0,Minnesota full timeout,,110-110,,
0:03.0,,,110-110,,J. Johnson enters the game for G. Dragic
0:00.0,K. Towns misses 3-pt shot from 22 ft,,110-110,,
0:00.0,Offensive rebound by Team,,110-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: B. Adebayo vs. K. Towns (T. Gibson gains possession),,,,Jump ball: B. Adebayo vs. K. Towns (T. Gibson gains possession)
4:40.0,K. Towns misses 2-pt shot from 11 ft,,110-110,,
4:37.0,,,110-110,,Defensive rebound by K. Olynyk
4:29.0,,,110-110,,Turnover by K. Olynyk (bad pass; steal by T. Gibson)
4:27.0,,,110-110,,Personal foul by J. Richardson (drawn by T. Gibson)
4:13.0,Shooting foul by J. Richardson (drawn by A. Wiggins),,110-110,,
4:13.0,A. Wiggins makes free throw 1 of 2,1,111-110,,
4:13.0,A. Wiggins misses free throw 2 of 2,,111-110,,
4:13.0,,,111-110,,Defensive rebound by Team
4:13.0,Personal foul by T. Gibson (drawn by K. Olynyk),,111-110,,
3:54.0,,,111-110,,Turnover by J. Richardson (out of bounds lost ball)
3:38.0,J. Teague makes 2-pt shot from 8 ft,2,113-110,,
3:23.0,,,113-110,,D. Waiters misses 2-pt shot from 12 ft
3:20.0,Defensive rebound by J. Butler,,113-110,,
3:03.0,K. Towns makes 3-pt shot from 23 ft (assist by J. Teague),3,116-110,,
3:01.0,,,116-110,,Miami full timeout
2:42.0,,,116-110,,D. Waiters misses 3-pt shot from 28 ft
2:41.0,,,116-110,,Offensive rebound by G. Dragic
2:41.0,Personal foul by J. Teague (drawn by G. Dragic),,116-110,,
2:33.0,,,116-110,,Turnover by G. Dragic (bad pass; steal by J. Teague)
2:17.0,Turnover by A. Wiggins (bad pass; steal by D. Waiters),,116-110,,
2:12.0,,,116-112,2,D. Waiters makes 2-pt shot from 2 ft
1:47.0,J. Teague makes 3-pt shot from 25 ft,3,119-112,,
1:31.0,,,119-112,,D. Waiters misses 2-pt shot from 4 ft
1:28.0,,,119-112,,Offensive rebound by B. Adebayo
1:28.0,,,119-112,,Turnover by B. Adebayo (bad pass; steal by J. Butler)
1:05.0,A. Wiggins misses 3-pt shot from 28 ft,,119-112,,
0:59.0,,,119-112,,Defensive rebound by G. Dragic
0:58.0,,,119-112,,G. Dragic misses 2-pt shot from 4 ft (block by K. Towns)
0:57.0,,,119-112,,Offensive rebound by Team
0:57.0,,,119-112,,Miami full timeout
0:57.0,,,119-112,,T. Johnson enters the game for B. Adebayo
0:55.0,,,119-114,2,T. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic)
0:52.0,Turnover by J. Butler (bad pass; steal by G. Dragic),,119-114,,
0:49.0,,,119-117,3,K. Olynyk makes 3-pt shot from 28 ft (assist by J. Richardson)
0:49.0,Minnesota full timeout,,119-117,,
0:49.0,,,119-117,,B. Adebayo enters the game for K. Olynyk
0:49.0,,,119-117,,J. Winslow enters the game for T. Johnson
0:43.0,Shooting foul by J. Winslow (drawn by A. Wiggins),,119-117,,
0:43.0,A. Wiggins makes free throw 1 of 2,1,120-117,,
0:43.0,,,120-117,,K. Olynyk enters the game for J. Winslow
0:43.0,A. Wiggins makes free throw 2 of 2,1,121-117,,
0:28.0,,,121-119,2,D. Waiters makes 2-pt shot from 3 ft
0:23.0,Minnesota full timeout,,121-119,,
0:23.0,,,121-119,,J. Winslow enters the game for K. Olynyk
0:23.0,J. Crawford enters the game for T. Gibson,,121-119,,
0:09.0,J. Butler makes 2-pt shot from 4 ft (assist by J. Teague),2,123-119,,
0:05.0,,,123-122,3,D. Waiters makes 3-pt shot from 25 ft
0:04.0,,,123-122,,Personal foul by G. Dragic (drawn by J. Teague)
0:04.0,J. Teague makes free throw 1 of 2,1,124-122,,
0:04.0,,,124-122,,K. Olynyk enters the game for J. Winslow
0:04.0,J. Teague makes free throw 2 of 2,1,125-122,,
0:00.0,,,125-122,,D. Waiters misses 3-pt shot from 34 ft
0:00.0,,,125-122,,Offensive rebound by Team
