time,Milwaukee,pts.away,score,pts.home,San Antonio
3:11.0,G. Antetokounmpo makes free throw 2 of 2,1,88-84,,
2:56.0,,,88-84,,D. Green misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by Team,,88-84,,
2:37.0,K. Middleton misses 2-pt shot from 16 ft,,88-84,,
2:35.0,Offensive rebound by G. Antetokounmpo,,88-84,,
2:35.0,Shooting foul by M. Ginobili (drawn by G. Antetokounmpo),,88-84,,
2:35.0,G. Antetokounmpo misses free throw 1 of 2,,88-84,,
2:35.0,Offensive rebound by Team,,88-84,,
2:35.0,G. Antetokounmpo makes free throw 2 of 2,1,89-84,,
2:26.0,,,89-86,2,M. Ginobili makes 2-pt shot from 4 ft (assist by P. Mills)
2:26.0,,,89-86,,Shooting foul by J. Henson (drawn by M. Ginobili)
2:26.0,,,89-87,1,M. Ginobili makes free throw 1 of 1
2:05.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,89-87,,
2:01.0,,,89-87,,Defensive rebound by K. Anderson
1:57.0,,,89-87,,P. Mills misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by J. Henson,,89-87,,
1:49.0,Milwaukee full timeout,,89-87,,
1:40.0,E. Bledsoe makes 2-pt shot from 13 ft (assist by J. Henson),2,91-87,,
1:26.0,,,91-87,,D. Green misses 3-pt shot from 27 ft
1:22.0,Defensive rebound by G. Antetokounmpo,,91-87,,
1:06.0,,,91-87,,Personal foul by K. Anderson (drawn by G. Antetokounmpo)
0:55.0,K. Middleton makes 2-pt shot from 20 ft (assist by J. Henson),2,93-87,,
0:55.0,,,93-87,,San Antonio full timeout
0:55.0,,,93-87,,R. Gay enters the game for M. Ginobili
0:49.0,,,93-87,,K. Anderson misses 2-pt shot from 4 ft (block by J. Henson)
0:46.0,Defensive rebound by J. Henson,,93-87,,
0:44.0,Milwaukee full timeout,,93-87,,
0:44.0,,,93-87,,M. Ginobili enters the game for K. Anderson
0:29.0,Turnover by E. Bledsoe (bad pass),,93-87,,
0:22.0,,,93-87,,R. Gay misses 2-pt shot from 5 ft
0:19.0,Defensive rebound by K. Middleton,,93-87,,
0:14.0,,,93-87,,Personal foul by P. Mills (drawn by K. Middleton)
0:14.0,,,93-87,,K. Anderson enters the game for P. Mills
0:14.0,,,93-87,,B. Paul enters the game for L. Aldridge
0:14.0,,,93-87,,B. Forbes enters the game for D. Green
0:14.0,,,93-87,,D. Bertans enters the game for M. Ginobili
0:14.0,D. Wilson enters the game for E. Bledsoe,,93-87,,
0:14.0,T. Maker enters the game for M. Brogdon,,93-87,,
0:14.0,R. Vaughn enters the game for J. Henson,,93-87,,
0:14.0,D. Liggins enters the game for G. Antetokounmpo,,93-87,,
0:14.0,K. Middleton makes free throw 1 of 2,1,94-87,,
0:14.0,K. Middleton misses free throw 2 of 2,,94-87,,
0:11.0,,,94-87,,Defensive rebound by K. Anderson
0:07.0,,,94-87,,D. Bertans misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by T. Maker,,94-87,,
