time,Milwaukee,pts.away,score,pts.home,Memphis
4:09.0,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe),2,106-94,,
3:42.0,,,106-97,3,K. Simmons makes 3-pt shot from 25 ft (assist by B. McLemore)
3:22.0,J. Henson makes 2-pt shot from 7 ft (assist by K. Middleton),2,108-97,,
3:09.0,,,108-97,,J. Green misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by G. Antetokounmpo,,108-97,,
2:54.0,Shooting foul by J. Green (drawn by G. Antetokounmpo),,108-97,,
2:54.0,,,108-97,,Memphis full timeout
2:54.0,,,108-97,,D. Brooks enters the game for W. Selden
2:54.0,G. Antetokounmpo misses free throw 1 of 2,,108-97,,
2:54.0,Offensive rebound by Team,,108-97,,
2:54.0,G. Antetokounmpo makes free throw 2 of 2,1,109-97,,
2:31.0,,,109-97,,M. Gasol misses 2-pt shot from 13 ft
2:27.0,,,109-97,,Offensive rebound by J. Green
2:21.0,,,109-97,,K. Simmons misses 2-pt shot from 4 ft
2:21.0,,,109-97,,Offensive rebound by Team
2:21.0,Loose ball foul by K. Middleton (drawn by M. Gasol),,109-97,,
2:18.0,,,109-97,,Shooting foul by E. Bledsoe (drawn by M. Gasol)
2:18.0,,,109-97,,M. Gasol misses free throw 1 of 2
2:18.0,,,109-97,,Offensive rebound by Team
2:18.0,,,109-98,1,M. Gasol makes free throw 2 of 2
2:05.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,109-98,,
2:02.0,Offensive rebound by K. Middleton,,109-98,,
2:02.0,K. Middleton makes 2-pt shot at rim,2,111-98,,
1:42.0,,,111-98,,M. Gasol misses 2-pt shot from 6 ft
1:41.0,Defensive rebound by Team,,111-98,,
1:29.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,114-98,,
1:26.0,,,114-98,,Shooting foul by T. Snell (drawn by J. Green)
1:26.0,,,114-98,,J. Green misses free throw 1 of 2
1:26.0,,,114-98,,Offensive rebound by Team
1:26.0,,,114-98,,X. Rathan-Mayes enters the game for K. Simmons
1:26.0,,,114-99,1,J. Green makes free throw 2 of 2
1:03.0,E. Bledsoe misses 3-pt shot from 26 ft,,114-99,,
1:02.0,Offensive rebound by Team,,114-99,,
1:02.0,,,114-99,,Loose ball foul by J. Green (drawn by G. Antetokounmpo)
1:02.0,G. Antetokounmpo makes free throw 1 of 2,1,115-99,,
1:02.0,T. Maker enters the game for E. Bledsoe,,115-99,,
1:02.0,S. Brown enters the game for K. Middleton,,115-99,,
1:02.0,B. Jennings enters the game for J. Henson,,115-99,,
1:02.0,G. Antetokounmpo makes free throw 2 of 2,1,116-99,,
1:00.0,Personal take foul by B. Jennings (drawn by X. Rathan-Mayes),,116-99,,
1:00.0,,,116-99,,X. Rathan-Mayes misses free throw 1 of 2
1:00.0,,,116-99,,Offensive rebound by Team
1:00.0,,,116-99,,I. Rabb enters the game for J. Green
1:00.0,,,116-99,,D. Davis enters the game for D. Brooks
1:00.0,,,116-99,,B. Johnson enters the game for M. Gasol
1:00.0,D. Wilson enters the game for G. Antetokounmpo,,116-99,,
1:00.0,,,116-100,1,X. Rathan-Mayes makes free throw 2 of 2
0:44.0,B. Jennings makes 3-pt shot from 25 ft (assist by T. Snell),3,119-100,,
0:31.0,,,119-103,3,B. McLemore makes 3-pt shot from 26 ft (assist by I. Rabb)
0:07.0,S. Brown makes 2-pt shot from 13 ft,2,121-103,,
