time,San Antonio,pts.away,score,pts.home,Miami
1:52.0,,,112-97,,Offensive rebound by Team
1:52.0,B. Paul enters the game for M. Ginobili,,112-97,,
1:52.0,,,112-98,1,D. Waiters makes free throw 2 of 2
1:38.0,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge),3,115-98,,
1:33.0,,,115-100,2,J. Johnson makes 2-pt shot at rim
1:14.0,D. Green makes 2-pt shot from 8 ft,2,117-100,,
1:01.0,,,117-100,,T. Johnson misses 3-pt shot from 23 ft
0:59.0,Defensive rebound by D. Green,,117-100,,
0:46.0,L. Aldridge misses 2-pt shot at rim,,117-100,,
0:44.0,,,117-100,,Defensive rebound by G. Dragic
0:37.0,,,117-100,,G. Dragic misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by D. Green,,117-100,,
0:15.0,L. Aldridge misses 2-pt shot from 19 ft,,117-100,,
0:09.0,,,117-100,,Defensive rebound by G. Dragic
