time,LA Clippers,pts.away,score,pts.home,Detroit
2:05.0,A. Rivers makes 2-pt shot from 2 ft,2,103-90,,
1:50.0,,,103-92,2,I. Smith makes 2-pt shot from 3 ft
1:37.0,A. Bradley makes 2-pt shot at rim (assist by L. Williams),2,105-92,,
1:31.0,,,105-92,,I. Smith misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by D. Jordan,,105-92,,
1:09.0,A. Rivers misses 3-pt shot from 27 ft,,105-92,,
1:03.0,Offensive rebound by T. Harris,,105-92,,
0:48.0,L. Williams makes 3-pt shot from 30 ft,3,108-92,,
0:38.0,,,108-92,,I. Smith misses 3-pt shot from 22 ft
0:35.0,Defensive rebound by D. Jordan,,108-92,,
0:12.0,Turnover by Team (shot clock),,108-92,,
0:05.0,,,108-95,3,I. Smith makes 3-pt shot from 25 ft (assist by R. Bullock)
