time,San Antonio,pts.away,score,pts.home,Denver
3:23.0,J. Lauvergne makes 2-pt shot at rim (assist by B. Forbes),2,81-79,,
3:22.0,,,81-79,,Denver full timeout
3:22.0,,,81-79,,W. Barton enters the game for N. Jokic
3:22.0,,,81-79,,T. Lyles enters the game for J. Murray
3:12.0,,,81-79,,Turnover by D. Harris (bad pass)
2:56.0,,,81-79,,Personal block foul by W. Barton (drawn by D. Green)
2:56.0,D. Green makes free throw 1 of 2,1,82-79,,
2:56.0,D. Green makes free throw 2 of 2,1,83-79,,
2:45.0,,,83-81,2,W. Chandler makes 2-pt shot from 4 ft (assist by D. Harris)
2:40.0,Offensive foul by P. Mills (drawn by G. Harris),,83-81,,
2:40.0,Turnover by P. Mills (offensive foul),,83-81,,
2:26.0,,,83-81,,G. Harris misses 2-pt shot from 3 ft
2:21.0,Defensive rebound by P. Mills,,83-81,,
2:15.0,B. Forbes misses 3-pt shot from 24 ft,,83-81,,
2:12.0,Offensive rebound by J. Lauvergne,,83-81,,
2:10.0,P. Mills makes 3-pt shot from 22 ft (assist by J. Lauvergne),3,86-81,,
1:52.0,,,86-81,,T. Lyles misses 2-pt shot from 13 ft
1:49.0,Defensive rebound by B. Forbes,,86-81,,
1:43.0,P. Mills makes 2-pt shot from 20 ft,2,88-81,,
1:41.0,,,88-81,,Denver full timeout
1:41.0,K. Anderson enters the game for J. Lauvergne,,88-81,,
1:26.0,,,88-81,,W. Chandler misses 2-pt shot from 3 ft (block by K. Anderson)
1:23.0,,,88-81,,Offensive rebound by W. Chandler
1:21.0,,,88-81,,W. Chandler misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by B. Forbes,,88-81,,
1:15.0,Turnover by K. Anderson (bad pass; steal by W. Chandler),,88-81,,
1:13.0,Personal foul by K. Anderson (drawn by G. Harris),,88-81,,
0:58.0,,,88-83,2,W. Barton makes 2-pt shot from 9 ft (assist by G. Harris)
0:51.0,D. Murray misses 2-pt shot from 12 ft,,88-83,,
0:50.0,Offensive rebound by Team,,88-83,,
0:50.0,,,88-83,,Loose ball foul by G. Harris (drawn by K. Anderson)
0:50.0,K. Anderson misses free throw 1 of 2,,88-83,,
0:50.0,Offensive rebound by Team,,88-83,,
0:50.0,,,88-83,,M. Beasley enters the game for G. Harris
0:50.0,K. Anderson misses free throw 2 of 2,,88-83,,
0:48.0,,,88-83,,Defensive rebound by W. Chandler
0:33.0,,,88-83,,W. Barton misses 2-pt shot from 2 ft
0:32.0,,,88-83,,Offensive rebound by W. Chandler
0:32.0,Personal foul by P. Mills (drawn by W. Chandler),,88-83,,
0:32.0,,,88-83,,W. Chandler misses free throw 1 of 2
0:32.0,,,88-83,,Offensive rebound by Team
0:32.0,D. Hilliard enters the game for K. Anderson,,88-83,,
0:32.0,J. Lauvergne enters the game for P. Mills,,88-83,,
0:32.0,,,88-84,1,W. Chandler makes free throw 2 of 2
0:14.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Murray),2,90-84,,
0:02.0,,,90-86,2,T. Lyles makes 2-pt shot from 7 ft
0:02.0,,,90-86,,Shooting foul by J. Lauvergne (drawn by T. Lyles)
0:02.0,,,90-87,1,T. Lyles makes free throw 1 of 1
0:00.0,B. Forbes misses 3-pt shot from 46 ft,,90-87,,
0:00.0,Offensive rebound by Team,,90-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Bertans misses 3-pt shot from 27 ft,,90-87,,
11:37.0,,,90-87,,Defensive rebound by W. Barton
11:29.0,,,90-89,2,W. Barton makes 2-pt shot from 2 ft
11:13.0,Shooting foul by D. Harris (drawn by T. Parker),,90-89,,
11:13.0,T. Parker makes free throw 1 of 2,1,91-89,,
11:13.0,D. White enters the game for J. Lauvergne,,91-89,,
11:13.0,T. Parker makes free throw 2 of 2,1,92-89,,
11:04.0,,,92-91,2,M. Beasley makes 2-pt shot from 2 ft (assist by W. Barton)
10:43.0,T. Parker makes 2-pt shot from 2 ft,2,94-91,,
10:43.0,,,94-91,,Violation by W. Barton (def goaltending)
10:34.0,,,94-93,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
10:19.0,D. Hilliard misses 2-pt shot from 7 ft,,94-93,,
10:17.0,,,94-93,,Defensive rebound by W. Barton
10:12.0,,,94-93,,Shooting foul by D. Hilliard (drawn by D. Harris)
10:12.0,,,94-94,1,D. Harris makes free throw 1 of 2
10:12.0,B. Forbes enters the game for D. Hilliard,,94-94,,
10:12.0,,,94-95,1,D. Harris makes free throw 2 of 2
9:55.0,D. Bertans misses 3-pt shot from 25 ft,,94-95,,
9:52.0,Offensive rebound by D. Green,,94-95,,
9:48.0,B. Forbes makes 2-pt shot from 5 ft (assist by D. Green),2,96-95,,
9:24.0,,,96-95,,Shooting foul by D. White (drawn by T. Lyles)
9:24.0,,,96-96,1,T. Lyles makes free throw 1 of 2
9:24.0,D. Murray enters the game for D. White,,96-96,,
9:24.0,J. Lauvergne enters the game for D. Bertans,,96-96,,
9:24.0,,,96-97,1,T. Lyles makes free throw 2 of 2
9:08.0,T. Parker makes 2-pt shot from 1 ft,2,98-97,,
8:59.0,,,98-99,2,T. Lyles makes 2-pt shot from 1 ft (assist by J. Murray)
8:36.0,J. Lauvergne makes 2-pt shot from 5 ft,2,100-99,,
8:19.0,,,100-99,,W. Barton misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by D. Murray,,100-99,,
7:58.0,T. Parker misses 2-pt shot from 14 ft,,100-99,,
7:55.0,,,100-99,,Defensive rebound by M. Beasley
7:51.0,,,100-99,,M. Beasley misses 2-pt shot from 2 ft (block by D. Murray)
7:49.0,,,100-99,,Offensive rebound by W. Barton
7:49.0,,,100-101,2,W. Barton makes 2-pt shot at rim
7:49.0,San Antonio full timeout,,100-101,,
7:49.0,,,100-101,,G. Harris enters the game for M. Beasley
