time,Chicago,pts.away,score,pts.home,Denver
2:57.0,Offensive rebound by Team,,103-101,,
2:57.0,R. Lopez makes free throw 2 of 2,1,104-101,,
2:46.0,,,104-101,,Shooting foul by J. Holiday (drawn by T. Lyles)
2:46.0,,,104-102,1,T. Lyles makes free throw 1 of 2
2:46.0,,,104-103,1,T. Lyles makes free throw 2 of 2
2:33.0,K. Dunn makes 2-pt shot from 2 ft,2,106-103,,
2:25.0,,,106-103,,W. Barton misses 3-pt shot from 25 ft
2:24.0,,,106-103,,Offensive rebound by Team
2:24.0,Loose ball foul by D. Valentine (drawn by G. Harris),,106-103,,
2:24.0,,,106-104,1,G. Harris makes free throw 1 of 2
2:24.0,,,106-105,1,G. Harris makes free throw 2 of 2
2:06.0,L. Markkanen misses 2-pt shot from 6 ft (block by G. Harris),,106-105,,
2:01.0,,,106-105,,Defensive rebound by T. Lyles
1:51.0,,,106-105,,J. Murray misses 2-pt shot from 10 ft
1:47.0,Defensive rebound by K. Dunn,,106-105,,
1:42.0,D. Valentine misses 3-pt shot from 22 ft,,106-105,,
1:38.0,,,106-105,,Defensive rebound by K. Faried
1:17.0,,,106-105,,K. Faried misses 2-pt shot from 4 ft (block by J. Holiday)
1:17.0,Defensive rebound by D. Valentine,,106-105,,
0:53.0,L. Markkanen makes 2-pt shot from 12 ft,2,108-105,,
0:53.0,,,108-105,,Denver full timeout
0:45.0,,,108-105,,Shooting foul by J. Holiday (drawn by W. Barton)
0:45.0,,,108-106,1,W. Barton makes free throw 1 of 3
0:45.0,,,108-107,1,W. Barton makes free throw 2 of 3
0:45.0,,,108-108,1,W. Barton makes free throw 3 of 3
0:45.0,Chicago full timeout,,108-108,,
0:38.0,J. Holiday misses 3-pt shot from 24 ft,,108-108,,
0:35.0,,,108-108,,Defensive rebound by K. Faried
0:20.0,Personal foul by J. Holiday (drawn by W. Barton),,108-108,,
0:20.0,,,108-109,1,W. Barton makes free throw 1 of 2
0:20.0,,,108-109,,W. Barton misses free throw 2 of 2
0:19.0,Defensive rebound by K. Dunn,,108-109,,
0:19.0,Chicago full timeout,,108-109,,
0:09.0,K. Dunn makes 2-pt shot from 2 ft,2,110-109,,
0:03.0,,,110-111,2,W. Barton makes 2-pt shot from 1 ft
