time,Miami,pts.away,score,pts.home,LA Lakers
4:51.0,,,88-81,,Defensive rebound by K. Caldwell-Pope
4:47.0,,,88-83,2,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball)
4:24.0,J. Richardson misses 2-pt shot from 13 ft,,88-83,,
4:23.0,Offensive rebound by Team,,88-83,,
4:23.0,,,88-83,,Loose ball foul by J. Randle (drawn by K. Olynyk)
4:16.0,G. Dragic misses 2-pt shot from 5 ft,,88-83,,
4:14.0,,,88-83,,Defensive rebound by J. Randle
4:07.0,,,88-83,,Shooting foul by J. Johnson (drawn by J. Randle)
4:07.0,,,88-84,1,J. Randle makes free throw 1 of 2
4:07.0,,,88-84,,J. Randle misses free throw 2 of 2
4:04.0,Defensive rebound by J. Johnson,,88-84,,
3:52.0,K. Olynyk misses 3-pt shot from 25 ft,,88-84,,
3:49.0,,,88-84,,Defensive rebound by K. Caldwell-Pope
3:31.0,,,88-84,,L. Ball misses 2-pt shot from 8 ft
3:30.0,,,88-84,,Offensive rebound by J. Randle
3:30.0,,,88-86,2,J. Randle makes 2-pt shot from 1 ft
3:30.0,Miami full timeout,,88-86,,
3:30.0,B. Adebayo enters the game for J. Johnson,,88-86,,
3:05.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Richardson),2,90-86,,
2:41.0,,,90-88,2,K. Kuzma makes 2-pt shot from 8 ft (assist by L. Ball)
2:15.0,J. Richardson misses 3-pt shot from 27 ft,,90-88,,
2:13.0,,,90-88,,Defensive rebound by B. Lopez
1:53.0,,,90-88,,K. Kuzma misses 2-pt shot from 7 ft
1:50.0,Defensive rebound by G. Dragic,,90-88,,
1:33.0,Turnover by G. Dragic (bad pass),,90-88,,
1:33.0,,,90-88,,LA Lakers full timeout
1:23.0,,,90-91,3,K. Kuzma makes 3-pt shot from 26 ft (assist by B. Lopez)
1:06.0,,,90-91,,Personal foul by J. Randle (drawn by K. Olynyk)
0:42.0,J. Richardson misses 2-pt shot from 13 ft,,90-91,,
0:37.0,,,90-91,,Defensive rebound by J. Randle
0:23.0,,,90-91,,J. Randle misses 2-pt shot from 9 ft
0:20.0,Defensive rebound by B. Adebayo,,90-91,,
0:15.0,G. Dragic makes 2-pt shot from 9 ft,2,92-91,,
0:07.0,,,92-91,,LA Lakers full timeout
0:07.0,,,92-91,,I. Thomas enters the game for B. Lopez
0:07.0,J. Johnson enters the game for G. Dragic,,92-91,,
0:07.0,J. Winslow enters the game for K. Olynyk,,92-91,,
0:03.0,,,92-91,,I. Thomas misses 2-pt shot from 13 ft
0:03.0,,,92-91,,Offensive rebound by Team
