time,Phoenix,pts.away,score,pts.home,Minnesota
6:57.0,,,52-63,,Shooting foul by M. Chriss (drawn by K. Towns)
6:57.0,,,52-63,,Minnesota full timeout
6:57.0,I. Canaan enters the game for M. Chriss,,52-63,,
6:57.0,D. Bender enters the game for T. Ulis,,52-63,,
6:57.0,,,52-64,1,K. Towns makes free throw 1 of 2
6:57.0,,,52-65,1,K. Towns makes free throw 2 of 2
6:39.0,Turnover by A. Len (traveling),,52-65,,
6:18.0,,,52-65,,T. Gibson misses 2-pt shot from 5 ft
6:16.0,,,52-65,,Offensive rebound by K. Towns
6:09.0,,,52-65,,K. Towns misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by I. Canaan,,52-65,,
6:00.0,T. Warren misses 2-pt shot from 5 ft (block by K. Towns),,52-65,,
5:56.0,Offensive rebound by J. Jackson,,52-65,,
5:56.0,A. Len makes 2-pt shot from 6 ft (assist by J. Jackson),2,54-65,,
5:46.0,,,54-67,2,T. Gibson makes 2-pt shot from 14 ft (assist by J. Teague)
5:28.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. Warren),3,57-67,,
5:21.0,,,57-69,2,J. Teague makes 2-pt shot from 1 ft
5:21.0,,,57-69,,Shooting foul by I. Canaan (drawn by J. Teague)
5:21.0,T. Daniels enters the game for J. Jackson,,57-69,,
5:21.0,,,57-69,,J. Teague misses free throw 1 of 1
5:18.0,Defensive rebound by T. Warren,,57-69,,
5:14.0,T. Warren makes 2-pt shot from 1 ft,2,59-69,,
5:02.0,,,59-69,,A. Wiggins misses 2-pt shot from 3 ft
5:00.0,Defensive rebound by A. Len,,59-69,,
4:53.0,T. Warren misses 3-pt shot from 24 ft,,59-69,,
4:50.0,,,59-69,,Defensive rebound by J. Butler
4:34.0,,,59-69,,J. Butler misses 3-pt shot from 24 ft
4:27.0,,,59-69,,Offensive rebound by A. Wiggins
4:27.0,,,59-71,2,A. Wiggins makes 2-pt shot at rim
4:02.0,T. Daniels makes 3-pt shot from 23 ft (assist by A. Len),3,62-71,,
3:52.0,,,62-71,,J. Teague misses 2-pt shot from 10 ft
3:50.0,,,62-71,,Offensive rebound by T. Gibson
3:48.0,,,62-73,2,T. Gibson makes 2-pt shot from 1 ft
3:29.0,I. Canaan makes 2-pt shot from 1 ft (assist by A. Len),2,64-73,,
3:16.0,,,64-73,,Shooting foul by A. Len (drawn by K. Towns)
3:16.0,,,64-74,1,K. Towns makes free throw 1 of 2
3:16.0,,,64-74,,J. Crawford enters the game for J. Butler
3:16.0,,,64-75,1,K. Towns makes free throw 2 of 2
2:53.0,A. Len misses 2-pt shot from 14 ft (block by T. Gibson),,64-75,,
2:52.0,Offensive rebound by Team,,64-75,,
2:52.0,Turnover by Team (shot clock),,64-75,,
2:52.0,Phoenix full timeout,,64-75,,
2:52.0,,,64-75,,G. Dieng enters the game for K. Towns
2:52.0,D. House enters the game for T. Warren,,64-75,,
2:36.0,,,64-75,,A. Wiggins misses 2-pt shot from 5 ft
