time,Toronto,pts.away,score,pts.home,Golden State
1:02.0,,,112-112,3,K. Durant makes 3-pt shot from 26 ft
1:02.0,Toronto full timeout,,112-112,,
0:53.0,D. DeRozan misses 2-pt shot from 15 ft,,112-112,,
0:46.0,,,112-112,,Defensive rebound by K. Durant
0:32.0,,,112-115,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
0:16.0,K. Lowry misses 2-pt shot from 5 ft (block by K. Thompson),,112-115,,
0:13.0,,,112-115,,Defensive rebound by K. Thompson
0:05.0,Personal take foul by J. Poeltl (drawn by S. Curry),,112-115,,
0:05.0,,,112-116,1,S. Curry makes free throw 1 of 2
0:05.0,,,112-117,1,S. Curry makes free throw 2 of 2
0:05.0,Toronto full timeout,,112-117,,
0:05.0,C. Miles enters the game for D. Wright,,112-117,,
0:00.0,Turnover by J. Poeltl (bad pass; steal by S. Curry),,112-117,,
