time,Cleveland,pts.away,score,pts.home,Philadelphia
5:59.0,,,112-117,,D. Saric misses 2-pt shot from 3 ft
5:59.0,,,112-117,,Offensive rebound by Team
5:58.0,,,112-117,,E. Ilyasova enters the game for D. Saric
5:58.0,,,112-117,,J. Redick enters the game for R. Holmes
5:48.0,,,112-119,2,B. Simmons makes 2-pt shot from 8 ft (assist by M. Belinelli)
5:29.0,L. James makes 2-pt shot from 1 ft,2,114-119,,
5:27.0,,,114-119,,Philadelphia full timeout
5:19.0,,,114-119,,J. Redick misses 3-pt shot from 27 ft
5:19.0,,,114-119,,Offensive rebound by Team
5:12.0,,,114-121,2,E. Ilyasova makes 2-pt shot from 6 ft
4:55.0,Shooting foul by R. Covington (drawn by J. Green),,114-121,,
4:55.0,J. Green makes free throw 1 of 2,1,115-121,,
4:55.0,J. Green makes free throw 2 of 2,1,116-121,,
4:40.0,,,116-121,,E. Ilyasova misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by J. Smith,,116-121,,
4:39.0,,,116-121,,Loose ball foul by R. Covington (drawn by J. Smith)
4:26.0,L. James makes 2-pt shot from 1 ft,2,118-121,,
3:59.0,,,118-123,2,J. Redick makes 2-pt shot from 14 ft (assist by B. Simmons)
3:43.0,Turnover by L. James (palming),,118-123,,
3:28.0,,,118-123,,R. Covington misses 3-pt shot from 26 ft
3:24.0,,,118-123,,Offensive rebound by E. Ilyasova
3:22.0,,,118-123,,R. Covington misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by K. Love,,118-123,,
3:04.0,J. Green makes 2-pt shot from 1 ft,2,120-123,,
2:54.0,,,120-123,,Turnover by E. Ilyasova (lost ball; steal by C. Osman)
2:40.0,C. Osman misses 3-pt shot from 27 ft,,120-123,,
2:36.0,,,120-123,,Defensive rebound by M. Belinelli
2:25.0,,,120-125,2,B. Simmons makes 2-pt shot from 2 ft (assist by E. Ilyasova)
1:57.0,C. Osman misses 3-pt shot from 25 ft,,120-125,,
1:53.0,,,120-125,,Defensive rebound by E. Ilyasova
1:36.0,,,120-125,,B. Simmons misses 2-pt shot from 6 ft
1:34.0,,,120-125,,Offensive rebound by B. Simmons
1:34.0,,,120-128,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
1:34.0,Cleveland full timeout,,120-128,,
1:25.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,123-128,,
1:12.0,,,123-128,,Turnover by M. Belinelli (bad pass; steal by L. James)
1:08.0,L. James misses 3-pt shot from 27 ft,,123-128,,
1:08.0,Offensive rebound by C. Osman,,123-128,,
1:08.0,Shooting foul by M. Belinelli (drawn by C. Osman),,123-128,,
1:08.0,C. Osman makes free throw 1 of 2,1,124-128,,
1:08.0,C. Osman misses free throw 2 of 2,,124-128,,
1:06.0,,,124-128,,Defensive rebound by B. Simmons
0:55.0,,,124-128,,E. Ilyasova misses 2-pt shot from 10 ft
0:52.0,Defensive rebound by L. James,,124-128,,
0:44.0,K. Love misses 3-pt shot from 28 ft,,124-128,,
0:40.0,,,124-128,,Defensive rebound by E. Ilyasova
0:22.0,,,124-128,,J. Redick misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by J. Smith,,124-128,,
0:12.0,J. Green makes 3-pt shot from 23 ft,3,127-128,,
0:12.0,,,127-128,,Philadelphia full timeout
0:10.0,Personal foul by J. Smith (drawn by M. Belinelli),,127-128,,
0:09.0,Personal foul by J. Green (drawn by J. Redick),,127-128,,
0:09.0,,,127-129,1,J. Redick makes free throw 1 of 2
0:09.0,,,127-129,,T. McConnell enters the game for E. Ilyasova
0:09.0,K. Korver enters the game for C. Osman,,127-129,,
0:09.0,,,127-130,1,J. Redick makes free throw 2 of 2
0:04.0,,,127-130,,Personal foul by B. Simmons (drawn by L. James)
0:04.0,L. James makes free throw 1 of 2,1,128-130,,
0:04.0,,,128-130,,A. Johnson enters the game for T. McConnell
0:04.0,,,128-130,,D. Saric enters the game for J. Redick
0:04.0,,,128-130,,R. Holmes enters the game for M. Belinelli
0:04.0,L. James makes free throw 2 of 2,1,129-130,,
0:04.0,,,129-130,,Philadelphia full timeout
0:04.0,,,129-130,,E. Ilyasova enters the game for A. Johnson
0:04.0,,,129-130,,J. Redick enters the game for D. Saric
0:04.0,,,129-130,,M. Belinelli enters the game for R. Holmes
0:04.0,C. Osman enters the game for K. Korver,,129-130,,
0:03.0,Personal foul by J. Green (drawn by E. Ilyasova),,129-130,,
0:03.0,,,129-131,1,E. Ilyasova makes free throw 1 of 2
0:03.0,K. Korver enters the game for C. Osman,,129-131,,
0:03.0,,,129-132,1,E. Ilyasova makes free throw 2 of 2
0:01.0,Shooting foul by R. Covington (drawn by L. James),,129-132,,
0:01.0,L. James makes free throw 1 of 3,1,130-132,,
0:01.0,L. James misses free throw 2 of 3,,130-132,,
0:01.0,Offensive rebound by Team,,130-132,,
0:01.0,,,130-132,,A. Johnson enters the game for J. Redick
0:01.0,,,130-132,,R. Holmes enters the game for M. Belinelli
0:01.0,,,130-132,,D. Saric enters the game for E. Ilyasova
0:01.0,L. Nance enters the game for K. Korver,,130-132,,
0:01.0,L. James misses free throw 3 of 3,,130-132,,
0:01.0,Offensive rebound by L. Nance,,130-132,,
0:01.0,L. Nance misses 2-pt shot at rim,,130-132,,
0:01.0,,,130-132,,Defensive rebound by R. Holmes
