time,New Orleans,pts.away,score,pts.home,Detroit
8:49.0,,,98-87,,Personal foul by S. Johnson (drawn by J. Holiday)
8:49.0,A. Davis enters the game for C. Diallo,,98-87,,
8:39.0,Turnover by J. Holiday (lost ball; steal by L. Kennard),,98-87,,
8:36.0,,,98-87,,Turnover by L. Kennard (bad pass)
8:36.0,I. Clark enters the game for R. Rondo,,98-87,,
8:28.0,J. Holiday misses 3-pt shot from 26 ft,,98-87,,
8:25.0,,,98-87,,Defensive rebound by A. Drummond
8:16.0,,,98-87,,Shooting foul by N. Mirotic (drawn by A. Drummond)
8:16.0,,,98-88,1,A. Drummond makes free throw 1 of 2
8:16.0,,,98-89,1,A. Drummond makes free throw 2 of 2
8:08.0,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday),2,100-89,,
8:08.0,Shooting foul by J. Nelson (drawn by A. Davis),,100-89,,
8:08.0,A. Davis makes free throw 1 of 1,1,101-89,,
7:58.0,,,101-89,,B. Griffin misses 3-pt shot from 25 ft
7:55.0,,,101-89,,Offensive rebound by Team
7:55.0,,,101-89,,Detroit full timeout
7:55.0,,,101-89,,R. Bullock enters the game for L. Kennard
7:33.0,,,101-89,,R. Bullock misses 2-pt shot from 14 ft
7:32.0,Defensive rebound by A. Davis,,101-89,,
7:32.0,,,101-89,,Loose ball foul by A. Drummond (drawn by A. Davis)
7:32.0,A. Davis makes free throw 1 of 2,1,102-89,,
7:32.0,A. Davis makes free throw 2 of 2,1,103-89,,
7:24.0,,,103-91,2,J. Nelson makes 2-pt shot from 2 ft
7:12.0,J. Holiday makes 2-pt shot from 2 ft,2,105-91,,
6:56.0,,,105-91,,A. Drummond misses 2-pt shot from 4 ft (block by A. Davis)
6:53.0,Defensive rebound by I. Clark,,105-91,,
6:53.0,Turnover by D. Miller (out of bounds lost ball),,105-91,,
6:33.0,,,105-93,2,J. Nelson makes 2-pt shot from 1 ft
6:19.0,A. Davis makes 3-pt shot from 27 ft (assist by J. Holiday),3,108-93,,
5:53.0,,,108-95,2,B. Griffin makes 2-pt shot from 4 ft
5:42.0,,,108-95,,Personal foul by S. Johnson (drawn by J. Holiday)
5:42.0,J. Holiday makes free throw 1 of 2,1,109-95,,
5:42.0,J. Holiday makes free throw 2 of 2,1,110-95,,
5:35.0,,,110-95,,J. Nelson misses 2-pt shot from 7 ft (block by A. Davis)
5:32.0,Defensive rebound by N. Mirotic,,110-95,,
5:15.0,J. Holiday misses 2-pt shot from 16 ft,,110-95,,
5:12.0,,,110-95,,Defensive rebound by S. Johnson
5:11.0,Personal foul by I. Clark (drawn by S. Johnson),,110-95,,
4:58.0,,,110-95,,J. Nelson misses 2-pt shot from 12 ft
4:54.0,,,110-95,,Offensive rebound by A. Drummond
4:54.0,,,110-97,2,A. Drummond makes 2-pt shot at rim
4:48.0,,,110-97,,I. Smith enters the game for J. Nelson
4:37.0,A. Davis misses 3-pt shot from 26 ft,,110-97,,
4:33.0,,,110-97,,Defensive rebound by R. Bullock
4:26.0,,,110-97,,S. Johnson misses 3-pt shot from 25 ft
4:23.0,,,110-97,,Offensive rebound by A. Drummond
4:21.0,,,110-97,,Turnover by A. Drummond (lost ball; steal by J. Holiday)
4:13.0,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday),3,113-97,,
4:11.0,,,113-97,,Detroit full timeout
4:11.0,,,113-97,,A. Tolliver enters the game for A. Drummond
4:03.0,,,113-97,,R. Bullock misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by A. Davis,,113-97,,
3:47.0,Shooting foul by A. Tolliver (drawn by A. Davis),,113-97,,
3:47.0,,,113-97,,H. Ellenson enters the game for A. Tolliver
3:47.0,A. Davis makes free throw 1 of 2,1,114-97,,
3:47.0,A. Davis makes free throw 2 of 2,1,115-97,,
3:31.0,,,115-97,,H. Ellenson misses 2-pt shot from 7 ft
3:29.0,Defensive rebound by N. Mirotic,,115-97,,
3:23.0,New Orleans full timeout,,115-97,,
3:23.0,,,115-97,,D. Buycks enters the game for I. Smith
3:23.0,,,115-97,,E. Moreland enters the game for B. Griffin
3:23.0,,,115-97,,J. Ennis enters the game for R. Bullock
3:23.0,,,115-97,,L. Kennard enters the game for S. Johnson
3:13.0,A. Davis misses 2-pt shot from 16 ft,,115-97,,
3:09.0,,,115-97,,Defensive rebound by L. Kennard
3:03.0,,,115-99,2,E. Moreland makes 2-pt shot from 2 ft (assist by L. Kennard)
2:50.0,I. Clark misses 3-pt shot from 25 ft,,115-99,,
2:49.0,,,115-99,,Defensive rebound by L. Kennard
2:42.0,,,115-101,2,J. Ennis makes 2-pt shot from 12 ft (assist by L. Kennard)
2:27.0,A. Davis makes 2-pt shot from 1 ft (assist by N. Mirotic),2,117-101,,
2:27.0,Shooting foul by D. Buycks (drawn by A. Davis),,117-101,,
2:27.0,A. Davis makes free throw 1 of 1,1,118-101,,
2:24.0,Personal foul by J. Holiday (drawn by D. Buycks),,118-101,,
2:24.0,C. Diallo enters the game for A. Davis,,118-101,,
2:24.0,E. Okafor enters the game for N. Mirotic,,118-101,,
2:15.0,,,118-101,,D. Buycks misses 2-pt shot from 2 ft (block by C. Diallo)
2:15.0,,,118-101,,Offensive rebound by Team
2:15.0,R. Rondo enters the game for J. Holiday,,118-101,,
2:13.0,,,118-101,,H. Ellenson misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by I. Clark,,118-101,,
1:53.0,E. Okafor misses 2-pt shot from 8 ft,,118-101,,
1:50.0,,,118-101,,Defensive rebound by H. Ellenson
1:38.0,,,118-101,,D. Buycks misses 2-pt shot from 16 ft
1:30.0,,,118-101,,Offensive rebound by L. Kennard
1:23.0,,,118-103,2,J. Ennis makes 2-pt shot from 11 ft (assist by D. Buycks)
1:10.0,C. Cooke enters the game for I. Clark,,118-103,,
1:02.0,C. Cooke misses 3-pt shot from 22 ft,,118-103,,
0:59.0,Offensive rebound by E. Okafor,,118-103,,
0:37.0,E. Okafor misses 2-pt shot from 14 ft,,118-103,,
0:33.0,,,118-103,,Defensive rebound by J. Ennis
0:19.0,,,118-103,,J. Ennis misses 2-pt shot from 17 ft
0:18.0,,,118-103,,Offensive rebound by Team
0:18.0,Loose ball foul by E. Okafor (drawn by E. Moreland),,118-103,,
0:18.0,,,118-103,,E. Moreland misses free throw 1 of 2
0:18.0,,,118-103,,Offensive rebound by Team
0:18.0,,,118-103,,E. Moreland misses free throw 2 of 2
0:15.0,,,118-103,,Offensive rebound by H. Ellenson
0:14.0,,,118-103,,D. Buycks misses 3-pt shot from 28 ft
0:09.0,Defensive rebound by C. Diallo,,118-103,,
