time,Toronto,pts.away,score,pts.home,Oklahoma City
8:06.0,,,94-108,,S. Adams enters the game for P. Patterson
8:06.0,J. Valanciunas enters the game for J. Poeltl,,94-108,,
7:54.0,,,94-108,,S. Adams misses 2-pt shot from 1 ft (block by D. Wright)
7:54.0,,,94-108,,Offensive rebound by S. Adams
7:54.0,,,94-108,,Turnover by S. Adams (step out of bounds)
7:44.0,,,94-108,,Violation by R. Felton (kicked ball)
7:44.0,,,94-108,,C. Anthony enters the game for J. Grant
7:38.0,D. Wright misses 3-pt shot from 23 ft,,94-108,,
7:34.0,,,94-108,,Defensive rebound by A. Roberson
7:20.0,,,94-108,,A. Roberson misses 2-pt shot from 1 ft
7:19.0,,,94-108,,Offensive rebound by S. Adams
7:18.0,,,94-110,2,S. Adams makes 2-pt shot at rim
7:06.0,N. Powell misses 3-pt shot from 26 ft,,94-110,,
7:01.0,,,94-110,,Defensive rebound by S. Adams
6:56.0,,,94-110,,R. Westbrook misses 2-pt shot from 11 ft
6:51.0,Defensive rebound by F. VanVleet,,94-110,,
6:48.0,N. Powell misses 3-pt shot from 22 ft,,94-110,,
6:44.0,,,94-110,,Defensive rebound by A. Roberson
6:32.0,,,94-112,2,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook)
6:31.0,Toronto full timeout,,94-112,,
6:31.0,K. Lowry enters the game for F. VanVleet,,94-112,,
6:31.0,C. Miles enters the game for N. Powell,,94-112,,
6:31.0,S. Ibaka enters the game for D. Wright,,94-112,,
6:14.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,96-112,,
5:57.0,,,96-112,,R. Felton misses 3-pt shot from 25 ft
5:54.0,,,96-112,,Offensive rebound by S. Adams
5:44.0,,,96-114,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:31.0,C. Miles misses 3-pt shot from 25 ft,,96-114,,
5:27.0,,,96-114,,Defensive rebound by R. Westbrook
5:21.0,,,96-114,,Turnover by R. Westbrook (bad pass; steal by K. Lowry)
5:17.0,K. Lowry misses 2-pt shot from 1 ft (block by R. Felton),,96-114,,
5:17.0,Offensive rebound by Team,,96-114,,
5:17.0,,,96-114,,P. George enters the game for R. Felton
4:59.0,C. Miles misses 3-pt shot from 23 ft,,96-114,,
4:57.0,,,96-114,,Defensive rebound by P. George
4:48.0,,,96-117,3,P. George makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:24.0,K. Lowry makes 3-pt shot from 26 ft (assist by S. Ibaka),3,99-117,,
3:59.0,,,99-119,2,C. Anthony makes 2-pt shot from 11 ft
3:57.0,Toronto full timeout,,99-119,,
3:57.0,P. Siakam enters the game for C. Miles,,99-119,,
3:57.0,N. Powell enters the game for K. Lowry,,99-119,,
3:57.0,O. Anunoby enters the game for S. Ibaka,,99-119,,
3:57.0,D. Wright enters the game for D. DeRozan,,99-119,,
3:57.0,L. Nogueira enters the game for J. Valanciunas,,99-119,,
3:42.0,L. Nogueira misses 3-pt shot from 25 ft,,99-119,,
3:39.0,,,99-119,,Defensive rebound by C. Anthony
3:25.0,,,99-119,,Turnover by R. Westbrook (bad pass; steal by P. Siakam)
3:22.0,Turnover by P. Siakam (bad pass; steal by R. Westbrook),,99-119,,
3:15.0,,,99-119,,C. Anthony misses 3-pt shot from 22 ft
3:12.0,Defensive rebound by P. Siakam,,99-119,,
3:02.0,Shooting foul by A. Roberson (drawn by L. Nogueira),,99-119,,
3:02.0,L. Nogueira makes free throw 1 of 2,1,100-119,,
3:02.0,L. Nogueira makes free throw 2 of 2,1,101-119,,
2:44.0,,,101-119,,Turnover by R. Westbrook (bad pass; steal by L. Nogueira)
2:40.0,D. Wright makes 2-pt shot at rim (assist by N. Powell),2,103-119,,
2:40.0,Shooting foul by A. Roberson (drawn by D. Wright),,103-119,,
2:40.0,,,103-119,,J. Grant enters the game for C. Anthony
2:40.0,D. Wright makes free throw 1 of 1,1,104-119,,
2:25.0,,,104-119,,Shooting foul by N. Powell (drawn by P. George)
2:25.0,,,104-120,1,P. George makes free throw 1 of 2
2:25.0,,,104-121,1,P. George makes free throw 2 of 2
2:12.0,O. Anunoby makes 3-pt shot from 23 ft (assist by L. Nogueira),3,107-121,,
1:42.0,,,107-121,,Turnover by J. Grant (bad pass; steal by L. Nogueira)
1:35.0,D. Wright misses 2-pt shot from 2 ft,,107-121,,
1:34.0,,,107-121,,Defensive rebound by S. Adams
1:33.0,Personal foul by D. Wright (drawn by S. Adams),,107-121,,
1:33.0,,,107-121,,R. Felton enters the game for R. Westbrook
1:13.0,,,107-121,,R. Felton misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by D. Wright,,107-121,,
0:56.0,O. Anunoby misses 3-pt shot from 22 ft,,107-121,,
0:53.0,Offensive rebound by D. Wright,,107-121,,
0:47.0,P. Siakam misses 3-pt shot from 23 ft,,107-121,,
0:44.0,,,107-121,,Defensive rebound by P. George
0:24.0,,,107-124,3,P. George makes 3-pt shot from 25 ft
0:16.0,,,107-124,,Personal take foul by S. Adams (drawn by N. Powell)
0:16.0,,,107-124,,D. Johnson enters the game for S. Adams
0:16.0,,,107-124,,T. Ferguson enters the game for P. George
0:16.0,,,107-124,,J. Huestis enters the game for A. Roberson
0:13.0,N. Powell misses 3-pt shot from 24 ft,,107-124,,
0:10.0,,,107-124,,Defensive rebound by D. Johnson
