time,Houston,pts.away,score,pts.home,Toronto
0:10.0,,,102-104,,Defensive rebound by Team
0:10.0,Loose ball foul by C. Paul (drawn by K. Lowry),,102-104,,
0:10.0,,,102-105,1,K. Lowry makes free throw 1 of 2
0:10.0,,,102-105,,N. Powell enters the game for C. Miles
0:10.0,,,102-106,1,K. Lowry makes free throw 2 of 2
0:10.0,Houston full timeout,,102-106,,
0:10.0,,,102-106,,P. Siakam enters the game for J. Valanciunas
0:10.0,J. Johnson enters the game for P. Tucker,,102-106,,
0:10.0,E. Gordon enters the game for C. Capela,,102-106,,
0:07.0,E. Gordon makes 3-pt shot from 29 ft (assist by T. Ariza),3,105-106,,
0:07.0,,,105-106,,Toronto full timeout
0:07.0,,,105-106,,J. Valanciunas enters the game for N. Powell
0:07.0,,,105-106,,C. Miles enters the game for P. Siakam
0:07.0,P. Tucker enters the game for J. Johnson,,105-106,,
0:05.0,Personal take foul by T. Ariza (drawn by J. Valanciunas),,105-106,,
0:05.0,,,105-107,1,J. Valanciunas makes free throw 1 of 2
0:05.0,,,105-107,,N. Powell enters the game for C. Miles
0:05.0,,,105-108,1,J. Valanciunas makes free throw 2 of 2
0:05.0,Houston full timeout,,105-108,,
0:05.0,,,105-108,,P. Siakam enters the game for J. Valanciunas
0:05.0,J. Johnson enters the game for P. Tucker,,105-108,,
0:00.0,J. Harden misses 3-pt shot from 31 ft,,105-108,,
0:00.0,Offensive rebound by Team,,105-108,,
