time,Denver,pts.away,score,pts.home,Chicago
1:33.0,Turnover by P. Millsap (out of bounds lost ball),,71-44,,
1:33.0,,,71-44,,B. Portis enters the game for P. Zipser
1:20.0,,,71-44,,D. Valentine misses 3-pt shot from 23 ft
1:20.0,Defensive rebound by Team,,71-44,,
0:58.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Murray),3,74-44,,
0:48.0,,,74-46,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant)
0:41.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,76-46,,
0:41.0,Shooting foul by J. Grant (drawn by J. Murray),,76-46,,
0:41.0,M. Plumlee enters the game for P. Millsap,,76-46,,
0:41.0,J. Murray makes free throw 1 of 1,1,77-46,,
0:30.0,,,77-46,,B. Portis misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by J. Murray,,77-46,,
0:06.0,Turnover by Team (shot clock),,77-46,,
0:06.0,T. Craig enters the game for N. Jokic,,77-46,,
0:02.0,,,77-46,,D. Valentine misses 3-pt shot from 24 ft (block by J. Murray)
0:02.0,,,77-46,,Offensive rebound by B. Portis
0:00.0,,,77-46,,B. Portis misses 2-pt shot at rim
0:00.0,,,77-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,77-46,,Turnover by P. Zipser (lost ball; steal by J. Murray)
11:44.0,J. Murray makes 2-pt shot from 1 ft,2,79-46,,
11:27.0,,,79-48,2,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne)
11:06.0,J. Murray misses 2-pt shot from 12 ft,,79-48,,
11:06.0,,,79-48,,Defensive rebound by P. Zipser
10:55.0,,,79-51,3,C. Payne makes 3-pt shot from 25 ft
10:35.0,Turnover by W. Barton (bad pass; steal by C. Felicio),,79-51,,
10:31.0,,,79-51,,Turnover by C. Payne (bad pass; steal by J. Murray)
10:21.0,W. Chandler misses 3-pt shot from 22 ft,,79-51,,
10:16.0,,,79-51,,Defensive rebound by D. Valentine
10:06.0,,,79-51,,Turnover by D. Valentine (lost ball; steal by P. Millsap)
10:00.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Barton),3,82-51,,
9:44.0,,,82-51,,P. Zipser misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by N. Jokic,,82-51,,
9:25.0,J. Murray misses 2-pt shot from 2 ft (block by C. Payne),,82-51,,
9:23.0,,,82-51,,Defensive rebound by C. Felicio
9:11.0,,,82-53,2,C. Felicio makes 2-pt shot at rim (assist by P. Zipser)
8:47.0,W. Barton misses 3-pt shot from 24 ft,,82-53,,
8:44.0,Offensive rebound by P. Millsap,,82-53,,
8:43.0,W. Chandler misses 3-pt shot from 26 ft,,82-53,,
8:40.0,,,82-53,,Defensive rebound by C. Payne
8:32.0,,,82-53,,P. Zipser misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by N. Jokic,,82-53,,
8:31.0,Denver full timeout,,82-53,,
8:27.0,W. Barton makes 2-pt shot at rim (assist by N. Jokic),2,84-53,,
8:09.0,,,84-55,2,C. Payne makes 2-pt shot from 9 ft
7:46.0,J. Murray misses 3-pt shot from 24 ft,,84-55,,
7:42.0,,,84-55,,Defensive rebound by C. Felicio
7:35.0,,,84-58,3,J. Holiday makes 3-pt shot from 22 ft (assist by P. Zipser)
7:22.0,P. Millsap makes 2-pt shot from 12 ft (assist by J. Murray),2,86-58,,
7:05.0,,,86-58,,P. Zipser misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by W. Chandler,,86-58,,
6:53.0,P. Millsap makes 2-pt shot from 6 ft (assist by N. Jokic),2,88-58,,
6:53.0,Shooting foul by P. Zipser (drawn by P. Millsap),,88-58,,
6:53.0,P. Millsap makes free throw 1 of 1,1,89-58,,
6:40.0,Personal foul by W. Barton (drawn by D. Valentine),,89-58,,
6:30.0,,,89-58,,Shooting foul by N. Jokic (drawn by C. Felicio)
6:30.0,,,89-59,1,C. Felicio makes free throw 1 of 2
6:30.0,,,89-59,,B. Portis enters the game for P. Zipser
6:30.0,,,89-60,1,C. Felicio makes free throw 2 of 2
