time,San Antonio,pts.away,score,pts.home,Brooklyn
3:21.0,,,89-83,,Shooting foul by P. Mills (drawn by S. Dinwiddie)
3:21.0,,,89-83,,S. Dinwiddie misses free throw 1 of 2
3:21.0,,,89-83,,Offensive rebound by Team
3:21.0,,,89-83,,S. Dinwiddie misses free throw 2 of 2
3:19.0,Defensive rebound by P. Gasol,,89-83,,
3:00.0,L. Aldridge misses 2-pt shot from 8 ft,,89-83,,
2:58.0,,,89-83,,Defensive rebound by A. Crabbe
2:48.0,,,89-85,2,S. Dinwiddie makes 2-pt shot from 3 ft
2:34.0,,,89-85,,Personal foul by T. Zeller (drawn by L. Aldridge)
2:27.0,Shooting foul by S. Dinwiddie (drawn by P. Mills),,89-85,,
2:27.0,P. Mills makes free throw 1 of 3,1,90-85,,
2:27.0,P. Mills makes free throw 2 of 3,1,91-85,,
2:27.0,P. Mills misses free throw 3 of 3,,91-85,,
2:23.0,,,91-85,,Defensive rebound by T. Zeller
2:16.0,,,91-87,2,S. Dinwiddie makes 2-pt shot from 1 ft
2:16.0,,,91-87,,Shooting foul by D. Murray (drawn by S. Dinwiddie)
2:16.0,,,91-88,1,S. Dinwiddie makes free throw 1 of 1
1:52.0,P. Gasol misses 2-pt shot from 11 ft,,91-88,,
1:50.0,,,91-88,,Defensive rebound by A. Crabbe
1:40.0,,,91-88,,T. Zeller misses 2-pt shot from 5 ft
1:38.0,Defensive rebound by D. Murray,,91-88,,
1:23.0,L. Aldridge misses 2-pt shot from 11 ft,,91-88,,
1:19.0,Offensive rebound by D. Murray,,91-88,,
1:18.0,Turnover by D. Murray (lost ball; steal by S. Dinwiddie),,91-88,,
1:14.0,,,91-88,,J. Harris misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by D. Murray,,91-88,,
0:53.0,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Mills),2,93-88,,
0:53.0,,,93-88,,Shooting block foul by T. Zeller (drawn by L. Aldridge)
0:53.0,K. Anderson enters the game for P. Gasol,,93-88,,
0:53.0,,,93-88,,Brooklyn full timeout
0:53.0,L. Aldridge makes free throw 1 of 1,1,94-88,,
0:41.0,,,94-88,,S. Dinwiddie misses 3-pt shot from 27 ft
0:40.0,,,94-88,,Offensive rebound by D. Carroll
0:40.0,Personal foul by K. Anderson (drawn by D. Carroll),,94-88,,
0:40.0,,,94-88,,D. Carroll misses free throw 1 of 2
0:40.0,,,94-88,,Offensive rebound by Team
0:40.0,P. Gasol enters the game for K. Anderson,,94-88,,
0:40.0,,,94-89,1,D. Carroll makes free throw 2 of 2
0:34.0,,,94-89,,Personal take foul by A. Crabbe (drawn by D. Murray)
0:34.0,D. Murray makes free throw 1 of 2,1,95-89,,
0:34.0,K. Anderson enters the game for P. Gasol,,95-89,,
0:34.0,,,95-89,,Q. Acy enters the game for T. Zeller
0:34.0,D. Murray misses free throw 2 of 2,,95-89,,
0:31.0,Offensive rebound by D. Murray,,95-89,,
0:29.0,,,95-89,,Personal take foul by S. Dinwiddie (drawn by P. Mills)
0:29.0,P. Mills makes free throw 1 of 2,1,96-89,,
0:29.0,P. Mills makes free throw 2 of 2,1,97-89,,
0:22.0,,,97-92,3,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
0:22.0,San Antonio full timeout,,97-92,,
0:22.0,,,97-92,,R. Hollis-Jefferson enters the game for J. Harris
0:22.0,,,97-92,,C. LeVert enters the game for Q. Acy
0:22.0,B. Forbes enters the game for D. Murray,,97-92,,
0:19.0,Turnover by K. Anderson (bad pass),,97-92,,
0:19.0,Loose ball foul by B. Forbes (drawn by C. LeVert),,97-92,,
0:19.0,,,97-92,,C. LeVert misses free throw 1 of 2
0:19.0,,,97-92,,Offensive rebound by Team
0:19.0,P. Gasol enters the game for B. Forbes,,97-92,,
0:19.0,,,97-93,1,C. LeVert makes free throw 2 of 2
0:19.0,San Antonio full timeout,,97-93,,
0:19.0,D. Bertans enters the game for P. Gasol,,97-93,,
0:16.0,,,97-93,,Personal take foul by C. LeVert (drawn by D. Green)
0:16.0,D. Green makes free throw 1 of 2,1,98-93,,
0:16.0,,,98-93,,Q. Acy enters the game for S. Dinwiddie
0:16.0,,,98-93,,T. Zeller enters the game for C. LeVert
0:16.0,D. Murray enters the game for D. Bertans,,98-93,,
0:16.0,D. Green makes free throw 2 of 2,1,99-93,,
0:16.0,,,99-93,,Brooklyn full timeout
0:16.0,,,99-93,,J. Harris enters the game for R. Hollis-Jefferson
0:16.0,,,99-93,,S. Dinwiddie enters the game for T. Zeller
0:16.0,B. Forbes enters the game for L. Aldridge,,99-93,,
0:07.0,,,99-93,,A. Crabbe misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by Team,,99-93,,
0:07.0,,,99-93,,Loose ball foul by Q. Acy (drawn by D. Green)
0:07.0,D. Green misses free throw 1 of 2,,99-93,,
0:07.0,Offensive rebound by Team,,99-93,,
0:07.0,D. Green makes free throw 2 of 2,1,100-93,,
0:01.0,,,100-95,2,A. Crabbe makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
