time,Dallas,pts.away,score,pts.home,Washington
4:19.0,H. Barnes makes 2-pt shot from 4 ft,2,104-91,,
4:00.0,,,104-93,2,O. Porter makes 2-pt shot from 5 ft
3:38.0,,,104-93,,Personal foul by B. Beal (drawn by W. Matthews)
3:31.0,Shooting foul by J. Smith (drawn by S. Mejri),,104-93,,
3:31.0,Dallas full timeout,,104-93,,
3:31.0,,,104-93,,M. Morris enters the game for J. Smith
3:31.0,S. Mejri misses free throw 1 of 2,,104-93,,
3:31.0,Offensive rebound by Team,,104-93,,
3:31.0,S. Mejri makes free throw 2 of 2,1,105-93,,
3:27.0,,,105-93,,Shooting foul by S. Mejri (drawn by J. Wall)
3:27.0,,,105-93,,J. Wall misses free throw 1 of 2
3:27.0,,,105-93,,Offensive rebound by Team
3:27.0,,,105-93,,J. Wall misses free throw 2 of 2
3:25.0,Defensive rebound by W. Matthews,,105-93,,
3:17.0,Y. Ferrell misses 3-pt shot from 26 ft,,105-93,,
3:13.0,,,105-93,,Defensive rebound by B. Beal
3:02.0,,,105-93,,M. Morris misses 2-pt shot from 8 ft
2:59.0,Defensive rebound by S. Mejri,,105-93,,
2:43.0,H. Barnes misses 2-pt shot from 2 ft,,105-93,,
2:41.0,,,105-93,,Defensive rebound by M. Morris
2:35.0,,,105-96,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
2:20.0,,,105-96,,Personal foul by K. Oubre (drawn by Y. Ferrell)
2:20.0,Y. Ferrell misses free throw 1 of 2,,105-96,,
2:20.0,Offensive rebound by Team,,105-96,,
2:20.0,Y. Ferrell makes free throw 2 of 2,1,106-96,,
2:13.0,,,106-96,,B. Beal misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by S. Mejri,,106-96,,
1:54.0,Shooting foul by J. Wall (drawn by H. Barnes),,106-96,,
1:54.0,H. Barnes makes free throw 1 of 2,1,107-96,,
1:54.0,H. Barnes makes free throw 2 of 2,1,108-96,,
1:47.0,,,108-96,,M. Morris misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by D. Smith,,108-96,,
1:36.0,D. Smith makes 2-pt shot at rim,2,110-96,,
1:27.0,,,110-96,,O. Porter misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by D. Smith,,110-96,,
1:05.0,H. Barnes misses 2-pt shot from 14 ft,,110-96,,
1:02.0,,,110-96,,Defensive rebound by K. Oubre
0:56.0,,,110-96,,K. Oubre misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by S. Mejri,,110-96,,
0:33.0,H. Barnes makes 3-pt shot from 24 ft,3,113-96,,
0:25.0,,,113-96,,B. Beal misses 2-pt shot from 21 ft
0:24.0,,,113-96,,Offensive rebound by Team
0:20.0,,,113-99,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris)
