time,Detroit,pts.away,score,pts.home,LA Lakers
1:16.0,L. Galloway makes 2-pt shot from 17 ft,2,90-111,,
1:08.0,,,90-111,,I. Zubac misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by I. Smith,,90-111,,
0:50.0,H. Ellenson makes 3-pt shot from 25 ft (assist by E. Moreland),3,93-111,,
0:37.0,,,93-111,,Turnover by I. Zubac (lost ball; steal by E. Moreland)
0:33.0,Shooting foul by T. Ennis (drawn by E. Moreland),,93-111,,
0:33.0,E. Moreland misses free throw 1 of 2,,93-111,,
0:33.0,Offensive rebound by Team,,93-111,,
0:33.0,E. Moreland misses free throw 2 of 2,,93-111,,
0:31.0,,,93-111,,Defensive rebound by K. Kuzma
0:09.0,,,93-113,2,T. Ennis makes 2-pt shot from 1 ft (assist by K. Kuzma)
0:05.0,S. Johnson misses 3-pt shot from 25 ft,,93-113,,
0:02.0,,,93-113,,Defensive rebound by K. Kuzma
