time,San Antonio,pts.away,score,pts.home,Cleveland
3:47.0,Offensive rebound by Team,,99-90,,
3:47.0,K. Anderson makes free throw 2 of 2,1,100-90,,
3:32.0,,,100-90,,R. Hood misses 2-pt shot from 9 ft
3:30.0,Defensive rebound by D. Murray,,100-90,,
3:22.0,D. Murray makes 2-pt shot from 13 ft,2,102-90,,
3:12.0,,,102-92,2,J. Clarkson makes 2-pt shot from 9 ft
2:55.0,D. Green misses 3-pt shot from 24 ft,,102-92,,
2:52.0,Offensive rebound by L. Aldridge,,102-92,,
2:49.0,L. Aldridge makes 2-pt shot from 12 ft,2,104-92,,
2:31.0,,,104-92,,Turnover by J. Green (bad pass; steal by D. Murray)
2:29.0,,,104-92,,Personal foul by L. James (drawn by P. Mills)
2:29.0,P. Mills makes free throw 1 of 2,1,105-92,,
2:29.0,P. Mills makes free throw 2 of 2,1,106-92,,
2:21.0,,,106-92,,L. James misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by D. Green,,106-92,,
1:59.0,Turnover by P. Mills (bad pass; steal by K. Korver),,106-92,,
1:56.0,,,106-92,,Offensive charge foul by L. James (drawn by D. Green)
1:56.0,,,106-92,,Turnover by L. James (offensive foul)
1:35.0,L. Aldridge makes 2-pt shot from 11 ft (assist by D. Murray),2,108-92,,
1:23.0,,,108-92,,J. Clarkson misses 3-pt shot from 29 ft
1:22.0,,,108-92,,Offensive rebound by L. James
1:21.0,,,108-94,2,L. James makes 2-pt shot from 1 ft
1:01.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson),2,110-94,,
1:01.0,,,110-94,,Cleveland full timeout
1:01.0,,,110-94,,A. Zizic enters the game for R. Hood
1:01.0,,,110-94,,J. Holland enters the game for L. James
1:01.0,,,110-94,,C. Osman enters the game for J. Green
1:01.0,B. Paul enters the game for K. Anderson,,110-94,,
1:01.0,B. Forbes enters the game for P. Mills,,110-94,,
1:01.0,J. Lauvergne enters the game for L. Aldridge,,110-94,,
1:01.0,D. Bertans enters the game for D. Green,,110-94,,
1:01.0,,,110-94,,J. Calderon enters the game for J. Clarkson
0:51.0,,,110-94,,K. Korver misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by J. Lauvergne,,110-94,,
0:32.0,B. Forbes misses 2-pt shot from 5 ft,,110-94,,
0:29.0,Offensive rebound by J. Lauvergne,,110-94,,
0:27.0,J. Lauvergne misses 2-pt shot from 7 ft,,110-94,,
0:27.0,,,110-94,,Defensive rebound by A. Zizic
0:21.0,,,110-94,,J. Holland misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by B. Paul,,110-94,,
