time,Miami,pts.away,score,pts.home,Portland
3:15.0,Shooting foul by J. Nurkic (drawn by J. Winslow),,95-104,,
3:15.0,J. Winslow misses free throw 1 of 2,,95-104,,
3:15.0,Offensive rebound by Team,,95-104,,
3:15.0,,,95-104,,C. McCollum enters the game for P. Connaughton
3:15.0,G. Dragic enters the game for W. Ellington,,95-104,,
3:15.0,J. Johnson enters the game for K. Olynyk,,95-104,,
3:15.0,J. Winslow misses free throw 2 of 2,,95-104,,
3:13.0,,,95-104,,Defensive rebound by E. Turner
2:58.0,,,95-107,3,E. Turner makes 3-pt shot from 22 ft (assist by J. Nurkic)
2:42.0,J. Johnson misses 2-pt shot from 17 ft,,95-107,,
2:39.0,,,95-107,,Defensive rebound by A. Aminu
2:22.0,,,95-107,,D. Lillard misses 3-pt shot from 27 ft
2:19.0,Defensive rebound by J. Johnson,,95-107,,
2:14.0,T. Johnson misses 3-pt shot from 25 ft,,95-107,,
2:11.0,,,95-107,,Defensive rebound by J. Nurkic
2:00.0,,,95-107,,E. Turner misses 3-pt shot from 23 ft
1:58.0,,,95-107,,Offensive rebound by Team
1:52.0,,,95-107,,D. Lillard misses 2-pt shot at rim (block by J. Winslow)
1:52.0,,,95-107,,Offensive rebound by J. Nurkic
1:52.0,,,95-109,2,J. Nurkic makes 2-pt shot at rim
1:52.0,Miami full timeout,,95-109,,
1:52.0,K. Olynyk enters the game for J. Johnson,,95-109,,
1:46.0,G. Dragic misses 2-pt shot from 1 ft,,95-109,,
1:44.0,,,95-109,,Defensive rebound by A. Aminu
1:29.0,Personal foul by K. Olynyk (drawn by J. Nurkic),,95-109,,
1:22.0,,,95-111,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
1:22.0,,,95-111,,Shooting foul by G. Dragic (drawn by J. Nurkic)
1:22.0,W. Ellington enters the game for G. Dragic,,95-111,,
1:22.0,,,95-111,,J. Nurkic misses free throw 1 of 1
1:20.0,,,95-111,,Offensive rebound by A. Aminu
1:20.0,,,95-113,2,A. Aminu makes 2-pt shot at rim
1:14.0,R. McGruder makes 2-pt shot from 17 ft (assist by J. Winslow),2,97-113,,
0:57.0,,,97-113,,A. Aminu misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by T. Johnson,,97-113,,
0:48.0,R. McGruder makes 2-pt shot at rim (assist by K. Olynyk),2,99-113,,
0:27.0,Personal foul by K. Olynyk (drawn by D. Lillard),,99-113,,
0:27.0,,,99-114,1,D. Lillard makes free throw 1 of 2
0:27.0,,,99-114,,J. Layman enters the game for C. McCollum
0:27.0,,,99-114,,P. Connaughton enters the game for J. Nurkic
0:27.0,,,99-114,,Z. Collins enters the game for J. Layman
0:27.0,,,99-115,1,D. Lillard makes free throw 2 of 2
0:23.0,Turnover by J. Winslow (lost ball; steal by A. Aminu),,99-115,,
0:00.0,,,99-115,,Turnover by Team (shot clock)
