time,Washington,pts.away,score,pts.home,Phoenix
2:07.0,B. Beal misses 2-pt shot from 11 ft,,107-97,,
2:02.0,,,107-97,,Defensive rebound by T. Ulis
1:44.0,,,107-97,,J. Dudley misses 3-pt shot from 24 ft
1:40.0,,,107-97,,Offensive rebound by T. Warren
1:39.0,,,107-97,,T. Warren misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by M. Gortat,,107-97,,
1:15.0,B. Beal makes 2-pt shot from 19 ft,2,109-97,,
1:15.0,,,109-97,,Phoenix full timeout
1:00.0,,,109-99,2,T. Ulis makes 2-pt shot from 12 ft
0:53.0,,,109-99,,Personal take foul by J. Dudley (drawn by T. Satoransky)
0:53.0,T. Satoransky misses free throw 1 of 2,,109-99,,
0:53.0,Offensive rebound by Team,,109-99,,
0:53.0,T. Satoransky misses free throw 2 of 2,,109-99,,
0:50.0,,,109-99,,Defensive rebound by T. Daniels
0:40.0,,,109-99,,Turnover by J. Dudley (bad pass; steal by M. Gortat)
0:19.0,B. Beal misses 3-pt shot from 25 ft,,109-99,,
0:16.0,,,109-99,,Defensive rebound by T. Ulis
0:12.0,,,109-99,,T. Ulis misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by M. Gortat,,109-99,,
