time,Golden State,pts.away,score,pts.home,Toronto
2:47.0,,,119-117,2,D. DeRozan makes 2-pt shot from 2 ft
2:23.0,K. Thompson makes 2-pt shot from 16 ft,2,121-117,,
2:11.0,,,121-119,2,D. DeRozan makes 2-pt shot from 1 ft
1:56.0,K. Durant makes 2-pt shot from 15 ft (assist by S. Curry),2,123-119,,
1:37.0,,,123-119,,Shooting foul by D. West (drawn by C. Miles)
1:37.0,,,123-120,1,C. Miles makes free throw 1 of 3
1:37.0,,,123-120,,C. Miles misses free throw 2 of 3
1:37.0,,,123-120,,Offensive rebound by Team
1:37.0,,,123-120,,C. Miles misses free throw 3 of 3
1:34.0,Defensive rebound by D. Green,,123-120,,
1:17.0,S. Curry misses 2-pt shot from 15 ft,,123-120,,
1:14.0,,,123-120,,Defensive rebound by P. Siakam
1:05.0,,,123-120,,D. DeRozan misses 2-pt shot from 7 ft
1:04.0,,,123-120,,Offensive rebound by D. DeRozan
1:03.0,,,123-122,2,D. DeRozan makes 2-pt shot from 2 ft
0:45.0,Shooting foul by J. Poeltl (drawn by S. Curry),,123-122,,
0:45.0,S. Curry misses free throw 1 of 2,,123-122,,
0:45.0,Offensive rebound by Team,,123-122,,
0:45.0,K. Looney enters the game for D. West,,123-122,,
0:45.0,S. Curry misses free throw 2 of 2,,123-122,,
0:45.0,,,123-122,,Defensive rebound by C. Miles
0:45.0,,,123-122,,Toronto full timeout
0:37.0,,,123-122,,D. DeRozan misses 2-pt shot from 17 ft
0:34.0,Defensive rebound by K. Looney,,123-122,,
0:21.0,K. Durant makes 2-pt shot from 21 ft (assist by S. Curry),2,125-122,,
0:21.0,,,125-122,,Toronto full timeout
0:21.0,,,125-122,,N. Powell enters the game for P. Siakam
0:11.0,,,125-122,,C. Miles misses 3-pt shot from 27 ft
0:08.0,,,125-122,,Offensive rebound by Team
0:04.0,Jump ball: N. Powell vs. D. Green (J. Poeltl gains possession),,,,Jump ball: N. Powell vs. D. Green (J. Poeltl gains possession)
0:03.0,,,125-122,,Turnover by D. DeRozan (out of bounds lost ball)
0:03.0,Golden State full timeout,,125-122,,
0:03.0,,,125-122,,P. Siakam enters the game for C. Miles
0:03.0,S. Livingston enters the game for K. Looney,,125-122,,
0:02.0,,,125-122,,Personal take foul by F. VanVleet (drawn by S. Curry)
0:02.0,S. Curry makes free throw 1 of 2,1,126-122,,
0:02.0,S. Curry makes free throw 2 of 2,1,127-122,,
0:00.0,,,127-125,3,F. VanVleet makes 3-pt shot from 24 ft (assist by J. Poeltl)
