time,Portland,pts.away,score,pts.home,Sacramento
2:48.0,J. Nurkic makes 2-pt shot from 4 ft,2,112-94,,
2:32.0,,,112-94,,D. Fox misses 2-pt shot from 4 ft (block by Z. Collins)
2:27.0,Defensive rebound by J. Nurkic,,112-94,,
2:24.0,S. Napier makes 2-pt shot from 2 ft (assist by J. Nurkic),2,114-94,,
2:16.0,,,114-94,,Shooting foul by J. Nurkic (drawn by W. Cauley-Stein)
2:16.0,,,114-95,1,W. Cauley-Stein makes free throw 1 of 2
2:16.0,M. Leonard enters the game for C. McCollum,,114-95,,
2:16.0,C. Swanigan enters the game for M. Harkless,,114-95,,
2:16.0,J. Layman enters the game for S. Napier,,114-95,,
2:16.0,P. Connaughton enters the game for J. Nurkic,,114-95,,
2:16.0,,,114-95,,W. Cauley-Stein misses free throw 2 of 2
2:12.0,Defensive rebound by Z. Collins,,114-95,,
2:03.0,Turnover by Z. Collins (bad pass; steal by V. Carter),,114-95,,
1:56.0,,,114-95,,B. Hield misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by Z. Collins,,114-95,,
1:43.0,P. Connaughton makes 2-pt shot from 2 ft (assist by Z. Collins),2,116-95,,
1:31.0,,,116-95,,Turnover by W. Cauley-Stein (bad pass; steal by J. Layman)
1:11.0,Z. Collins misses 3-pt shot from 25 ft,,116-95,,
1:06.0,,,116-95,,Defensive rebound by D. Fox
1:05.0,,,116-95,,Shooting foul by P. Connaughton (drawn by D. Fox)
1:05.0,,,116-95,,D. Fox misses free throw 1 of 2
1:05.0,,,116-95,,Offensive rebound by Team
1:05.0,,,116-96,1,D. Fox makes free throw 2 of 2
0:48.0,C. Swanigan misses 2-pt shot from 12 ft,,116-96,,
0:43.0,Offensive rebound by M. Leonard,,116-96,,
0:40.0,P. Connaughton misses 3-pt shot from 25 ft,,116-96,,
0:40.0,,,116-96,,Defensive rebound by W. Cauley-Stein
0:35.0,,,116-98,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
0:35.0,,,116-98,,Shooting foul by M. Leonard (drawn by W. Cauley-Stein)
0:35.0,,,116-99,1,W. Cauley-Stein makes free throw 1 of 1
0:21.0,,,116-99,,Personal foul by D. Fox (drawn by P. Connaughton)
0:13.0,P. Connaughton makes 2-pt shot from 1 ft,2,118-99,,
0:07.0,,,118-99,,Shooting foul by C. Swanigan (drawn by B. Hield)
0:07.0,,,118-99,,B. Hield misses free throw 1 of 2
0:07.0,,,118-99,,Offensive rebound by Team
0:07.0,,,118-100,1,B. Hield makes free throw 2 of 2
