time,Boston,pts.away,score,pts.home,Dallas
3:04.0,M. Smart misses 2-pt shot from 4 ft,,86-92,,
3:04.0,Offensive rebound by M. Smart,,86-92,,
2:58.0,K. Irving makes 3-pt shot from 25 ft (assist by M. Smart),3,89-92,,
2:39.0,,,89-92,,J. Barea misses 3-pt shot from 22 ft
2:36.0,Defensive rebound by K. Irving,,89-92,,
2:31.0,K. Irving makes 2-pt shot from 2 ft,2,91-92,,
2:30.0,,,91-92,,Dallas full timeout
2:30.0,J. Brown enters the game for M. Morris,,91-92,,
2:19.0,,,91-94,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by Y. Ferrell)
1:56.0,J. Brown misses 3-pt shot from 25 ft,,91-94,,
1:53.0,,,91-94,,Defensive rebound by W. Matthews
1:46.0,,,91-96,2,J. Barea makes 2-pt shot from 2 ft
1:42.0,,,91-96,,Personal foul by J. Barea (drawn by A. Horford)
1:24.0,M. Smart makes 3-pt shot from 26 ft (assist by J. Tatum),3,94-96,,
1:05.0,,,94-96,,Turnover by D. Nowitzki (lost ball; steal by K. Irving)
1:01.0,J. Tatum makes 2-pt shot from 1 ft (assist by K. Irving),2,96-96,,
0:42.0,,,96-96,,Turnover by H. Barnes (lost ball; steal by A. Horford)
0:31.0,Boston full timeout,,96-96,,
0:31.0,,,96-96,,D. Powell enters the game for J. Barea
0:31.0,,,96-96,,D. Harris enters the game for D. Nowitzki
0:27.0,K. Irving misses 3-pt shot from 22 ft,,96-96,,
0:23.0,Offensive rebound by A. Horford,,96-96,,
0:23.0,A. Horford misses 2-pt shot at rim,,96-96,,
0:23.0,,,96-96,,Defensive rebound by Y. Ferrell
0:23.0,,,96-96,,Dallas full timeout
0:23.0,,,96-96,,J. Barea enters the game for D. Powell
0:23.0,,,96-96,,D. Nowitzki enters the game for D. Harris
0:23.0,M. Morris enters the game for K. Irving,,96-96,,
0:02.0,,,96-96,,H. Barnes misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by M. Morris,,96-96,,
0:00.0,Boston full timeout,,96-96,,
0:00.0,,,96-96,,D. Harris enters the game for Y. Ferrell
0:00.0,,,96-96,,N. Noel enters the game for J. Barea
0:00.0,,,96-96,,S. Mejri enters the game for D. Nowitzki
0:00.0,K. Irving enters the game for M. Morris,,96-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: H. Barnes vs. A. Horford (K. Irving gains possession),,,,Jump ball: H. Barnes vs. A. Horford (K. Irving gains possession)
4:44.0,J. Tatum misses 2-pt shot from 5 ft (block by D. Nowitzki),,96-96,,
4:41.0,,,96-96,,Defensive rebound by Y. Ferrell
4:26.0,,,96-98,2,H. Barnes makes 2-pt shot from 6 ft
4:10.0,M. Smart misses 3-pt shot from 25 ft,,96-98,,
4:07.0,,,96-98,,Defensive rebound by D. Nowitzki
3:49.0,,,96-100,2,J. Barea makes 2-pt shot from 1 ft
3:26.0,J. Brown misses 2-pt shot from 4 ft,,96-100,,
3:24.0,,,96-100,,Defensive rebound by H. Barnes
3:11.0,,,96-100,,D. Nowitzki misses 2-pt shot from 11 ft
3:08.0,Defensive rebound by J. Tatum,,96-100,,
2:59.0,K. Irving makes 2-pt shot from 1 ft,2,98-100,,
2:43.0,,,98-100,,Y. Ferrell misses 2-pt shot from 20 ft
2:41.0,Defensive rebound by J. Tatum,,98-100,,
2:32.0,K. Irving makes 2-pt shot from 3 ft,2,100-100,,
2:14.0,,,100-100,,Shooting foul by J. Tatum (drawn by H. Barnes)
2:14.0,,,100-101,1,H. Barnes makes free throw 1 of 2
2:14.0,,,100-102,1,H. Barnes makes free throw 2 of 2
2:03.0,K. Irving makes 2-pt shot from 18 ft,2,102-102,,
1:49.0,,,102-102,,D. Nowitzki misses 2-pt shot from 13 ft
1:46.0,Defensive rebound by M. Smart,,102-102,,
1:39.0,J. Brown makes 2-pt shot from 19 ft (assist by K. Irving),2,104-102,,
1:39.0,,,104-102,,Dallas full timeout
1:32.0,,,104-102,,W. Matthews misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by J. Tatum,,104-102,,
1:10.0,J. Tatum misses 2-pt shot from 13 ft,,104-102,,
1:08.0,,,104-102,,Defensive rebound by J. Barea
0:59.0,,,104-102,,J. Barea misses 2-pt shot from 2 ft
0:57.0,Defensive rebound by J. Brown,,104-102,,
0:48.0,K. Irving makes 2-pt shot from 1 ft,2,106-102,,
0:48.0,Shooting foul by Y. Ferrell (drawn by K. Irving),,106-102,,
0:48.0,K. Irving misses free throw 1 of 1,,106-102,,
0:47.0,,,106-102,,Defensive rebound by D. Nowitzki
0:38.0,,,106-102,,J. Barea misses 3-pt shot from 27 ft
0:35.0,Defensive rebound by J. Tatum,,106-102,,
0:35.0,,,106-102,,Personal foul by W. Matthews (drawn by J. Tatum)
0:35.0,J. Tatum makes free throw 1 of 2,1,107-102,,
0:35.0,J. Tatum makes free throw 2 of 2,1,108-102,,
0:35.0,,,108-102,,Dallas full timeout
0:35.0,,,108-102,,D. Smith enters the game for J. Barea
0:35.0,M. Morris enters the game for K. Irving,,108-102,,
0:29.0,,,108-102,,H. Barnes misses 3-pt shot from 27 ft
0:24.0,,,108-102,,Offensive rebound by D. Smith
0:22.0,,,108-102,,Y. Ferrell misses 3-pt shot from 22 ft
0:20.0,Defensive rebound by Team,,108-102,,
0:20.0,,,108-102,,D. Powell enters the game for D. Nowitzki
0:20.0,K. Irving enters the game for M. Morris,,108-102,,
0:18.0,,,108-102,,Personal take foul by D. Smith (drawn by K. Irving)
0:18.0,K. Irving makes free throw 1 of 2,1,109-102,,
0:18.0,K. Irving makes free throw 2 of 2,1,110-102,,
0:13.0,,,110-102,,W. Matthews misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Brown,,110-102,,
