time,Portland,pts.away,score,pts.home,Charlotte
5:14.0,,,86-84,,M. Williams enters the game for F. Kaminsky
5:14.0,J. Nurkic misses free throw 2 of 2,,86-84,,
5:13.0,,,86-84,,Defensive rebound by M. Williams
5:06.0,,,86-84,,Turnover by K. Walker (out of bounds lost ball)
4:48.0,Shooting foul by D. Howard (drawn by J. Nurkic),,86-84,,
4:48.0,J. Nurkic makes free throw 1 of 2,1,87-84,,
4:48.0,J. Nurkic misses free throw 2 of 2,,87-84,,
4:46.0,,,87-84,,Defensive rebound by N. Batum
4:38.0,,,87-84,,Shooting foul by C. McCollum (drawn by J. Lamb)
4:38.0,,,87-85,1,J. Lamb makes free throw 1 of 3
4:38.0,,,87-86,1,J. Lamb makes free throw 2 of 3
4:38.0,,,87-87,1,J. Lamb makes free throw 3 of 3
4:20.0,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum),2,89-87,,
4:06.0,,,89-87,,J. Lamb misses 2-pt shot from 21 ft
4:04.0,Defensive rebound by D. Lillard,,89-87,,
4:00.0,D. Lillard makes 2-pt shot from 10 ft,2,91-87,,
3:44.0,,,91-87,,Turnover by D. Howard (traveling)
3:44.0,Portland full timeout,,91-87,,
3:44.0,,,91-87,,M. Kidd-Gilchrist enters the game for J. Lamb
3:22.0,E. Turner misses 2-pt shot from 12 ft,,91-87,,
3:19.0,,,91-87,,Defensive rebound by M. Williams
3:04.0,,,91-87,,N. Batum misses 2-pt shot from 10 ft
3:02.0,Defensive rebound by E. Turner,,91-87,,
2:58.0,E. Turner misses 2-pt shot from 14 ft,,91-87,,
2:56.0,,,91-87,,Defensive rebound by K. Walker
2:42.0,,,91-89,2,M. Williams makes 2-pt shot from 20 ft (assist by N. Batum)
2:23.0,Turnover by D. Lillard (lost ball; steal by K. Walker),,91-89,,
2:14.0,,,91-89,,K. Walker misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by D. Lillard,,91-89,,
2:04.0,Turnover by J. Nurkic (bad pass),,91-89,,
1:38.0,,,91-89,,N. Batum misses 3-pt shot from 29 ft
1:38.0,,,91-89,,Offensive rebound by Team
1:38.0,A. Aminu enters the game for N. Vonleh,,91-89,,
1:35.0,,,91-89,,M. Williams misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by Team,,91-89,,
1:29.0,,,91-89,,Personal foul by N. Batum (drawn by E. Turner)
1:29.0,E. Turner makes free throw 1 of 2,1,92-89,,
1:29.0,E. Turner misses free throw 2 of 2,,92-89,,
1:27.0,,,92-89,,Defensive rebound by D. Howard
1:18.0,,,92-91,2,K. Walker makes 2-pt shot from 16 ft
1:04.0,D. Lillard misses 3-pt shot from 24 ft,,92-91,,
0:59.0,Offensive rebound by E. Turner,,92-91,,
0:58.0,Turnover by E. Turner (lost ball; steal by K. Walker),,92-91,,
0:55.0,,,92-91,,K. Walker misses 2-pt shot from 3 ft (block by A. Aminu)
0:51.0,Defensive rebound by C. McCollum,,92-91,,
0:33.0,A. Aminu misses 3-pt shot from 26 ft,,92-91,,
0:33.0,Offensive rebound by J. Nurkic,,92-91,,
0:32.0,Portland full timeout,,92-91,,
0:32.0,Turnover by E. Turner (bad pass),,92-91,,
0:32.0,,,92-91,,Charlotte full timeout
0:32.0,,,92-91,,J. Lamb enters the game for M. Kidd-Gilchrist
0:22.0,,,92-91,,K. Walker misses 2-pt shot from 15 ft
0:17.0,Defensive rebound by E. Turner,,92-91,,
0:16.0,,,92-91,,Personal take foul by K. Walker (drawn by C. McCollum)
0:16.0,C. McCollum misses free throw 1 of 2,,92-91,,
0:16.0,Offensive rebound by Team,,92-91,,
0:16.0,,,92-91,,M. Kidd-Gilchrist enters the game for J. Lamb
0:16.0,C. McCollum makes free throw 2 of 2,1,93-91,,
0:16.0,,,93-91,,Charlotte full timeout
0:16.0,,,93-91,,J. Lamb enters the game for M. Williams
0:16.0,,,93-91,,F. Kaminsky enters the game for M. Kidd-Gilchrist
0:10.0,,,93-91,,K. Walker misses 2-pt shot from 2 ft
0:10.0,,,93-91,,Offensive rebound by F. Kaminsky
0:09.0,,,93-91,,F. Kaminsky misses 2-pt shot from 2 ft
0:09.0,,,93-91,,Offensive rebound by J. Lamb
0:04.0,,,93-91,,J. Lamb misses 3-pt shot from 28 ft
0:03.0,Defensive rebound by A. Aminu,,93-91,,
0:03.0,,,93-91,,Personal take foul by F. Kaminsky (drawn by A. Aminu)
0:03.0,A. Aminu misses free throw 1 of 2,,93-91,,
0:03.0,Offensive rebound by Team,,93-91,,
0:03.0,A. Aminu misses free throw 2 of 2,,93-91,,
0:02.0,,,93-91,,Defensive rebound by F. Kaminsky
0:00.0,,,93-91,,K. Walker misses 3-pt shot from 35 ft
0:00.0,,,93-91,,Offensive rebound by Team
