time,Miami,pts.away,score,pts.home,Indiana
3:23.0,Miami full timeout,,102-101,,
3:13.0,,,102-101,,Personal foul by V. Oladipo (drawn by W. Ellington)
2:59.0,Turnover by Team (shot clock),,102-101,,
2:50.0,,,102-101,,Turnover by V. Oladipo (turnover)
2:50.0,,,102-101,,Loose ball foul by V. Oladipo (drawn by G. Dragic)
2:34.0,J. Richardson misses 2-pt shot from 5 ft,,102-101,,
2:30.0,Offensive rebound by H. Whiteside,,102-101,,
2:30.0,H. Whiteside makes 2-pt shot at rim,2,104-101,,
2:19.0,,,104-101,,L. Stephenson misses 3-pt shot from 28 ft
2:16.0,Defensive rebound by H. Whiteside,,104-101,,
2:06.0,G. Dragic makes 2-pt shot from 17 ft,2,106-101,,
1:51.0,,,106-101,,C. Joseph misses 2-pt shot from 20 ft
1:49.0,,,106-101,,Offensive rebound by D. Sabonis
1:48.0,,,106-101,,D. Sabonis misses 2-pt shot at rim (block by H. Whiteside)
1:48.0,Defensive rebound by J. Richardson,,106-101,,
1:34.0,G. Dragic misses 2-pt shot at rim,,106-101,,
1:32.0,,,106-101,,Defensive rebound by B. Bogdanovic
1:29.0,,,106-101,,V. Oladipo misses 3-pt shot from 26 ft
1:24.0,,,106-101,,Offensive rebound by L. Stephenson
1:24.0,,,106-101,,L. Stephenson misses 2-pt shot from 2 ft
1:24.0,,,106-101,,Offensive rebound by L. Stephenson
1:24.0,,,106-103,2,L. Stephenson makes 2-pt shot from 2 ft
1:10.0,G. Dragic misses 2-pt shot from 19 ft,,106-103,,
1:07.0,,,106-103,,Defensive rebound by D. Sabonis
0:49.0,,,106-103,,C. Joseph misses 3-pt shot from 27 ft
0:46.0,Defensive rebound by T. Johnson,,106-103,,
0:25.0,W. Ellington makes 3-pt shot from 30 ft (assist by H. Whiteside),3,109-103,,
0:23.0,,,109-103,,Indiana full timeout
0:18.0,B. Adebayo enters the game for T. Johnson,,109-103,,
0:18.0,,,109-103,,Shooting foul by H. Whiteside (drawn by V. Oladipo)
0:18.0,,,109-103,,V. Oladipo misses free throw 1 of 2
0:18.0,,,109-103,,Offensive rebound by Team
0:18.0,,,109-104,1,V. Oladipo makes free throw 2 of 2
0:17.0,Miami full timeout,,109-104,,
0:17.0,,,109-104,,J. Young enters the game for V. Oladipo
0:17.0,T. Johnson enters the game for H. Whiteside,,109-104,,
0:17.0,K. Olynyk enters the game for B. Adebayo,,109-104,,
0:16.0,,,109-104,,Personal take foul by D. Sabonis (drawn by K. Olynyk)
0:16.0,K. Olynyk makes free throw 1 of 2,1,110-104,,
0:16.0,,,110-104,,T. Young enters the game for B. Bogdanovic
0:16.0,K. Olynyk misses free throw 2 of 2,,110-104,,
0:16.0,,,110-104,,Defensive rebound by D. Sabonis
0:15.0,,,110-104,,Indiana full timeout
0:15.0,,,110-104,,V. Oladipo enters the game for J. Young
0:15.0,,,110-104,,B. Bogdanovic enters the game for T. Young
0:15.0,H. Whiteside enters the game for K. Olynyk,,110-104,,
0:14.0,,,110-104,,V. Oladipo misses 3-pt shot from 28 ft
0:12.0,Defensive rebound by H. Whiteside,,110-104,,
0:12.0,,,110-104,,Personal take foul by B. Bogdanovic (drawn by H. Whiteside)
0:12.0,H. Whiteside makes free throw 1 of 2,1,111-104,,
0:12.0,H. Whiteside makes free throw 2 of 2,1,112-104,,
0:06.0,,,112-104,,Shooting foul by J. Richardson (drawn by V. Oladipo)
0:06.0,,,112-105,1,V. Oladipo makes free throw 1 of 2
0:06.0,,,112-106,1,V. Oladipo makes free throw 2 of 2
0:04.0,J. Richardson makes 2-pt shot at rim (assist by W. Ellington),2,114-106,,
0:00.0,,,114-106,,V. Oladipo misses 3-pt shot from 27 ft
0:00.0,,,114-106,,Offensive rebound by Team
