time,Sacramento,pts.away,score,pts.home,Philadelphia
6:37.0,B. Hield misses 2-pt shot from 20 ft,,84-81,,
6:33.0,,,84-81,,Defensive rebound by B. Simmons
6:26.0,,,84-81,,B. Simmons misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by W. Cauley-Stein,,84-81,,
6:07.0,G. Temple makes 2-pt shot from 2 ft,2,86-81,,
5:57.0,Personal foul by G. Temple (drawn by B. Simmons),,86-81,,
5:57.0,,,86-81,,D. Saric enters the game for T. Luwawu-Cabarrot
5:49.0,,,86-81,,Shooting foul by M. Richardson (drawn by D. Saric)
5:49.0,,,86-82,1,D. Saric makes free throw 1 of 2
5:49.0,,,86-83,1,D. Saric makes free throw 2 of 2
5:38.0,G. Temple makes 2-pt shot from 16 ft,2,88-83,,
5:16.0,,,88-86,3,J. Bayless makes 3-pt shot from 22 ft (assist by R. Covington)
4:53.0,B. Hield makes 2-pt shot from 16 ft,2,90-86,,
4:23.0,,,90-86,,R. Covington misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by V. Carter,,90-86,,
4:17.0,G. Temple makes 2-pt shot from 1 ft (assist by V. Carter),2,92-86,,
4:17.0,,,92-86,,Philadelphia full timeout
3:58.0,,,92-89,3,J. Bayless makes 3-pt shot from 25 ft (assist by D. Saric)
3:39.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by V. Carter),2,94-89,,
3:23.0,,,94-89,,D. Saric misses 2-pt shot from 16 ft
3:20.0,Defensive rebound by M. Richardson,,94-89,,
3:05.0,Turnover by W. Cauley-Stein (bad pass; steal by J. Bayless),,94-89,,
3:04.0,Personal foul by G. Temple (drawn by J. Bayless),,94-89,,
3:04.0,,,94-90,1,J. Bayless makes free throw 1 of 2
3:04.0,,,94-90,,T. McConnell enters the game for R. Holmes
3:04.0,,,94-90,,J. Bayless misses free throw 2 of 2
3:03.0,Defensive rebound by Team,,94-90,,
3:03.0,Sacramento full timeout,,94-90,,
3:03.0,Z. Randolph enters the game for W. Cauley-Stein,,94-90,,
2:44.0,M. Richardson misses 2-pt shot from 4 ft,,94-90,,
2:42.0,,,94-90,,Defensive rebound by D. Saric
2:39.0,,,94-90,,J. Bayless misses 2-pt shot from 20 ft
2:33.0,Defensive rebound by G. Temple,,94-90,,
2:17.0,Z. Randolph misses 2-pt shot from 18 ft,,94-90,,
2:13.0,Offensive rebound by V. Carter,,94-90,,
1:58.0,Z. Randolph makes 2-pt shot from 6 ft (assist by G. Temple),2,96-90,,
1:43.0,,,96-90,,Turnover by D. Saric (bad pass)
1:27.0,G. Temple misses 2-pt shot from 4 ft,,96-90,,
1:25.0,,,96-90,,Defensive rebound by R. Covington
1:15.0,,,96-90,,R. Covington misses 2-pt shot from 9 ft (block by V. Carter)
1:12.0,Defensive rebound by B. Hield,,96-90,,
1:12.0,Turnover by B. Hield (out of bounds lost ball),,96-90,,
1:06.0,,,96-92,2,B. Simmons makes 2-pt shot from 14 ft
1:06.0,,,96-92,,Shooting foul by M. Richardson (drawn by B. Simmons)
1:06.0,,,96-92,,B. Simmons misses free throw 1 of 1
1:03.0,Defensive rebound by G. Temple,,96-92,,
0:44.0,G. Temple misses 3-pt shot from 22 ft,,96-92,,
0:43.0,Offensive rebound by Team,,96-92,,
0:32.0,Z. Randolph misses 2-pt shot from 1 ft,,96-92,,
0:32.0,Offensive rebound by G. Temple,,96-92,,
0:32.0,G. Temple makes 2-pt shot at rim,2,98-92,,
0:32.0,,,98-92,,Philadelphia full timeout
0:32.0,,,98-92,,T. Luwawu-Cabarrot enters the game for T. McConnell
0:32.0,W. Cauley-Stein enters the game for Z. Randolph,,98-92,,
0:30.0,,,98-92,,R. Covington misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by Team,,98-92,,
0:28.0,Sacramento full timeout,,98-92,,
0:28.0,,,98-92,,T. McConnell enters the game for D. Saric
0:28.0,Z. Randolph enters the game for W. Cauley-Stein,,98-92,,
0:28.0,F. Mason enters the game for M. Richardson,,98-92,,
0:24.0,Turnover by B. Hield (out of bounds lost ball),,98-92,,
0:24.0,,,98-92,,Philadelphia full timeout
0:24.0,,,98-92,,D. Saric enters the game for T. McConnell
0:24.0,M. Richardson enters the game for F. Mason,,98-92,,
0:20.0,,,98-92,,D. Saric misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by G. Temple,,98-92,,
0:17.0,,,98-92,,Personal foul by R. Covington (drawn by G. Temple)
0:14.0,,,98-92,,Personal take foul by T. Luwawu-Cabarrot (drawn by B. Hield)
0:14.0,B. Hield makes free throw 1 of 2,1,99-92,,
0:14.0,B. Hield makes free throw 2 of 2,1,100-92,,
0:10.0,,,100-95,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
0:06.0,,,100-95,,Personal take foul by B. Simmons (drawn by G. Temple)
0:06.0,G. Temple misses free throw 1 of 2,,100-95,,
0:06.0,Offensive rebound by Team,,100-95,,
0:06.0,G. Temple makes free throw 2 of 2,1,101-95,,
0:01.0,,,101-95,,R. Covington misses 3-pt shot from 30 ft
0:01.0,,,101-95,,Offensive rebound by Team
