time,San Antonio,pts.away,score,pts.home,Milwaukee
4:46.0,,,89-99,,E. Bledsoe misses 2-pt shot from 21 ft
4:43.0,Defensive rebound by L. Aldridge,,89-99,,
4:28.0,L. Aldridge misses 2-pt shot from 2 ft,,89-99,,
4:23.0,Offensive rebound by P. Gasol,,89-99,,
4:23.0,P. Gasol makes 2-pt shot at rim,2,91-99,,
4:15.0,,,91-99,,Milwaukee full timeout
4:15.0,D. Green enters the game for K. Anderson,,91-99,,
4:11.0,,,91-102,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by J. Henson)
3:49.0,,,91-102,,Personal foul by K. Middleton (drawn by P. Gasol)
3:49.0,P. Gasol misses free throw 1 of 2,,91-102,,
3:49.0,Offensive rebound by Team,,91-102,,
3:49.0,P. Gasol makes free throw 2 of 2,1,92-102,,
3:31.0,,,92-104,2,E. Bledsoe makes 2-pt shot from 15 ft
3:14.0,D. Green makes 3-pt shot from 29 ft (assist by P. Mills),3,95-104,,
2:52.0,,,95-104,,G. Antetokounmpo misses 2-pt shot from 9 ft
2:49.0,Defensive rebound by D. Murray,,95-104,,
2:42.0,D. Murray makes 2-pt shot at rim,2,97-104,,
2:20.0,,,97-106,2,E. Bledsoe makes 2-pt shot from 15 ft
1:58.0,Shooting foul by J. Henson (drawn by L. Aldridge),,97-106,,
1:58.0,L. Aldridge makes free throw 1 of 2,1,98-106,,
1:58.0,L. Aldridge makes free throw 2 of 2,1,99-106,,
1:41.0,,,99-106,,J. Terry misses 3-pt shot from 22 ft
1:38.0,Defensive rebound by P. Gasol,,99-106,,
1:29.0,D. Murray makes 2-pt shot from 13 ft,2,101-106,,
1:08.0,,,101-106,,G. Antetokounmpo misses 2-pt shot from 14 ft
1:08.0,Defensive rebound by D. Murray,,101-106,,
1:08.0,Turnover by D. Murray (out of bounds lost ball),,101-106,,
0:58.0,,,101-106,,Turnover by E. Bledsoe (out of bounds lost ball)
0:44.0,D. Green misses 3-pt shot from 27 ft,,101-106,,
0:44.0,Offensive rebound by Team,,101-106,,
0:44.0,San Antonio full timeout,,101-106,,
0:36.0,P. Mills misses 3-pt shot from 26 ft,,101-106,,
0:35.0,Offensive rebound by P. Gasol,,101-106,,
0:35.0,P. Gasol makes 2-pt shot from 1 ft,2,103-106,,
0:12.0,,,103-106,,E. Bledsoe misses 3-pt shot from 28 ft
0:09.0,Defensive rebound by D. Murray,,103-106,,
0:03.0,D. Murray misses 3-pt shot from 29 ft (block by K. Middleton),,103-106,,
0:03.0,Offensive rebound by D. Green,,103-106,,
0:00.0,D. Green misses 2-pt shot from 1 ft,,103-106,,
0:00.0,,,103-106,,Defensive rebound by J. Henson
