time,Toronto,pts.away,score,pts.home,LA Lakers
5:23.0,Defensive rebound by C. Miles,,87-83,,
5:11.0,D. DeRozan misses 2-pt shot from 19 ft,,87-83,,
5:04.0,,,87-83,,Defensive rebound by K. Caldwell-Pope
4:54.0,,,87-83,,Offensive foul by L. Nance (drawn by K. Lowry)
4:54.0,,,87-83,,Turnover by L. Nance (offensive foul)
4:54.0,,,87-83,,B. Ingram enters the game for C. Brewer
4:43.0,K. Lowry misses 3-pt shot from 26 ft,,87-83,,
4:39.0,Offensive rebound by Team,,87-83,,
4:34.0,D. DeRozan makes 2-pt shot from 13 ft,2,89-83,,
4:05.0,,,89-83,,B. Lopez misses 3-pt shot from 23 ft
4:02.0,Defensive rebound by S. Ibaka,,89-83,,
3:54.0,Offensive foul by S. Ibaka (drawn by L. Ball),,89-83,,
3:54.0,Turnover by S. Ibaka (offensive foul),,89-83,,
3:48.0,,,89-83,,L. Ball misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by K. Lowry,,89-83,,
3:42.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,91-83,,
3:42.0,,,91-83,,LA Lakers full timeout
3:42.0,,,91-83,,C. Brewer enters the game for K. Caldwell-Pope
3:42.0,,,91-83,,K. Kuzma enters the game for L. Ball
3:42.0,,,91-83,,J. Clarkson enters the game for L. Nance
3:42.0,,,91-83,,J. Randle enters the game for B. Lopez
3:42.0,,,91-83,,J. Hart enters the game for B. Ingram
3:33.0,,,91-83,,K. Kuzma misses 2-pt shot from 15 ft
3:28.0,Defensive rebound by K. Lowry,,91-83,,
3:26.0,Shooting foul by J. Clarkson (drawn by P. Siakam),,91-83,,
3:26.0,P. Siakam misses free throw 1 of 2,,91-83,,
3:26.0,Offensive rebound by Team,,91-83,,
3:26.0,P. Siakam makes free throw 2 of 2,1,92-83,,
3:13.0,,,92-83,,J. Clarkson misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by K. Lowry,,92-83,,
3:04.0,Shooting foul by J. Randle (drawn by S. Ibaka),,92-83,,
3:04.0,S. Ibaka makes free throw 1 of 2,1,93-83,,
3:04.0,S. Ibaka makes free throw 2 of 2,1,94-83,,
2:50.0,,,94-85,2,K. Kuzma makes 2-pt shot from 6 ft (assist by J. Randle)
2:29.0,D. DeRozan misses 2-pt shot from 12 ft,,94-85,,
2:25.0,Offensive rebound by P. Siakam,,94-85,,
2:10.0,D. DeRozan misses 2-pt shot from 2 ft,,94-85,,
2:07.0,,,94-85,,Defensive rebound by C. Brewer
2:00.0,Personal foul by S. Ibaka (drawn by J. Hart),,94-85,,
2:00.0,,,94-85,,J. Hart misses free throw 1 of 2
2:00.0,,,94-85,,Offensive rebound by Team
2:00.0,,,94-86,1,J. Hart makes free throw 2 of 2
1:36.0,K. Lowry misses 2-pt shot from 2 ft (block by C. Brewer),,94-86,,
1:36.0,Offensive rebound by Team,,94-86,,
1:36.0,Turnover by Team (shot clock),,94-86,,
1:26.0,,,94-86,,J. Clarkson misses 2-pt shot from 1 ft
1:26.0,,,94-86,,Offensive rebound by J. Randle
1:26.0,,,94-88,2,J. Randle makes 2-pt shot at rim
1:26.0,,,94-88,,Shooting foul by P. Siakam (drawn by J. Randle)
1:26.0,,,94-88,,J. Randle misses free throw 1 of 1
1:25.0,Defensive rebound by K. Lowry,,94-88,,
1:25.0,Toronto full timeout,,94-88,,
1:09.0,K. Lowry makes 3-pt shot from 26 ft,3,97-88,,
0:59.0,,,97-90,2,J. Clarkson makes 2-pt shot from 4 ft
0:39.0,D. DeRozan misses 2-pt shot from 2 ft,,97-90,,
0:36.0,,,97-90,,Defensive rebound by C. Brewer
0:31.0,,,97-92,2,J. Clarkson makes 2-pt shot from 1 ft
0:31.0,Toronto full timeout,,97-92,,
0:25.0,,,97-92,,Personal take foul by J. Randle (drawn by K. Lowry)
0:24.0,,,97-92,,Personal take foul by J. Hart (drawn by D. DeRozan)
0:24.0,D. DeRozan misses free throw 1 of 2,,97-92,,
0:24.0,Offensive rebound by Team,,97-92,,
0:24.0,D. DeRozan makes free throw 2 of 2,1,98-92,,
0:18.0,,,98-92,,Turnover by J. Clarkson (bad pass; steal by D. DeRozan)
0:14.0,,,98-92,,Personal take foul by J. Hart (drawn by D. DeRozan)
0:14.0,D. DeRozan makes free throw 1 of 2,1,99-92,,
0:14.0,D. DeRozan misses free throw 2 of 2,,99-92,,
0:10.0,Offensive rebound by P. Siakam,,99-92,,
0:09.0,P. Siakam makes 2-pt shot from 2 ft,2,101-92,,
0:04.0,,,101-92,,K. Kuzma misses 3-pt shot from 28 ft
0:04.0,,,101-92,,Offensive rebound by J. Clarkson
0:00.0,,,101-92,,J. Clarkson misses 3-pt shot from 23 ft
0:00.0,,,101-92,,Offensive rebound by Team
