time,Chicago,pts.away,score,pts.home,Minnesota
4:54.0,Turnover by C. Felicio (bad pass),,91-112,,
4:40.0,,,91-112,,K. Towns misses 2-pt shot at rim
4:38.0,Defensive rebound by L. Markkanen,,91-112,,
4:33.0,L. Markkanen misses 2-pt shot from 19 ft,,91-112,,
4:33.0,,,91-112,,Defensive rebound by J. Crawford
4:16.0,Violation by K. Dunn (kicked ball),,91-112,,
4:03.0,,,91-112,,J. Teague misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by Z. LaVine,,91-112,,
3:55.0,Z. LaVine makes 2-pt shot from 1 ft,2,93-112,,
3:55.0,,,93-112,,Violation by K. Towns (def goaltending)
3:41.0,,,93-112,,Shooting foul by D. Valentine (drawn by J. Crawford)
3:41.0,,,93-113,1,J. Crawford makes free throw 1 of 2
3:41.0,,,93-114,1,J. Crawford makes free throw 2 of 2
3:28.0,Shooting foul by K. Towns (drawn by Z. LaVine),,93-114,,
3:28.0,Z. LaVine misses free throw 1 of 2,,93-114,,
3:28.0,Offensive rebound by Team,,93-114,,
3:28.0,C. Payne enters the game for K. Dunn,,93-114,,
3:28.0,Z. LaVine makes free throw 2 of 2,1,94-114,,
3:21.0,,,94-116,2,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Teague)
3:05.0,D. Valentine makes 2-pt shot from 19 ft (assist by C. Felicio),2,96-116,,
2:48.0,,,96-116,,A. Wiggins misses 3-pt shot from 27 ft
2:48.0,,,96-116,,Offensive rebound by K. Towns
2:39.0,,,96-116,,Offensive foul by K. Towns (drawn by L. Markkanen)
2:39.0,,,96-116,,Turnover by K. Towns (offensive foul)
2:39.0,B. Portis enters the game for Z. LaVine,,96-116,,
2:39.0,J. Grant enters the game for L. Markkanen,,96-116,,
2:30.0,D. Valentine makes 2-pt shot from 1 ft (assist by C. Felicio),2,98-116,,
2:20.0,Personal foul by C. Felicio (drawn by K. Towns),,98-116,,
2:20.0,,,98-116,,K. Towns misses free throw 1 of 2
2:20.0,,,98-116,,Offensive rebound by Team
2:20.0,,,98-116,,T. Jones enters the game for J. Teague
2:20.0,N. Vonleh enters the game for B. Portis,,98-116,,
2:20.0,,,98-116,,K. Towns misses free throw 2 of 2
2:17.0,Defensive rebound by N. Vonleh,,98-116,,
2:06.0,J. Grant misses 2-pt shot from 18 ft,,98-116,,
2:04.0,,,98-116,,Defensive rebound by K. Towns
1:50.0,,,98-118,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford)
1:33.0,C. Felicio misses 2-pt shot from 7 ft,,98-118,,
1:30.0,,,98-118,,Defensive rebound by T. Gibson
1:16.0,,,98-120,2,K. Towns makes 2-pt shot from 21 ft (assist by T. Jones)
1:12.0,,,98-120,,Personal take foul by T. Gibson (drawn by C. Payne)
1:12.0,,,98-120,,M. Georges-Hunt enters the game for A. Wiggins
1:12.0,,,98-120,,A. Brooks enters the game for K. Towns
1:12.0,,,98-120,,C. Aldrich enters the game for T. Gibson
1:00.0,Shooting foul by M. Georges-Hunt (drawn by C. Felicio),,98-120,,
1:00.0,C. Felicio misses free throw 1 of 2,,98-120,,
1:00.0,Offensive rebound by Team,,98-120,,
1:00.0,C. Felicio makes free throw 2 of 2,1,99-120,,
0:46.0,,,99-120,,C. Aldrich misses 2-pt shot from 7 ft
0:44.0,Defensive rebound by C. Felicio,,99-120,,
0:37.0,C. Payne makes 3-pt shot from 24 ft,3,102-120,,
0:18.0,,,102-120,,J. Crawford misses 3-pt shot from 32 ft
0:14.0,,,102-120,,Offensive rebound by M. Georges-Hunt
0:13.0,,,102-122,2,M. Georges-Hunt makes 2-pt shot from 4 ft
0:07.0,C. Payne makes 2-pt shot from 1 ft,2,104-122,,
