time,Sacramento,pts.away,score,pts.home,LA Lakers
7:29.0,,,81-90,,Turnover by J. Clarkson (bad pass; steal by G. Temple)
7:23.0,Turnover by G. Temple (lost ball; steal by L. Ball),,81-90,,
7:18.0,,,81-90,,J. Clarkson misses 3-pt shot from 22 ft
7:15.0,,,81-90,,Offensive rebound by K. Kuzma
7:15.0,,,81-90,,K. Kuzma misses 2-pt shot at rim
7:15.0,Defensive rebound by Team,,81-90,,
6:59.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,83-90,,
6:42.0,,,83-92,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Kuzma)
6:42.0,,,83-92,,Shooting foul by B. Hield (drawn by L. Nance)
6:42.0,,,83-92,,L. Nance misses free throw 1 of 1
6:42.0,,,83-92,,K. Caldwell-Pope enters the game for J. Clarkson
6:42.0,D. Fox enters the game for B. Hield,,83-92,,
6:39.0,Offensive rebound by G. Temple,,83-92,,
6:29.0,Turnover by D. Fox (bad pass; steal by K. Kuzma),,83-92,,
6:29.0,,,83-92,,Turnover by B. Ingram (bad pass; steal by D. Fox)
6:24.0,Shooting foul by K. Caldwell-Pope (drawn by B. Bogdanovic),,83-92,,
6:24.0,B. Bogdanovic misses free throw 1 of 2,,83-92,,
6:24.0,Offensive rebound by Team,,83-92,,
6:24.0,,,83-92,,J. Randle enters the game for L. Nance
6:24.0,B. Bogdanovic makes free throw 2 of 2,1,84-92,,
6:07.0,,,84-92,,Turnover by J. Randle (bad pass)
5:49.0,S. Labissiere misses 2-pt shot from 7 ft,,84-92,,
5:46.0,,,84-92,,Defensive rebound by J. Randle
5:28.0,,,84-94,2,J. Randle makes 2-pt shot from 2 ft (assist by K. Kuzma)
5:28.0,,,84-94,,Shooting foul by K. Koufos (drawn by J. Randle)
5:28.0,,,84-95,1,J. Randle makes free throw 1 of 1
5:15.0,D. Fox misses 3-pt shot from 23 ft,,84-95,,
5:11.0,,,84-95,,Defensive rebound by K. Caldwell-Pope
5:01.0,,,84-95,,Turnover by J. Randle (bad pass; steal by K. Koufos)
5:01.0,,,84-95,,Personal take foul by L. Ball (drawn by D. Fox)
5:01.0,Sacramento full timeout,,84-95,,
5:01.0,W. Cauley-Stein enters the game for S. Labissiere,,84-95,,
4:47.0,W. Cauley-Stein misses 3-pt shot from 25 ft,,84-95,,
4:44.0,,,84-95,,Defensive rebound by L. Ball
4:32.0,,,84-95,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by K. Koufos,,84-95,,
4:23.0,D. Fox misses 2-pt shot from 16 ft,,84-95,,
4:23.0,,,84-95,,Defensive rebound by K. Kuzma
3:59.0,,,84-95,,Turnover by J. Randle (out of bounds lost ball)
3:45.0,W. Cauley-Stein misses 2-pt shot from 10 ft,,84-95,,
3:42.0,,,84-95,,Defensive rebound by J. Randle
3:32.0,,,84-97,2,K. Kuzma makes 2-pt shot from 1 ft (assist by B. Ingram)
3:32.0,,,84-97,,Shooting foul by W. Cauley-Stein (drawn by K. Kuzma)
3:32.0,B. Hield enters the game for G. Temple,,84-97,,
3:32.0,S. Labissiere enters the game for K. Koufos,,84-97,,
3:32.0,,,84-97,,K. Kuzma misses free throw 1 of 1
3:28.0,Defensive rebound by W. Cauley-Stein,,84-97,,
3:13.0,B. Bogdanovic misses 3-pt shot from 27 ft,,84-97,,
3:08.0,,,84-97,,Defensive rebound by B. Ingram
2:54.0,,,84-97,,Turnover by B. Ingram (bad pass; steal by W. Cauley-Stein)
2:45.0,B. Hield misses 2-pt shot from 6 ft,,84-97,,
2:42.0,,,84-97,,Defensive rebound by J. Randle
2:21.0,,,84-97,,Turnover by B. Ingram (lost ball; steal by D. Fox)
2:16.0,D. Fox misses 2-pt shot at rim,,84-97,,
2:12.0,,,84-97,,Defensive rebound by J. Randle
2:08.0,,,84-97,,L. Ball misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by B. Bogdanovic,,84-97,,
1:48.0,B. Hield misses 2-pt shot from 2 ft,,84-97,,
1:48.0,Offensive rebound by S. Labissiere,,84-97,,
1:47.0,S. Labissiere makes 2-pt shot at rim,2,86-97,,
1:47.0,,,86-97,,LA Lakers full timeout
1:23.0,,,86-97,,J. Randle misses 2-pt shot from 10 ft
1:18.0,Jump ball: K. Kuzma vs. S. Labissiere (L. Ball gains possession),,,,Jump ball: K. Kuzma vs. S. Labissiere (L. Ball gains possession)
1:18.0,,,86-97,,Offensive rebound by K. Kuzma
1:00.0,,,86-97,,Turnover by K. Kuzma (lost ball; steal by B. Hield)
0:56.0,B. Hield misses 2-pt shot from 1 ft (block by K. Caldwell-Pope),,86-97,,
0:56.0,Offensive rebound by Team,,86-97,,
0:44.0,Turnover by B. Hield (bad pass; steal by L. Ball),,86-97,,
0:42.0,,,86-99,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball)
0:24.0,D. Fox misses 2-pt shot from 16 ft,,86-99,,
0:24.0,,,86-99,,Defensive rebound by K. Kuzma
0:01.0,,,86-99,,Turnover by Team (shot clock)
