time,Portland,pts.away,score,pts.home,Boston
1:37.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,88-90,,
1:17.0,,,88-90,,J. Tatum misses 2-pt shot from 5 ft (block by E. Davis)
1:16.0,,,88-90,,Offensive rebound by Team
1:13.0,,,88-93,3,J. Brown makes 3-pt shot from 24 ft (assist by J. Tatum)
1:05.0,D. Lillard makes 3-pt shot from 26 ft,3,91-93,,
0:57.0,,,91-93,,Boston full timeout
0:52.0,,,91-93,,J. Brown misses 2-pt shot from 2 ft (block by E. Davis)
0:50.0,,,91-93,,Offensive rebound by S. Ojeleye
0:43.0,,,91-93,,J. Tatum misses 2-pt shot from 3 ft
0:42.0,Defensive rebound by A. Aminu,,91-93,,
0:35.0,D. Lillard makes 2-pt shot from 11 ft,2,93-93,,
0:14.0,,,93-95,2,T. Rozier makes 2-pt shot from 18 ft
0:13.0,Portland full timeout,,93-95,,
0:07.0,D. Lillard makes 2-pt shot from 2 ft,2,95-95,,
0:07.0,Shooting foul by S. Ojeleye (drawn by D. Lillard),,95-95,,
0:07.0,,,95-95,,A. Baynes enters the game for S. Ojeleye
0:07.0,D. Lillard makes free throw 1 of 1,1,96-95,,
0:07.0,,,96-95,,Boston full timeout
0:07.0,,,96-95,,D. Theis enters the game for A. Baynes
0:04.0,Personal take foul by C. McCollum (drawn by J. Brown),,96-95,,
0:01.0,,,96-97,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Brown)
