time,Memphis,pts.away,score,pts.home,Milwaukee
1:36.0,,,101-107,,K. Middleton misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by D. Brooks,,101-107,,
1:26.0,M. Conley misses 3-pt shot from 23 ft,,101-107,,
1:23.0,,,101-107,,Defensive rebound by E. Bledsoe
1:04.0,,,101-107,,G. Antetokounmpo misses 2-pt shot from 16 ft
1:02.0,,,101-107,,Offensive rebound by J. Henson
0:44.0,,,101-107,,E. Bledsoe misses 2-pt shot from 20 ft
0:41.0,Defensive rebound by M. Gasol,,101-107,,
0:37.0,T. Evans misses 2-pt shot from 1 ft,,101-107,,
0:34.0,,,101-107,,Defensive rebound by J. Henson
0:28.0,,,101-107,,Milwaukee full timeout
0:26.0,Personal take foul by D. Brooks (drawn by E. Bledsoe),,101-107,,
0:24.0,Personal take foul by M. Gasol (drawn by E. Bledsoe),,101-107,,
0:24.0,,,101-107,,E. Bledsoe misses free throw 1 of 2
0:24.0,,,101-107,,Offensive rebound by Team
0:24.0,,,101-108,1,E. Bledsoe makes free throw 2 of 2
0:24.0,Memphis full timeout,,101-108,,
0:18.0,M. Conley misses 3-pt shot from 22 ft,,101-108,,
0:17.0,Offensive rebound by D. Brooks,,101-108,,
0:16.0,D. Brooks makes 2-pt shot from 1 ft,2,103-108,,
0:12.0,,,103-110,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:07.0,D. Brooks misses 3-pt shot from 27 ft,,103-110,,
0:03.0,,,103-110,,Defensive rebound by E. Bledsoe
