time,Dallas,pts.away,score,pts.home,Atlanta
1:40.0,Offensive rebound by D. Nowitzki,,105-107,,
1:40.0,D. Nowitzki makes 2-pt shot from 2 ft,2,107-107,,
1:21.0,,,107-110,3,D. Schroder makes 3-pt shot from 25 ft
1:05.0,W. Matthews misses 3-pt shot from 23 ft,,107-110,,
1:02.0,,,107-110,,Defensive rebound by K. Bazemore
0:40.0,,,107-110,,K. Bazemore misses 2-pt shot from 5 ft (block by D. Nowitzki)
0:36.0,Defensive rebound by H. Barnes,,107-110,,
0:30.0,D. Nowitzki misses 3-pt shot from 25 ft,,107-110,,
0:26.0,,,107-110,,Defensive rebound by M. Delaney
0:07.0,,,107-110,,D. Schroder misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by Team,,107-110,,
0:04.0,,,107-110,,Loose ball foul by E. Ilyasova (drawn by H. Barnes)
0:04.0,Dallas full timeout,,107-110,,
0:04.0,,,107-110,,M. Plumlee enters the game for M. Delaney
0:04.0,,,107-110,,J. Collins enters the game for D. Schroder
0:04.0,D. Powell enters the game for J. Barea,,107-110,,
0:04.0,S. Mejri enters the game for D. Nowitzki,,107-110,,
0:04.0,H. Barnes misses free throw 1 of 2,,107-110,,
0:04.0,Offensive rebound by Team,,107-110,,
0:04.0,D. Smith enters the game for Y. Ferrell,,107-110,,
0:04.0,H. Barnes misses free throw 2 of 2,,107-110,,
0:02.0,,,107-110,,Defensive rebound by M. Plumlee
0:02.0,,,107-110,,Atlanta full timeout
0:02.0,,,107-110,,M. Delaney enters the game for M. Plumlee
0:02.0,,,107-110,,D. Schroder enters the game for J. Collins
0:02.0,K. Collinsworth enters the game for D. Powell,,107-110,,
0:02.0,Y. Ferrell enters the game for S. Mejri,,107-110,,
0:02.0,Personal take foul by K. Collinsworth (drawn by T. Waller-Prince),,107-110,,
0:01.0,Personal take foul by Y. Ferrell (drawn by E. Ilyasova),,107-110,,
0:01.0,,,107-111,1,E. Ilyasova makes free throw 1 of 2
0:01.0,D. Powell enters the game for D. Smith,,107-111,,
0:01.0,S. Mejri enters the game for K. Collinsworth,,107-111,,
0:01.0,,,107-112,1,E. Ilyasova makes free throw 2 of 2
0:01.0,Dallas full timeout,,107-112,,
0:01.0,J. Barea enters the game for D. Powell,,107-112,,
0:01.0,D. Nowitzki enters the game for S. Mejri,,107-112,,
0:00.0,H. Barnes misses 3-pt shot from 28 ft,,107-112,,
0:00.0,Offensive rebound by Team,,107-112,,
