time,Detroit,pts.away,score,pts.home,Indiana
3:47.0,I. Smith misses 2-pt shot from 19 ft,,97-93,,
3:44.0,Offensive rebound by A. Drummond,,97-93,,
3:44.0,A. Drummond misses 2-pt shot at rim,,97-93,,
3:44.0,Offensive rebound by A. Drummond,,97-93,,
3:44.0,A. Drummond makes 2-pt shot at rim,2,99-93,,
3:44.0,Shooting foul by M. Turner (drawn by A. Drummond),,99-93,,
3:44.0,A. Drummond makes free throw 1 of 1,1,100-93,,
3:31.0,,,100-95,2,T. Young makes 2-pt shot from 6 ft (assist by M. Turner)
3:07.0,Turnover by A. Drummond (bad pass; steal by V. Oladipo),,100-95,,
2:58.0,,,100-97,2,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo)
2:36.0,T. Harris misses 2-pt shot from 1 ft,,100-97,,
2:32.0,,,100-97,,Defensive rebound by V. Oladipo
2:28.0,,,100-97,,V. Oladipo misses 2-pt shot from 1 ft
2:25.0,Defensive rebound by T. Harris,,100-97,,
2:07.0,I. Smith misses 2-pt shot from 10 ft,,100-97,,
2:07.0,Offensive rebound by Team,,100-97,,
2:07.0,,,100-97,,Loose ball foul by T. Young (drawn by A. Drummond)
2:07.0,R. Jackson enters the game for S. Johnson,,100-97,,
2:07.0,L. Galloway enters the game for I. Smith,,100-97,,
1:47.0,T. Harris misses 3-pt shot from 27 ft,,100-97,,
1:44.0,,,100-97,,Defensive rebound by L. Stephenson
1:34.0,,,100-97,,Shooting foul by R. Bullock (drawn by T. Young)
1:34.0,,,100-97,,T. Young misses free throw 1 of 2
1:34.0,,,100-97,,Offensive rebound by Team
1:34.0,,,100-98,1,T. Young makes free throw 2 of 2
1:16.0,R. Jackson misses 2-pt shot from 18 ft,,100-98,,
1:12.0,,,100-98,,Defensive rebound by T. Young
0:53.0,,,100-98,,L. Stephenson misses 3-pt shot from 23 ft
0:51.0,,,100-98,,Offensive rebound by M. Turner
0:43.0,,,100-98,,M. Turner misses 2-pt shot from 2 ft
0:41.0,Jump ball: M. Turner vs. T. Harris,,,,Jump ball: M. Turner vs. T. Harris
0:41.0,,,100-98,,Offensive rebound by M. Turner
0:41.0,,,100-98,,Indiana full timeout
0:28.0,,,100-98,,M. Turner misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by R. Jackson,,100-98,,
0:18.0,,,100-98,,Personal take foul by C. Joseph (drawn by R. Jackson)
0:18.0,R. Jackson makes free throw 1 of 2,1,101-98,,
0:18.0,S. Johnson enters the game for L. Galloway,,101-98,,
0:18.0,R. Jackson makes free throw 2 of 2,1,102-98,,
0:18.0,,,102-98,,Indiana full timeout
0:18.0,,,102-98,,B. Bogdanovic enters the game for L. Stephenson
0:18.0,A. Tolliver enters the game for T. Harris,,102-98,,
0:13.0,,,102-98,,V. Oladipo misses 3-pt shot from 25 ft (block by A. Drummond)
0:11.0,Defensive rebound by S. Johnson,,102-98,,
0:11.0,,,102-98,,Personal take foul by B. Bogdanovic (drawn by S. Johnson)
0:11.0,S. Johnson makes free throw 1 of 2,1,103-98,,
0:11.0,S. Johnson makes free throw 2 of 2,1,104-98,,
0:09.0,,,104-98,,C. Joseph misses 3-pt shot from 30 ft
0:04.0,Defensive rebound by R. Bullock,,104-98,,
