time,New Orleans,pts.away,score,pts.home,Boston
5:26.0,Personal foul by D. Cousins (drawn by T. Rozier),,95-95,,
5:26.0,,,95-95,,Boston full timeout
5:26.0,,,95-95,,A. Horford enters the game for M. Morris
5:26.0,D. Cunningham enters the game for D. Cousins,,95-95,,
5:26.0,E. Moore enters the game for R. Rondo,,95-95,,
5:13.0,,,95-95,,K. Irving misses 3-pt shot from 26 ft
5:08.0,,,95-95,,Offensive rebound by D. Theis
5:07.0,,,95-98,3,K. Irving makes 3-pt shot from 24 ft (assist by D. Theis)
4:43.0,I. Clark misses 2-pt shot from 8 ft,,95-98,,
4:40.0,,,95-98,,Defensive rebound by D. Theis
4:24.0,Jump ball: K. Irving vs. A. Davis (J. Holiday gains possession),,,,Jump ball: K. Irving vs. A. Davis (J. Holiday gains possession)
4:24.0,,,95-98,,Turnover by K. Irving (lost ball; steal by J. Holiday)
4:18.0,Shooting foul by T. Rozier (drawn by J. Holiday),,95-98,,
4:18.0,J. Holiday misses free throw 1 of 2,,95-98,,
4:18.0,Offensive rebound by Team,,95-98,,
4:18.0,,,95-98,,M. Smart enters the game for J. Brown
4:18.0,J. Holiday makes free throw 2 of 2,1,96-98,,
3:54.0,,,96-101,3,D. Theis makes 3-pt shot from 26 ft (assist by K. Irving)
3:45.0,New Orleans full timeout,,96-101,,
3:45.0,D. Cousins enters the game for D. Cunningham,,96-101,,
3:37.0,A. Davis misses 2-pt shot from 9 ft,,96-101,,
3:32.0,,,96-101,,Defensive rebound by K. Irving
3:13.0,,,96-101,,M. Smart misses 2-pt shot from 8 ft
3:11.0,Defensive rebound by D. Cousins,,96-101,,
2:52.0,E. Moore misses 3-pt shot from 22 ft,,96-101,,
2:50.0,,,96-101,,Defensive rebound by A. Horford
2:34.0,,,96-101,,K. Irving misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by D. Cousins,,96-101,,
2:23.0,,,96-101,,Personal foul by D. Theis (drawn by D. Cousins)
2:15.0,Turnover by J. Holiday (traveling),,96-101,,
1:53.0,,,96-101,,Turnover by K. Irving (lost ball; steal by J. Holiday)
1:50.0,I. Clark makes 2-pt shot from 1 ft,2,98-101,,
1:35.0,,,98-101,,Turnover by M. Smart (bad pass)
1:35.0,,,98-101,,J. Brown enters the game for T. Rozier
1:26.0,J. Holiday makes 3-pt shot from 24 ft,3,101-101,,
1:09.0,,,101-101,,K. Irving misses 3-pt shot from 28 ft
1:06.0,Defensive rebound by E. Moore,,101-101,,
1:01.0,Turnover by E. Moore (lost ball; steal by K. Irving),,101-101,,
1:00.0,,,101-101,,Shooting foul by J. Holiday (drawn by K. Irving)
1:00.0,,,101-101,,K. Irving misses free throw 1 of 2
1:00.0,,,101-101,,Offensive rebound by Team
1:00.0,,,101-102,1,K. Irving makes free throw 2 of 2
1:00.0,New Orleans full timeout,,101-102,,
0:54.0,,,101-102,,Personal foul by M. Smart (drawn by A. Davis)
0:54.0,A. Davis makes free throw 1 of 2,1,102-102,,
0:54.0,,,102-102,,J. Tatum enters the game for D. Theis
0:54.0,A. Davis makes free throw 2 of 2,1,103-102,,
0:39.0,,,103-102,,K. Irving misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by I. Clark,,103-102,,
0:36.0,Jump ball: M. Smart vs. I. Clark (A. Davis gains possession),,,,Jump ball: M. Smart vs. I. Clark (A. Davis gains possession)
0:20.0,,,103-102,,Personal foul by J. Tatum (drawn by A. Davis)
0:20.0,A. Davis misses free throw 1 of 2,,103-102,,
0:20.0,Offensive rebound by Team,,103-102,,
0:20.0,,,103-102,,A. Baynes enters the game for J. Tatum
0:20.0,D. Cunningham enters the game for D. Cousins,,103-102,,
0:20.0,A. Davis makes free throw 2 of 2,1,104-102,,
0:20.0,,,104-102,,Boston full timeout
0:20.0,,,104-102,,J. Tatum enters the game for A. Baynes
0:20.0,D. Cousins enters the game for E. Moore,,104-102,,
0:11.0,,,104-104,2,K. Irving makes 2-pt shot from 1 ft
0:11.0,New Orleans full timeout,,104-104,,
0:11.0,,,104-104,,D. Theis enters the game for J. Tatum
0:11.0,E. Moore enters the game for D. Cunningham,,104-104,,
0:01.0,,,104-104,,Violation by D. Theis (kicked ball)
0:01.0,,,104-104,,J. Tatum enters the game for K. Irving
0:01.0,R. Rondo enters the game for I. Clark,,104-104,,
0:00.0,D. Cousins misses 3-pt shot from 31 ft,,104-104,,
0:00.0,Offensive rebound by Team,,104-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: D. Theis vs. A. Davis (D. Cousins gains possession),,,,Jump ball: D. Theis vs. A. Davis (D. Cousins gains possession)
4:45.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,106-104,,
4:29.0,,,106-107,3,A. Horford makes 3-pt shot from 24 ft (assist by M. Smart)
4:18.0,D. Cousins makes 2-pt shot at rim,2,108-107,,
4:01.0,,,108-109,2,K. Irving makes 2-pt shot from 20 ft
3:44.0,D. Cousins misses 3-pt shot from 25 ft,,108-109,,
3:43.0,Offensive rebound by A. Davis,,108-109,,
3:43.0,A. Davis makes 2-pt shot at rim,2,110-109,,
3:26.0,,,110-109,,K. Irving misses 2-pt shot from 7 ft
3:25.0,Defensive rebound by A. Davis,,110-109,,
3:00.0,A. Davis misses 2-pt shot from 8 ft,,110-109,,
2:55.0,,,110-109,,Defensive rebound by A. Horford
2:42.0,,,110-109,,K. Irving misses 2-pt shot from 2 ft (block by J. Holiday)
2:40.0,,,110-109,,Offensive rebound by J. Brown
2:38.0,,,110-111,2,J. Brown makes 2-pt shot from 2 ft
2:26.0,Turnover by D. Cousins (traveling),,110-111,,
2:11.0,,,110-113,2,M. Smart makes 2-pt shot from 9 ft
1:52.0,D. Cousins makes 2-pt shot from 2 ft (assist by I. Clark),2,112-113,,
1:36.0,,,112-113,,M. Smart misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by E. Moore,,112-113,,
1:22.0,J. Holiday makes 2-pt shot from 11 ft,2,114-113,,
1:22.0,,,114-113,,Boston full timeout
1:22.0,,,114-113,,M. Morris enters the game for D. Theis
1:22.0,,,114-113,,J. Tatum enters the game for M. Smart
1:11.0,,,114-113,,Turnover by J. Brown (bad pass; steal by D. Cousins)
0:53.0,J. Holiday makes 2-pt shot from 12 ft,2,116-113,,
0:40.0,,,116-113,,M. Morris misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by I. Clark,,116-113,,
0:15.0,D. Cousins misses 2-pt shot from 11 ft,,116-113,,
0:12.0,,,116-113,,Defensive rebound by M. Morris
0:05.0,,,116-113,,K. Irving misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by Team,,116-113,,
0:03.0,New Orleans full timeout,,116-113,,
0:03.0,,,116-113,,T. Rozier enters the game for K. Irving
0:03.0,,,116-113,,M. Smart enters the game for M. Morris
0:03.0,R. Rondo enters the game for I. Clark,,116-113,,
0:01.0,,,116-113,,Personal take foul by J. Brown (drawn by J. Holiday)
0:01.0,New Orleans full timeout,,116-113,,
