time,LA Lakers,pts.away,score,pts.home,Chicago
6:18.0,J. Randle enters the game for A. Caruso,,90-88,,
6:18.0,B. Ingram enters the game for L. Nance,,90-88,,
6:18.0,,,90-89,1,J. Holiday makes free throw 2 of 2
6:00.0,J. Hart misses 3-pt shot from 25 ft,,90-89,,
5:56.0,,,90-89,,Defensive rebound by D. Valentine
5:38.0,,,90-92,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Grant)
5:24.0,,,90-92,,Personal foul by D. Valentine (drawn by J. Clarkson)
5:18.0,B. Ingram misses 2-pt shot from 19 ft,,90-92,,
5:14.0,,,90-92,,Defensive rebound by B. Portis
5:00.0,,,90-92,,N. Mirotic misses 3-pt shot from 27 ft
4:53.0,,,90-92,,Offensive rebound by B. Portis
4:53.0,,,90-92,,B. Portis misses 2-pt shot at rim
4:52.0,Defensive rebound by K. Kuzma,,90-92,,
4:45.0,K. Kuzma misses 2-pt shot from 6 ft (block by N. Mirotic),,90-92,,
4:41.0,,,90-92,,Defensive rebound by N. Mirotic
4:39.0,,,90-92,,Turnover by N. Mirotic (bad pass; steal by B. Ingram)
4:36.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Hart),2,92-92,,
4:36.0,Shooting foul by J. Grant (drawn by B. Ingram),,92-92,,
4:36.0,,,92-92,,L. Markkanen enters the game for B. Portis
4:36.0,L. Nance enters the game for K. Kuzma,,92-92,,
4:36.0,B. Ingram misses free throw 1 of 1,,92-92,,
4:33.0,,,92-92,,Defensive rebound by D. Valentine
4:16.0,Personal foul by L. Nance (drawn by N. Mirotic),,92-92,,
4:11.0,,,92-95,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Grant)
3:53.0,J. Clarkson misses 2-pt shot from 10 ft,,92-95,,
3:50.0,,,92-95,,Defensive rebound by L. Markkanen
3:50.0,Personal foul by J. Randle (drawn by L. Markkanen),,92-95,,
3:39.0,,,92-95,,L. Markkanen misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by B. Ingram,,92-95,,
3:18.0,Shooting foul by N. Mirotic (drawn by B. Ingram),,92-95,,
3:18.0,B. Ingram makes free throw 1 of 2,1,93-95,,
3:18.0,B. Ingram makes free throw 2 of 2,1,94-95,,
3:10.0,,,94-95,,N. Mirotic misses 3-pt shot from 28 ft
3:06.0,Defensive rebound by J. Randle,,94-95,,
2:59.0,B. Ingram makes 2-pt shot from 1 ft,2,96-95,,
2:59.0,,,96-95,,Chicago full timeout
2:59.0,,,96-95,,Z. LaVine enters the game for J. Grant
2:46.0,,,96-95,,Shooting foul by B. Ingram (drawn by N. Mirotic)
2:46.0,,,96-96,1,N. Mirotic makes free throw 1 of 2
2:46.0,,,96-97,1,N. Mirotic makes free throw 2 of 2
2:22.0,J. Clarkson misses 2-pt shot from 6 ft,,96-97,,
2:22.0,,,96-97,,Defensive rebound by D. Valentine
2:07.0,,,96-97,,Turnover by L. Markkanen (lost ball; steal by J. Randle)
2:03.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,98-97,,
2:03.0,Shooting foul by Z. LaVine (drawn by J. Randle),,98-97,,
2:03.0,J. Randle makes free throw 1 of 1,1,99-97,,
1:37.0,,,99-97,,L. Markkanen misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by B. Ingram,,99-97,,
1:24.0,B. Ingram makes 2-pt shot from 22 ft,2,101-97,,
1:14.0,,,101-97,,Shooting foul by B. Ingram (drawn by Z. LaVine)
1:14.0,,,101-97,,Z. LaVine misses free throw 1 of 2
1:14.0,,,101-97,,Offensive rebound by Team
1:14.0,,,101-97,,Z. LaVine misses free throw 2 of 2
1:11.0,Defensive rebound by J. Clarkson,,101-97,,
0:48.0,B. Ingram misses 2-pt shot from 8 ft,,101-97,,
0:45.0,,,101-97,,Defensive rebound by Z. LaVine
0:38.0,,,101-97,,Z. LaVine misses 2-pt shot from 3 ft
0:33.0,,,101-97,,Offensive rebound by L. Markkanen
0:33.0,,,101-97,,L. Markkanen misses 2-pt shot at rim
0:33.0,Defensive rebound by L. Nance,,101-97,,
0:32.0,,,101-97,,Personal foul by J. Holiday (drawn by B. Ingram)
0:32.0,B. Ingram makes free throw 1 of 2,1,102-97,,
0:32.0,,,102-97,,B. Portis enters the game for D. Valentine
0:32.0,B. Ingram makes free throw 2 of 2,1,103-97,,
0:32.0,,,103-97,,Chicago full timeout
0:32.0,,,103-97,,D. Valentine enters the game for B. Portis
0:23.0,,,103-97,,L. Markkanen misses 2-pt shot from 9 ft
0:21.0,Defensive rebound by L. Nance,,103-97,,
0:21.0,,,103-97,,Personal take foul by Z. LaVine (drawn by J. Clarkson)
0:21.0,J. Clarkson makes free throw 1 of 2,1,104-97,,
0:21.0,J. Clarkson makes free throw 2 of 2,1,105-97,,
0:13.0,,,105-100,3,L. Markkanen makes 3-pt shot from 23 ft (assist by N. Mirotic)
0:09.0,,,105-100,,Personal foul by Z. LaVine (drawn by J. Clarkson)
0:09.0,J. Clarkson makes free throw 1 of 2,1,106-100,,
0:09.0,J. Clarkson makes free throw 2 of 2,1,107-100,,
0:09.0,,,107-100,,Chicago full timeout
0:05.0,,,107-103,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Valentine)
0:04.0,,,107-103,,Personal foul by D. Valentine (drawn by J. Hart)
0:04.0,J. Hart misses free throw 1 of 2,,107-103,,
0:04.0,Offensive rebound by Team,,107-103,,
0:04.0,J. Hart makes free throw 2 of 2,1,108-103,,
0:01.0,,,108-103,,Z. LaVine misses 3-pt shot from 27 ft
0:01.0,,,108-103,,Offensive rebound by Team
