time,Detroit,pts.away,score,pts.home,Utah
4:10.0,,,65-104,,E. McCree enters the game for R. O'Neale
3:54.0,H. Ellenson misses 2-pt shot from 18 ft,,65-104,,
3:54.0,Offensive rebound by Team,,65-104,,
3:54.0,Turnover by Team (shot clock),,65-104,,
3:44.0,,,65-104,,E. McCree misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by L. Kennard,,65-104,,
3:24.0,Shooting foul by E. Udoh (drawn by H. Ellenson),,65-104,,
3:24.0,H. Ellenson makes free throw 1 of 2,1,66-104,,
3:24.0,H. Ellenson makes free throw 2 of 2,1,67-104,,
3:08.0,,,67-104,,A. Burks misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by L. Kennard,,67-104,,
2:57.0,L. Kennard makes 2-pt shot from 1 ft,2,69-104,,
2:57.0,Shooting foul by G. Niang (drawn by L. Kennard),,69-104,,
2:57.0,Detroit full timeout,,69-104,,
2:57.0,L. Kennard makes free throw 1 of 1,1,70-104,,
2:45.0,,,70-104,,Turnover by J. Jerebko (lost ball; steal by E. Moreland)
2:32.0,Turnover by H. Ellenson (bad pass; steal by A. Burks),,70-104,,
2:21.0,,,70-106,2,G. Niang makes 2-pt shot from 6 ft
1:58.0,H. Ellenson misses 3-pt shot from 25 ft,,70-106,,
1:54.0,,,70-106,,Defensive rebound by E. McCree
1:44.0,,,70-106,,J. Jerebko misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by H. Ellenson,,70-106,,
1:25.0,Turnover by E. Moreland (lost ball; steal by E. McCree),,70-106,,
1:21.0,,,70-108,2,A. Burks makes 2-pt shot from 2 ft (assist by G. Niang)
1:06.0,L. Galloway makes 3-pt shot from 24 ft (assist by E. Moreland),3,73-108,,
0:57.0,,,73-108,,Turnover by E. McCree (lost ball; steal by L. Kennard)
0:55.0,L. Kennard makes 2-pt shot from 2 ft,2,75-108,,
0:46.0,,,75-108,,Turnover by G. Niang (bad pass; steal by L. Galloway)
0:44.0,,,75-108,,Personal foul by J. Jerebko (drawn by H. Ellenson)
0:44.0,H. Ellenson makes free throw 1 of 2,1,76-108,,
0:44.0,H. Ellenson makes free throw 2 of 2,1,77-108,,
0:33.0,,,77-110,2,G. Niang makes 2-pt shot from 6 ft
0:08.0,L. Kennard makes 2-pt shot from 2 ft,2,79-110,,
