time,San Antonio,pts.away,score,pts.home,Chicago
3:53.0,,,59-51,,J. Holiday misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by M. Ginobili,,59-51,,
3:40.0,R. Gay makes 2-pt shot from 2 ft,2,61-51,,
3:22.0,,,61-51,,J. Holiday misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by D. Green,,61-51,,
3:17.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills),2,63-51,,
3:17.0,,,63-51,,Chicago full timeout
2:59.0,,,63-51,,J. Holiday misses 2-pt shot from 1 ft
2:59.0,,,63-51,,Offensive rebound by Team
2:59.0,B. Forbes enters the game for D. Green,,63-51,,
2:53.0,,,63-53,2,D. Valentine makes 2-pt shot from 3 ft (assist by K. Felder)
2:29.0,M. Ginobili misses 3-pt shot from 23 ft,,63-53,,
2:24.0,,,63-53,,Defensive rebound by C. Felicio
2:20.0,,,63-55,2,K. Felder makes 2-pt shot from 20 ft
2:18.0,San Antonio full timeout,,63-55,,
2:18.0,J. Lauvergne enters the game for L. Aldridge,,63-55,,
2:03.0,B. Forbes misses 3-pt shot from 25 ft,,63-55,,
2:03.0,Offensive rebound by Team,,63-55,,
2:03.0,,,63-55,,Loose ball foul by C. Felicio (drawn by J. Lauvergne)
1:56.0,B. Forbes misses 2-pt shot from 17 ft,,63-55,,
1:50.0,Offensive rebound by B. Forbes,,63-55,,
1:40.0,R. Gay makes 2-pt shot from 1 ft (assist by M. Ginobili),2,65-55,,
1:24.0,,,65-55,,K. Felder misses 2-pt shot from 20 ft
1:19.0,Defensive rebound by J. Lauvergne,,65-55,,
1:13.0,,,65-55,,Personal foul by K. Felder (drawn by P. Mills)
1:05.0,P. Mills misses 2-pt shot from 2 ft,,65-55,,
1:00.0,Offensive rebound by R. Gay,,65-55,,
1:00.0,R. Gay misses 2-pt shot at rim,,65-55,,
0:59.0,,,65-55,,Defensive rebound by P. Zipser
0:59.0,,,65-55,,D. Valentine misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by J. Lauvergne,,65-55,,
0:34.0,R. Gay misses 2-pt shot from 2 ft,,65-55,,
0:31.0,,,65-55,,Defensive rebound by C. Felicio
0:23.0,Personal foul by P. Mills (drawn by K. Felder),,65-55,,
0:23.0,D. Murray enters the game for P. Mills,,65-55,,
0:09.0,,,65-55,,Turnover by K. Felder (lost ball; steal by R. Gay)
0:03.0,R. Gay misses 2-pt shot from 2 ft,,65-55,,
0:01.0,,,65-55,,Defensive rebound by D. Valentine
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-55,,L. Markkanen misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by Team,,65-55,,
11:32.0,D. Murray makes 2-pt shot from 1 ft,2,67-55,,
11:10.0,Personal foul by M. Ginobili (drawn by D. Nwaba),,67-55,,
11:03.0,,,67-55,,K. Felder misses 2-pt shot from 9 ft
11:00.0,Defensive rebound by D. Murray,,67-55,,
10:39.0,M. Ginobili makes 2-pt shot from 10 ft (assist by R. Gay),2,69-55,,
10:18.0,,,69-55,,L. Markkanen misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by J. Lauvergne,,69-55,,
10:01.0,J. Lauvergne makes 2-pt shot from 7 ft (assist by D. Murray),2,71-55,,
10:01.0,,,71-55,,Chicago full timeout
10:01.0,,,71-55,,J. Grant enters the game for K. Felder
10:01.0,K. Anderson enters the game for R. Gay,,71-55,,
9:40.0,,,71-55,,J. Grant misses 2-pt shot from 5 ft
9:35.0,,,71-55,,Offensive rebound by C. Felicio
9:35.0,,,71-55,,C. Felicio misses 2-pt shot at rim
9:34.0,Defensive rebound by B. Forbes,,71-55,,
9:27.0,B. Forbes misses 2-pt shot from 8 ft (block by D. Nwaba),,71-55,,
9:27.0,,,71-55,,Defensive rebound by D. Nwaba
9:27.0,Personal foul by M. Ginobili (drawn by D. Nwaba),,71-55,,
9:12.0,,,71-55,,J. Grant misses 2-pt shot from 2 ft
9:07.0,,,71-55,,Offensive rebound by C. Felicio
9:07.0,,,71-57,2,C. Felicio makes 2-pt shot at rim
8:55.0,M. Ginobili misses 3-pt shot from 26 ft,,71-57,,
8:52.0,,,71-57,,Defensive rebound by D. Nwaba
8:33.0,,,71-57,,Turnover by D. Nwaba (bad pass)
8:33.0,L. Aldridge enters the game for J. Lauvergne,,71-57,,
8:12.0,D. Murray makes 2-pt shot from 20 ft,2,73-57,,
7:59.0,Personal foul by B. Forbes (drawn by J. Grant),,73-57,,
7:59.0,D. Green enters the game for M. Ginobili,,73-57,,
7:45.0,,,73-57,,J. Grant misses 2-pt shot from 6 ft
7:45.0,,,73-57,,Offensive rebound by Team
7:45.0,,,73-57,,Turnover by Team (shot clock)
7:37.0,Personal foul by L. Aldridge (drawn by J. Grant),,73-57,,
7:37.0,Turnover by L. Aldridge (turnover),,73-57,,
7:17.0,,,73-57,,J. Grant misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by D. Green,,73-57,,
7:04.0,Shooting foul by C. Felicio (drawn by L. Aldridge),,73-57,,
7:04.0,L. Aldridge makes free throw 1 of 2,1,74-57,,
7:04.0,L. Aldridge makes free throw 2 of 2,1,75-57,,
6:51.0,,,75-59,2,L. Markkanen makes 2-pt shot at rim (assist by D. Nwaba)
6:51.0,,,75-59,,Shooting foul by L. Aldridge (drawn by L. Markkanen)
6:51.0,,,75-59,,L. Markkanen misses free throw 1 of 1
6:48.0,Defensive rebound by K. Anderson,,75-59,,
6:32.0,K. Anderson misses 2-pt shot from 1 ft,,75-59,,
6:29.0,Offensive rebound by K. Anderson,,75-59,,
6:29.0,K. Anderson misses 2-pt shot at rim,,75-59,,
6:29.0,,,75-59,,Defensive rebound by J. Grant
6:29.0,,,75-61,2,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Felicio)
6:29.0,,,75-61,,Shooting foul by D. Green (drawn by D. Nwaba)
6:29.0,,,75-61,,J. Holiday enters the game for D. Valentine
6:29.0,,,75-62,1,D. Nwaba makes free throw 1 of 1
6:12.0,D. Murray misses 2-pt shot from 15 ft,,75-62,,
6:08.0,Offensive rebound by L. Aldridge,,75-62,,
6:00.0,B. Forbes makes 2-pt shot from 10 ft (assist by D. Green),2,77-62,,
5:40.0,,,77-62,,L. Markkanen misses 2-pt shot from 2 ft
5:40.0,Defensive rebound by D. Murray,,77-62,,
5:17.0,L. Aldridge misses 3-pt shot from 25 ft,,77-62,,
5:17.0,,,77-62,,Defensive rebound by L. Markkanen
5:00.0,,,77-62,,Shooting foul by B. Forbes (drawn by J. Holiday)
5:00.0,,,77-63,1,J. Holiday makes free throw 1 of 2
5:00.0,,,77-63,,R. Lopez enters the game for C. Felicio
5:00.0,R. Gay enters the game for B. Forbes,,77-63,,
5:00.0,P. Mills enters the game for D. Murray,,77-63,,
5:00.0,,,77-64,1,J. Holiday makes free throw 2 of 2
4:38.0,D. Green makes 2-pt shot from 20 ft,2,79-64,,
4:21.0,,,79-64,,R. Lopez misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by L. Aldridge,,79-64,,
4:02.0,L. Aldridge makes 2-pt shot from 5 ft (assist by P. Mills),2,81-64,,
3:58.0,,,81-64,,J. Grant misses 2-pt shot from 1 ft (block by L. Aldridge)
3:58.0,,,81-64,,Offensive rebound by Team
3:55.0,,,81-64,,Turnover by J. Grant (bad pass)
3:34.0,D. Green makes 2-pt shot from 1 ft (assist by L. Aldridge),2,83-64,,
3:22.0,,,83-64,,Shooting foul by R. Gay (drawn by D. Nwaba)
3:22.0,,,83-65,1,D. Nwaba makes free throw 1 of 2
3:22.0,J. Lauvergne enters the game for L. Aldridge,,83-65,,
3:22.0,,,83-66,1,D. Nwaba makes free throw 2 of 2
3:04.0,R. Gay misses 3-pt shot from 22 ft,,83-66,,
3:00.0,,,83-66,,Defensive rebound by J. Grant
2:57.0,,,83-68,2,J. Grant makes 2-pt shot from 2 ft
2:57.0,San Antonio full timeout,,83-68,,
2:45.0,R. Gay makes 2-pt shot from 17 ft,2,85-68,,
2:29.0,,,85-71,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez)
