time,Brooklyn,pts.away,score,pts.home,New Orleans
4:39.0,,,92-116,2,E. Moore makes 2-pt shot from 12 ft (assist by R. Rondo)
4:24.0,Turnover by C. LeVert (bad pass; steal by R. Rondo),,92-116,,
4:18.0,,,92-118,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
3:59.0,,,92-118,,Away from play foul by R. Rondo (drawn by C. LeVert)
3:59.0,C. LeVert misses free throw 1 of 1,,92-118,,
3:59.0,Offensive rebound by Team,,92-118,,
3:49.0,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Doyle),2,94-118,,
3:38.0,,,94-118,,E. Moore misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by C. LeVert,,94-118,,
3:23.0,Q. Acy makes 2-pt shot from 19 ft (assist by C. LeVert),2,96-118,,
3:14.0,,,96-121,3,I. Clark makes 3-pt shot from 25 ft (assist by R. Rondo)
3:13.0,,,96-121,,Personal foul by C. Diallo (drawn by T. Mozgov)
3:06.0,Turnover by C. LeVert (lost ball; steal by D. Cunningham),,96-121,,
2:51.0,,,96-123,2,C. Diallo makes 2-pt shot from 10 ft (assist by R. Rondo)
2:42.0,C. LeVert makes 3-pt shot from 26 ft (assist by N. Stauskas),3,99-123,,
2:42.0,Shooting foul by R. Rondo (drawn by C. LeVert),,99-123,,
2:42.0,C. LeVert makes free throw 1 of 1,1,100-123,,
2:30.0,,,100-123,,E. Moore misses 2-pt shot from 11 ft
2:25.0,Defensive rebound by N. Stauskas,,100-123,,
2:20.0,N. Stauskas misses 2-pt shot from 1 ft,,100-123,,
2:20.0,,,100-123,,Defensive rebound by Team
2:06.0,,,100-123,,Turnover by E. Moore (bad pass; steal by M. Doyle)
2:00.0,M. Doyle makes 2-pt shot from 6 ft,2,102-123,,
1:45.0,,,102-123,,C. Diallo misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by M. Doyle,,102-123,,
1:39.0,,,102-123,,J. Nelson enters the game for R. Rondo
1:34.0,N. Stauskas makes 3-pt shot from 25 ft (assist by C. LeVert),3,105-123,,
1:23.0,,,105-125,2,I. Clark makes 2-pt shot from 10 ft (assist by C. Diallo)
1:06.0,T. Mozgov makes 2-pt shot from 6 ft,2,107-125,,
0:59.0,,,107-125,,C. Diallo misses 2-pt shot from 14 ft
0:55.0,Defensive rebound by Q. Acy,,107-125,,
0:38.0,N. Stauskas makes 3-pt shot from 23 ft (assist by T. Mozgov),3,110-125,,
0:20.0,,,110-128,3,I. Clark makes 3-pt shot from 26 ft
0:09.0,M. Doyle makes 3-pt shot from 25 ft (assist by T. Mozgov),3,113-128,,
