time,San Antonio,pts.away,score,pts.home,Orlando
4:52.0,R. Gay enters the game for P. Gasol,,76-106,,
4:52.0,B. Paul makes free throw 2 of 2,1,77-106,,
4:38.0,,,77-106,,M. Hezonja misses 2-pt shot from 15 ft
4:38.0,Defensive rebound by R. Gay,,77-106,,
4:28.0,D. Bertans makes 2-pt shot from 10 ft (assist by D. Murray),2,79-106,,
4:28.0,Shooting foul by M. Speights (drawn by D. Bertans),,79-106,,
4:28.0,D. Bertans makes free throw 1 of 1,1,80-106,,
4:16.0,,,80-106,,A. Afflalo misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by D. Murray,,80-106,,
4:06.0,D. Murray misses 2-pt shot from 2 ft,,80-106,,
4:04.0,,,80-106,,Defensive rebound by M. Speights
3:49.0,,,80-108,2,W. Iwundu makes 2-pt shot from 14 ft
3:33.0,R. Gay misses 2-pt shot from 22 ft,,80-108,,
3:30.0,,,80-108,,Defensive rebound by M. Hezonja
3:23.0,,,80-110,2,M. Hezonja makes 2-pt shot from 1 ft
3:10.0,R. Gay misses 3-pt shot from 22 ft,,80-110,,
3:07.0,,,80-110,,Defensive rebound by W. Iwundu
2:47.0,,,80-110,,Turnover by W. Iwundu (step out of bounds)
2:31.0,D. Bertans misses 3-pt shot from 26 ft,,80-110,,
2:27.0,,,80-110,,Defensive rebound by M. Hezonja
2:26.0,,,80-110,,Offensive charge foul by M. Hezonja (drawn by D. White)
2:26.0,,,80-110,,Turnover by M. Hezonja (offensive foul)
2:01.0,D. Bertans misses 2-pt shot from 21 ft,,80-110,,
1:53.0,Offensive rebound by D. Murray,,80-110,,
1:52.0,D. Murray makes 2-pt shot from 21 ft,2,82-110,,
1:35.0,,,82-112,2,S. Mack makes 2-pt shot from 2 ft
1:23.0,Turnover by R. Gay (bad pass; steal by W. Iwundu),,82-112,,
1:20.0,,,82-114,2,W. Iwundu makes 2-pt shot from 1 ft
1:10.0,Shooting foul by W. Iwundu (drawn by D. Murray),,82-114,,
1:10.0,D. Murray misses free throw 1 of 2,,82-114,,
1:10.0,Offensive rebound by Team,,82-114,,
1:10.0,D. Murray makes free throw 2 of 2,1,83-114,,
0:50.0,,,83-114,,W. Iwundu misses 2-pt shot from 8 ft (block by R. Gay)
0:47.0,Defensive rebound by D. White,,83-114,,
0:45.0,Shooting foul by A. Afflalo (drawn by D. Murray),,83-114,,
0:45.0,D. Murray makes free throw 1 of 2,1,84-114,,
0:45.0,D. Murray makes free throw 2 of 2,1,85-114,,
0:26.0,,,85-114,,Turnover by W. Iwundu (lost ball; steal by D. Murray)
0:24.0,D. Murray makes 2-pt shot from 2 ft,2,87-114,,
0:00.0,,,87-114,,Turnover by Team (shot clock)
