time,Toronto,pts.away,score,pts.home,Minnesota
5:40.0,K. Lowry makes 3-pt shot from 28 ft (assist by J. Valanciunas),3,97-102,,
5:16.0,,,97-102,,A. Wiggins misses 3-pt shot from 27 ft
5:12.0,Defensive rebound by J. Valanciunas,,97-102,,
5:05.0,Shooting foul by K. Towns (drawn by D. DeRozan),,97-102,,
5:05.0,D. DeRozan makes free throw 1 of 2,1,98-102,,
5:05.0,D. DeRozan makes free throw 2 of 2,1,99-102,,
4:52.0,,,99-102,,Turnover by T. Jones (lost ball; steal by D. Wright)
4:49.0,Shooting foul by M. Georges-Hunt (drawn by D. Wright),,99-102,,
4:49.0,D. Wright makes free throw 1 of 2,1,100-102,,
4:49.0,,,100-102,,J. Teague enters the game for T. Jones
4:49.0,D. Wright makes free throw 2 of 2,1,101-102,,
4:31.0,,,101-102,,Turnover by A. Wiggins (bad pass; steal by D. DeRozan)
4:27.0,S. Ibaka misses 3-pt shot from 25 ft,,101-102,,
4:23.0,,,101-102,,Defensive rebound by T. Gibson
4:05.0,,,101-102,,J. Teague misses 2-pt shot from 12 ft
4:04.0,Defensive rebound by J. Valanciunas,,101-102,,
3:55.0,K. Lowry makes 2-pt shot from 14 ft,2,103-102,,
3:54.0,,,103-102,,Minnesota full timeout
3:36.0,,,103-104,2,J. Teague makes 2-pt shot from 14 ft
3:12.0,D. DeRozan makes 3-pt shot from 24 ft (assist by D. Wright),3,106-104,,
2:47.0,,,106-104,,A. Wiggins misses 2-pt shot from 13 ft
2:44.0,,,106-104,,Offensive rebound by M. Georges-Hunt
2:25.0,,,106-107,3,A. Wiggins makes 3-pt shot from 25 ft
2:00.0,J. Valanciunas misses 2-pt shot from 3 ft (block by T. Gibson),,106-107,,
2:00.0,,,106-107,,Defensive rebound by Team
1:43.0,,,106-110,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
1:23.0,Shooting foul by K. Towns (drawn by K. Lowry),,106-110,,
1:23.0,K. Lowry makes free throw 1 of 2,1,107-110,,
1:23.0,K. Lowry makes free throw 2 of 2,1,108-110,,
1:23.0,,,108-110,,Minnesota full timeout
1:07.0,,,108-110,,Shooting foul by K. Lowry (drawn by M. Georges-Hunt)
1:07.0,,,108-110,,M. Georges-Hunt misses free throw 1 of 2
1:07.0,,,108-110,,Offensive rebound by Team
1:07.0,,,108-111,1,M. Georges-Hunt makes free throw 2 of 2
0:55.0,K. Lowry misses 2-pt shot from 15 ft,,108-111,,
0:51.0,,,108-111,,Defensive rebound by A. Wiggins
0:29.0,,,108-111,,M. Georges-Hunt misses 2-pt shot from 20 ft
0:27.0,,,108-111,,Offensive rebound by A. Wiggins
0:24.0,Personal foul by K. Lowry (drawn by M. Georges-Hunt),,108-111,,
0:24.0,,,108-112,1,M. Georges-Hunt makes free throw 1 of 2
0:24.0,,,108-113,1,M. Georges-Hunt makes free throw 2 of 2
0:24.0,Toronto full timeout,,108-113,,
0:24.0,C. Miles enters the game for D. Wright,,108-113,,
0:22.0,Offensive charge foul by D. DeRozan (drawn by M. Georges-Hunt),,108-113,,
0:22.0,Turnover by D. DeRozan (offensive foul),,108-113,,
0:22.0,D. Wright enters the game for J. Valanciunas,,108-113,,
0:22.0,P. Siakam enters the game for C. Miles,,108-113,,
0:22.0,,,108-113,,N. Bjelica enters the game for T. Gibson
0:15.0,Personal take foul by D. Wright (drawn by M. Georges-Hunt),,108-113,,
0:15.0,,,108-113,,M. Georges-Hunt misses free throw 1 of 2
0:15.0,,,108-113,,Offensive rebound by Team
0:15.0,,,108-113,,T. Gibson enters the game for N. Bjelica
0:15.0,C. Miles enters the game for P. Siakam,,108-113,,
0:15.0,,,108-114,1,M. Georges-Hunt makes free throw 2 of 2
0:09.0,S. Ibaka misses 3-pt shot from 27 ft,,108-114,,
0:08.0,Offensive rebound by Team,,108-114,,
0:08.0,,,108-114,,Loose ball foul by J. Teague (drawn by K. Lowry)
0:08.0,K. Lowry misses free throw 1 of 2,,108-114,,
0:08.0,Offensive rebound by Team,,108-114,,
0:08.0,,,108-114,,T. Jones enters the game for M. Georges-Hunt
0:08.0,P. Siakam enters the game for C. Miles,,108-114,,
0:08.0,K. Lowry makes free throw 2 of 2,1,109-114,,
0:07.0,Personal take foul by P. Siakam (drawn by J. Teague),,109-114,,
0:07.0,,,109-114,,J. Teague misses free throw 1 of 2
0:07.0,,,109-114,,Offensive rebound by Team
0:07.0,,,109-114,,M. Georges-Hunt enters the game for T. Jones
0:07.0,,,109-115,1,J. Teague makes free throw 2 of 2
0:07.0,Toronto full timeout,,109-115,,
0:07.0,C. Miles enters the game for P. Siakam,,109-115,,
0:07.0,J. Valanciunas enters the game for D. Wright,,109-115,,
0:04.0,K. Lowry misses 3-pt shot from 25 ft,,109-115,,
0:04.0,,,109-115,,Defensive rebound by K. Towns
