time,Chicago,pts.away,score,pts.home,Houston
3:29.0,R. Arcidiacono misses 3-pt shot from 26 ft,,76-111,,
3:25.0,,,76-111,,Defensive rebound by G. Green
3:18.0,,,76-113,2,T. Black makes 2-pt shot at rim (assist by G. Green)
3:18.0,,,76-113,,Shooting foul by N. Vonleh (drawn by T. Black)
3:18.0,,,76-113,,T. Black misses free throw 1 of 1
3:18.0,Defensive rebound by N. Vonleh,,76-113,,
3:04.0,D. Valentine makes 2-pt shot from 8 ft,2,78-113,,
2:47.0,,,78-115,2,J. Johnson makes 2-pt shot from 11 ft
2:32.0,D. Valentine misses 2-pt shot from 22 ft,,78-115,,
2:28.0,Offensive rebound by S. Kilpatrick,,78-115,,
2:22.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by N. Vonleh),2,80-115,,
2:07.0,,,80-117,2,J. Johnson makes 2-pt shot from 8 ft
1:56.0,D. Valentine misses 3-pt shot from 23 ft,,80-117,,
1:53.0,,,80-117,,Defensive rebound by T. Black
1:43.0,,,80-117,,Turnover by Z. Qi (lost ball; steal by D. Valentine)
1:39.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by D. Valentine),2,82-117,,
1:17.0,,,82-117,,J. Johnson misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by N. Vonleh,,82-117,,
1:10.0,D. Valentine misses 3-pt shot from 23 ft,,82-117,,
1:07.0,,,82-117,,Defensive rebound by G. Green
0:57.0,,,82-117,,Shooting foul by D. Valentine (drawn by T. Black)
0:57.0,Chicago full timeout,,82-117,,
0:57.0,,,82-117,,T. Black misses free throw 1 of 2
0:57.0,,,82-117,,Offensive rebound by Team
0:57.0,,,82-118,1,T. Black makes free throw 2 of 2
0:46.0,D. Valentine makes 2-pt shot at rim (assist by R. Arcidiacono),2,84-118,,
0:32.0,,,84-118,,Z. Qi misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by D. Valentine,,84-118,,
0:23.0,S. Kilpatrick misses 2-pt shot from 1 ft,,84-118,,
0:22.0,Offensive rebound by N. Vonleh,,84-118,,
0:22.0,N. Vonleh misses 2-pt shot from 1 ft,,84-118,,
0:22.0,Offensive rebound by N. Vonleh,,84-118,,
0:22.0,N. Vonleh makes 2-pt shot from 1 ft,2,86-118,,
0:22.0,Shooting foul by Z. Qi (drawn by N. Vonleh),,86-118,,
0:22.0,N. Vonleh misses free throw 1 of 1,,86-118,,
0:22.0,,,86-118,,Defensive rebound by G. Green
