time,Memphis,pts.away,score,pts.home,Detroit
3:55.0,,,96-96,,S. Johnson misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by M. Gasol,,96-96,,
3:48.0,D. Brooks misses 2-pt shot from 4 ft (block by B. Griffin),,96-96,,
3:44.0,,,96-96,,Defensive rebound by I. Smith
3:35.0,,,96-96,,Shooting foul by M. Henry (drawn by B. Griffin)
3:35.0,,,96-97,1,B. Griffin makes free throw 1 of 2
3:35.0,J. Green enters the game for J. Martin,,96-97,,
3:35.0,A. Harrison enters the game for W. Selden,,96-97,,
3:35.0,,,96-98,1,B. Griffin makes free throw 2 of 2
3:17.0,,,96-98,,Personal foul by B. Griffin (drawn by D. Brooks)
3:09.0,Shooting foul by I. Smith (drawn by M. Gasol),,96-98,,
3:09.0,M. Gasol makes free throw 1 of 2,1,97-98,,
3:09.0,W. Selden enters the game for M. Henry,,97-98,,
3:09.0,M. Gasol makes free throw 2 of 2,1,98-98,,
3:09.0,,,98-98,,A. Tolliver enters the game for A. Drummond
2:54.0,,,98-98,,S. Johnson misses 3-pt shot from 23 ft
2:49.0,Defensive rebound by J. Green,,98-98,,
2:35.0,A. Harrison misses 3-pt shot from 25 ft,,98-98,,
2:32.0,,,98-98,,Defensive rebound by R. Bullock
2:23.0,,,98-98,,B. Griffin misses 2-pt shot from 3 ft
2:22.0,Defensive rebound by M. Gasol,,98-98,,
2:09.0,,,98-98,,Personal foul by B. Griffin (drawn by A. Harrison)
2:09.0,A. Harrison makes free throw 1 of 2,1,99-98,,
2:09.0,A. Harrison makes free throw 2 of 2,1,100-98,,
1:49.0,,,100-101,3,A. Tolliver makes 3-pt shot from 23 ft (assist by B. Griffin)
1:24.0,M. Gasol misses 2-pt shot from 9 ft,,100-101,,
1:24.0,Offensive rebound by Team,,100-101,,
1:24.0,Turnover by Team (shot clock),,100-101,,
1:09.0,,,100-101,,R. Bullock misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by J. Green,,100-101,,
0:50.0,M. Gasol misses 3-pt shot from 29 ft,,100-101,,
0:47.0,,,100-101,,Defensive rebound by I. Smith
0:25.0,,,100-101,,A. Tolliver misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by A. Harrison,,100-101,,
0:20.0,Memphis full timeout,,100-101,,
0:15.0,M. Gasol misses 2-pt shot from 8 ft,,100-101,,
0:10.0,Offensive rebound by J. Green,,100-101,,
0:10.0,J. Green misses 2-pt shot at rim,,100-101,,
0:10.0,,,100-101,,Defensive rebound by Team
0:07.0,Jump ball: A. Tolliver vs. D. Brooks (R. Bullock gains possession),,,,Jump ball: A. Tolliver vs. D. Brooks (R. Bullock gains possession)
0:07.0,Personal foul by J. Green (drawn by R. Bullock),,100-101,,
0:07.0,,,100-101,,Detroit full timeout
0:07.0,,,100-101,,L. Kennard enters the game for S. Johnson
0:07.0,J. Martin enters the game for A. Harrison,,100-101,,
0:06.0,Personal foul by J. Martin (drawn by A. Tolliver),,100-101,,
0:06.0,,,100-102,1,A. Tolliver makes free throw 1 of 2
0:06.0,,,100-102,,S. Johnson enters the game for I. Smith
0:06.0,,,100-103,1,A. Tolliver makes free throw 2 of 2
0:06.0,Memphis full timeout,,100-103,,
0:06.0,A. Harrison enters the game for J. Martin,,100-103,,
0:02.0,,,100-103,,Personal foul by A. Tolliver (drawn by W. Selden)
0:02.0,W. Selden makes free throw 1 of 2,1,101-103,,
0:02.0,,,101-103,,A. Drummond enters the game for L. Kennard
0:02.0,D. Davis enters the game for A. Harrison,,101-103,,
0:02.0,W. Selden makes free throw 2 of 2,1,102-103,,
0:02.0,Personal foul by W. Selden (drawn by R. Bullock),,102-103,,
0:02.0,,,102-103,,R. Bullock misses free throw 1 of 2
0:02.0,,,102-103,,Offensive rebound by Team
0:02.0,,,102-103,,L. Kennard enters the game for A. Drummond
0:02.0,J. Martin enters the game for D. Davis,,102-103,,
0:02.0,,,102-104,1,R. Bullock makes free throw 2 of 2
0:00.0,M. Gasol misses 3-pt shot from 36 ft,,102-104,,
0:00.0,Offensive rebound by Team,,102-104,,
