time,Portland,pts.away,score,pts.home,Orlando
3:35.0,D. Lillard misses 2-pt shot from 6 ft,,86-79,,
3:35.0,,,86-79,,Defensive rebound by J. Simmons
3:17.0,,,86-79,,J. Simmons misses 2-pt shot from 15 ft
3:17.0,,,86-79,,Offensive rebound by Team
3:04.0,,,86-81,2,N. Vucevic makes 2-pt shot from 4 ft
2:44.0,J. Nurkic makes 2-pt shot from 3 ft (assist by E. Turner),2,88-81,,
2:25.0,,,88-81,,D. Augustin misses 3-pt shot from 26 ft (block by C. McCollum)
2:21.0,Defensive rebound by E. Turner,,88-81,,
2:09.0,C. McCollum makes 2-pt shot from 10 ft,2,90-81,,
2:09.0,Shooting foul by N. Vucevic (drawn by C. McCollum),,90-81,,
2:09.0,,,90-81,,S. Mack enters the game for M. Speights
2:09.0,C. McCollum makes free throw 1 of 1,1,91-81,,
1:51.0,,,91-84,3,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin)
1:34.0,Turnover by J. Nurkic (lost ball; steal by S. Mack),,91-84,,
1:13.0,,,91-84,,N. Vucevic misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by A. Aminu,,91-84,,
0:49.0,C. McCollum misses 2-pt shot from 9 ft,,91-84,,
0:47.0,,,91-84,,Defensive rebound by J. Simmons
0:44.0,,,91-84,,Shooting foul by A. Aminu (drawn by J. Simmons)
0:44.0,,,91-85,1,J. Simmons makes free throw 1 of 2
0:44.0,,,91-86,1,J. Simmons makes free throw 2 of 2
0:43.0,,,91-86,,Personal foul by D. Augustin (drawn by C. McCollum)
0:43.0,C. McCollum makes free throw 1 of 2,1,92-86,,
0:43.0,C. McCollum makes free throw 2 of 2,1,93-86,,
0:26.0,,,93-88,2,J. Simmons makes 2-pt shot from 2 ft
0:23.0,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum),2,95-88,,
0:23.0,,,95-88,,Orlando full timeout
0:23.0,,,95-88,,M. Speights enters the game for E. Payton
0:14.0,,,95-88,,M. Speights misses 3-pt shot from 30 ft
0:12.0,,,95-88,,Offensive rebound by Team
0:10.0,,,95-88,,Turnover by D. Augustin (out of bounds lost ball)
0:01.0,Turnover by D. Lillard (out of bounds lost ball),,95-88,,
0:00.0,,,95-88,,J. Simmons misses 3-pt shot from 30 ft
0:00.0,,,95-88,,Offensive rebound by Team
