time,Philadelphia,pts.away,score,pts.home,Sacramento
8:10.0,,,90-88,,D. Fox misses 2-pt shot from 5 ft
8:10.0,Defensive rebound by B. Simmons,,90-88,,
8:04.0,,,90-88,,Personal foul by M. Richardson (drawn by A. Johnson)
8:04.0,A. Johnson misses free throw 1 of 2,,90-88,,
8:04.0,Offensive rebound by Team,,90-88,,
8:04.0,D. Saric enters the game for R. Covington,,90-88,,
8:04.0,A. Johnson makes free throw 2 of 2,1,91-88,,
7:52.0,,,91-90,2,J. Jackson makes 2-pt shot from 10 ft (assist by D. Fox)
7:52.0,,,91-90,,Shooting foul by A. Johnson (drawn by J. Jackson)
7:52.0,,,91-91,1,J. Jackson makes free throw 1 of 1
7:40.0,Turnover by B. Simmons (bad pass),,91-91,,
7:40.0,J. Redick enters the game for J. Anderson,,91-91,,
7:30.0,,,91-91,,Sacramento full timeout
7:29.0,Personal foul by J. Redick (drawn by J. Jackson),,91-91,,
7:29.0,,,91-92,1,J. Jackson makes free throw 1 of 2
7:29.0,,,91-93,1,J. Jackson makes free throw 2 of 2
7:16.0,B. Simmons misses 2-pt shot from 3 ft,,91-93,,
7:14.0,,,91-93,,Defensive rebound by J. Jackson
7:14.0,,,91-93,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Fox)
7:14.0,,,91-93,,D. Fox misses free throw 1 of 2
7:14.0,,,91-93,,Offensive rebound by Team
7:14.0,,,91-94,1,D. Fox makes free throw 2 of 2
7:14.0,,,91-94,,Z. Randolph enters the game for B. Hield
7:14.0,,,91-94,,W. Cauley-Stein enters the game for K. Koufos
7:14.0,R. Covington enters the game for T. Luwawu-Cabarrot,,91-94,,
7:06.0,D. Saric misses 3-pt shot from 23 ft,,91-94,,
6:59.0,Offensive rebound by A. Johnson,,91-94,,
6:52.0,Turnover by B. Simmons (lost ball; steal by M. Richardson),,91-94,,
6:48.0,,,91-94,,Turnover by M. Richardson (lost ball; steal by B. Simmons)
6:45.0,B. Simmons makes 2-pt shot from 2 ft,2,93-94,,
6:28.0,,,93-94,,D. Fox misses 2-pt shot from 11 ft
6:25.0,Defensive rebound by A. Johnson,,93-94,,
6:07.0,D. Saric misses 3-pt shot from 24 ft,,93-94,,
6:04.0,,,93-94,,Defensive rebound by D. Fox
6:02.0,,,93-94,,Shooting foul by J. Redick (drawn by D. Fox)
6:02.0,,,93-94,,D. Fox misses free throw 1 of 2
6:02.0,,,93-94,,Offensive rebound by Team
6:02.0,J. Embiid enters the game for A. Johnson,,93-94,,
6:02.0,,,93-95,1,D. Fox makes free throw 2 of 2
5:52.0,B. Simmons makes 2-pt shot from 2 ft,2,95-95,,
5:35.0,,,95-95,,Shooting foul by R. Covington (drawn by W. Cauley-Stein)
5:35.0,,,95-95,,W. Cauley-Stein misses free throw 1 of 2
5:35.0,,,95-95,,Offensive rebound by Team
5:35.0,,,95-95,,G. Temple enters the game for M. Richardson
5:35.0,,,95-96,1,W. Cauley-Stein makes free throw 2 of 2
5:23.0,B. Simmons makes 2-pt shot from 5 ft,2,97-96,,
5:00.0,,,97-98,2,J. Jackson makes 2-pt shot from 22 ft
4:44.0,J. Embiid makes 2-pt shot from 2 ft (assist by B. Simmons),2,99-98,,
4:26.0,,,99-98,,Z. Randolph misses 2-pt shot from 1 ft (block by J. Embiid)
4:21.0,Defensive rebound by J. Embiid,,99-98,,
4:10.0,D. Saric makes 3-pt shot from 22 ft (assist by J. Redick),3,102-98,,
3:42.0,,,102-98,,Z. Randolph misses 2-pt shot from 6 ft (block by J. Embiid)
3:42.0,,,102-98,,Offensive rebound by Team
3:39.0,,,102-98,,D. Fox misses 3-pt shot from 38 ft
3:36.0,Defensive rebound by R. Covington,,102-98,,
3:34.0,Philadelphia full timeout,,102-98,,
3:27.0,Turnover by B. Simmons (bad pass; steal by Z. Randolph),,102-98,,
3:12.0,,,102-98,,J. Jackson misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by J. Embiid,,102-98,,
2:54.0,Offensive foul by J. Embiid (drawn by J. Jackson),,102-98,,
2:54.0,Turnover by J. Embiid (offensive foul),,102-98,,
2:40.0,,,102-98,,W. Cauley-Stein misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by J. Embiid,,102-98,,
2:22.0,J. Embiid misses 3-pt shot from 24 ft,,102-98,,
2:22.0,,,102-98,,Defensive rebound by Team
2:22.0,Loose ball foul by D. Saric (drawn by Z. Randolph),,102-98,,
2:22.0,,,102-99,1,Z. Randolph makes free throw 1 of 2
2:22.0,,,102-100,1,Z. Randolph makes free throw 2 of 2
2:11.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,105-100,,
1:55.0,,,105-100,,D. Fox misses 2-pt shot from 17 ft
1:55.0,,,105-100,,Offensive rebound by Z. Randolph
1:55.0,,,105-100,,Shooting foul by B. Simmons (drawn by Z. Randolph)
1:55.0,,,105-101,1,Z. Randolph makes free throw 1 of 2
1:55.0,,,105-102,1,Z. Randolph makes free throw 2 of 2
1:38.0,J. Embiid makes 2-pt shot from 9 ft (assist by J. Redick),2,107-102,,
1:38.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,107-102,,
1:38.0,J. Embiid makes free throw 1 of 1,1,108-102,,
1:30.0,,,108-102,,G. Temple misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by D. Saric,,108-102,,
1:13.0,J. Embiid misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,108-102,,
1:10.0,,,108-102,,Defensive rebound by D. Fox
1:10.0,,,108-104,2,D. Fox makes 2-pt shot at rim
1:08.0,,,108-104,,Shooting foul by J. Redick (drawn by D. Fox)
1:08.0,,,108-104,,D. Fox misses free throw 1 of 1
1:08.0,,,108-104,,Offensive rebound by Team
0:50.0,,,108-107,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Fox)
0:30.0,R. Covington misses 3-pt shot from 24 ft,,108-107,,
0:25.0,Offensive rebound by J. Embiid,,108-107,,
0:25.0,J. Embiid misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,108-107,,
0:25.0,,,108-107,,Defensive rebound by Team
0:18.0,,,108-107,,Sacramento full timeout
0:14.0,,,108-109,2,D. Fox makes 2-pt shot from 18 ft
0:01.0,J. Embiid misses 2-pt shot from 18 ft,,108-109,,
0:00.0,Offensive rebound by Team,,108-109,,
