time,Brooklyn,pts.away,score,pts.home,Utah
5:46.0,Defensive rebound by A. Crabbe,,88-102,,
5:41.0,Turnover by D. Russell (lost ball; steal by R. Rubio),,88-102,,
5:37.0,,,88-102,,J. Ingles misses 3-pt shot from 25 ft
5:34.0,,,88-102,,Offensive rebound by T. Sefolosha
5:31.0,Jump ball: T. Sefolosha vs. D. Carroll (J. Ingles gains possession),,,,Jump ball: T. Sefolosha vs. D. Carroll (J. Ingles gains possession)
5:27.0,,,88-102,,D. Favors misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by R. Hollis-Jefferson,,88-102,,
5:18.0,,,88-102,,Personal foul by D. Favors (drawn by D. Carroll)
5:15.0,D. Russell misses 2-pt shot from 2 ft,,88-102,,
5:11.0,Offensive rebound by R. Hollis-Jefferson,,88-102,,
5:09.0,J. Harris makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,91-102,,
4:53.0,,,91-104,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
4:36.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,93-104,,
4:16.0,,,93-104,,Shooting foul by R. Hollis-Jefferson (drawn by R. Rubio)
4:16.0,,,93-105,1,R. Rubio makes free throw 1 of 2
4:16.0,S. Kilpatrick enters the game for J. Harris,,93-105,,
4:16.0,,,93-106,1,R. Rubio makes free throw 2 of 2
4:04.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,95-106,,
4:04.0,Shooting foul by R. Rubio (drawn by R. Hollis-Jefferson),,95-106,,
4:04.0,R. Hollis-Jefferson makes free throw 1 of 1,1,96-106,,
4:00.0,,,96-106,,Utah full timeout
3:52.0,,,96-108,2,D. Favors makes 2-pt shot from 5 ft (assist by J. Ingles)
3:42.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. Russell),2,98-108,,
3:42.0,,,98-108,,Violation by D. Favors (def goaltending)
3:28.0,,,98-108,,R. Rubio misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by D. Carroll,,98-108,,
3:09.0,D. Carroll makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,101-108,,
2:49.0,,,101-108,,R. Hood misses 2-pt shot from 10 ft
2:47.0,Defensive rebound by D. Carroll,,101-108,,
2:43.0,,,101-108,,Personal foul by R. Hood (drawn by D. Carroll)
2:43.0,D. Carroll makes free throw 1 of 2,1,102-108,,
2:43.0,D. Carroll misses free throw 2 of 2,,102-108,,
2:43.0,Offensive rebound by D. Carroll,,102-108,,
2:43.0,,,102-108,,D. Mitchell enters the game for T. Sefolosha
2:43.0,J. Harris enters the game for S. Kilpatrick,,102-108,,
2:35.0,J. Wiley enters the game for D. Russell,,102-108,,
2:35.0,C. LeVert enters the game for J. Wiley,,102-108,,
2:31.0,Turnover by C. LeVert (out of bounds lost ball),,102-108,,
2:14.0,,,102-108,,R. Rubio misses 2-pt shot from 21 ft
2:09.0,Defensive rebound by A. Crabbe,,102-108,,
1:59.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,102-108,,
1:57.0,,,102-108,,Defensive rebound by R. Rubio
1:41.0,,,102-108,,Turnover by R. Hood (bad pass)
1:23.0,,,102-108,,Personal foul by R. Rubio (drawn by R. Hollis-Jefferson)
1:23.0,R. Hollis-Jefferson makes free throw 1 of 2,1,103-108,,
1:23.0,R. Hollis-Jefferson makes free throw 2 of 2,1,104-108,,
1:09.0,,,104-108,,T. Sefolosha enters the game for R. Rubio
1:08.0,,,104-108,,Turnover by D. Favors (offensive goaltending)
0:52.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,104-108,,
0:50.0,,,104-108,,Defensive rebound by J. Ingles
0:47.0,Jump ball: J. Ingles vs. D. Carroll (R. Hood gains possession),,,,Jump ball: J. Ingles vs. D. Carroll (R. Hood gains possession)
0:42.0,Personal foul by C. LeVert (drawn by D. Mitchell),,104-108,,
0:42.0,,,104-109,1,D. Mitchell makes free throw 2 of 2
0:42.0,,,104-110,1,D. Mitchell makes free throw 1 of 2
0:42.0,T. Booker enters the game for D. Carroll,,104-110,,
0:42.0,Brooklyn full timeout,,104-110,,
0:42.0,D. Carroll enters the game for T. Booker,,104-110,,
0:38.0,Turnover by C. LeVert (bad pass; steal by T. Sefolosha),,104-110,,
0:34.0,,,104-110,,T. Sefolosha misses 2-pt shot from 2 ft
0:32.0,,,104-110,,Offensive rebound by D. Mitchell
0:32.0,,,104-112,2,D. Mitchell makes 2-pt shot at rim
0:31.0,Brooklyn full timeout,,104-112,,
0:30.0,A. Crabbe misses 2-pt shot from 22 ft,,104-112,,
0:28.0,Offensive rebound by C. LeVert,,104-112,,
0:28.0,C. LeVert makes 2-pt shot from 1 ft,2,106-112,,
0:28.0,Shooting foul by D. Mitchell (drawn by C. LeVert),,106-112,,
0:28.0,C. LeVert misses free throw 1 of 1,,106-112,,
0:25.0,,,106-112,,Defensive rebound by T. Sefolosha
0:25.0,Personal foul by J. Harris (drawn by T. Sefolosha),,106-112,,
0:25.0,,,106-112,,T. Sefolosha misses free throw 1 of 2
0:25.0,,,106-112,,Offensive rebound by Team
0:25.0,,,106-112,,T. Sefolosha misses free throw 2 of 2
0:24.0,,,106-112,,Offensive rebound by T. Sefolosha
0:23.0,Personal foul by J. Harris (drawn by T. Sefolosha),,106-112,,
0:23.0,,,106-113,1,T. Sefolosha makes free throw 1 of 2
0:23.0,,,106-114,1,T. Sefolosha makes free throw 2 of 2
0:13.0,A. Crabbe misses 3-pt shot from 22 ft,,106-114,,
0:09.0,Offensive rebound by D. Carroll,,106-114,,
0:09.0,D. Carroll misses 2-pt shot from 2 ft (block by D. Favors),,106-114,,
0:07.0,,,106-114,,Defensive rebound by T. Sefolosha
