time,Memphis,pts.away,score,pts.home,Denver
1:06.0,Shooting foul by J. Hernangomez (drawn by J. Green),,89-102,,
1:06.0,J. Green makes free throw 1 of 2,1,90-102,,
1:06.0,J. Green misses free throw 2 of 2,,90-102,,
1:04.0,,,90-102,,Defensive rebound by K. Faried
1:04.0,Personal foul by M. Gasol (drawn by K. Faried),,90-102,,
1:04.0,,,90-103,1,K. Faried makes free throw 1 of 2
1:04.0,,,90-104,1,K. Faried makes free throw 2 of 2
0:55.0,D. Brooks misses 2-pt shot from 19 ft,,90-104,,
0:51.0,,,90-104,,Defensive rebound by N. Jokic
0:30.0,,,90-104,,J. Hernangomez misses 3-pt shot from 25 ft
0:30.0,,,90-104,,Offensive rebound by K. Faried
0:23.0,,,90-104,,Turnover by J. Murray (bad pass; steal by M. Chalmers)
0:19.0,J. Green makes 2-pt shot from 10 ft (assist by M. Gasol),2,92-104,,
